framework,locale,entity_type,entity_code,primary_owner_url,owned_query_cluster,supporting_query_cluster,owner_rule,assessment_owner,eligibility,evidence_status,limitation,current28_observed_queries,current28_primary_queries,current28_shared_queries,current28_clicks,current28_impressions,current28_ctr_percent,current28_position,prev28_impressions,day90_impressions,ownership_decision,page_indexing_state
cross_framework,en,hub,personality,https://fermatmind.com/en/personality,personality framework navigation,framework navigation and next step,one normalized query cluster → one primary canonical owner per locale,UNKNOWN,existing_backend_authoritative_only,INFERRED_ROUTE_TAXONOMY_M01_NOT_RETURNED,M01 top-row aggregate; NOT_RETURNED is not zero; route locale is not GSC language; page-level indexing unavailable,0,0,0,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,ROUTE_OWNER_M01_NOT_RETURNED,UNKNOWN_PAGE_LEVEL
big_five,en,hub,big-five,https://fermatmind.com/en/personality/big-five,Big Five model overview,framework navigation and next step,one normalized query cluster → one primary canonical owner per locale,/en/tests/big-five-personality-test-ocean-model,existing_backend_authoritative_only,INFERRED_ROUTE_TAXONOMY_M01_NOT_RETURNED,M01 top-row aggregate; NOT_RETURNED is not zero; route locale is not GSC language; page-level indexing unavailable,0,0,0,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,ROUTE_OWNER_M01_NOT_RETURNED,UNKNOWN_PAGE_LEVEL
big_five,en,domain,agreeableness,https://fermatmind.com/en/personality/big-five/agreeableness,agreeableness meaning and observable tendencies,examples; limits; reflection; next step,one normalized query cluster → one primary canonical owner per locale,/en/tests/big-five-personality-test-ocean-model,existing_backend_authoritative_only,VERIFIED_M01_OBSERVED,M01 top-row aggregate; NOT_RETURNED is not zero; route locale is not GSC language; page-level indexing unavailable,3,2,1,0,3,0,28.666667,NOT_RETURNED,3,ROUTE_OWNER_WITH_SHARED_QUERY_REVIEW,UNKNOWN_PAGE_LEVEL
big_five,en,polarity,agreeableness-high,https://fermatmind.com/en/personality/big-five/agreeableness-high,agreeableness high meaning and observable tendencies,examples; limits; reflection; next step,one normalized query cluster → one primary canonical owner per locale,/en/tests/big-five-personality-test-ocean-model,existing_backend_authoritative_only,VERIFIED_M01_OBSERVED,M01 top-row aggregate; NOT_RETURNED is not zero; route locale is not GSC language; page-level indexing unavailable,1,1,0,0,2,0,6,NOT_RETURNED,2,PRIMARY_OWNER_OBSERVED,UNKNOWN_PAGE_LEVEL
big_five,en,polarity,agreeableness-low,https://fermatmind.com/en/personality/big-five/agreeableness-low,agreeableness low meaning and observable tendencies,examples; limits; reflection; next step,one normalized query cluster → one primary canonical owner per locale,/en/tests/big-five-personality-test-ocean-model,existing_backend_authoritative_only,INFERRED_ROUTE_TAXONOMY_M01_NOT_RETURNED,M01 top-row aggregate; NOT_RETURNED is not zero; route locale is not GSC language; page-level indexing unavailable,0,0,0,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,ROUTE_OWNER_M01_NOT_RETURNED,UNKNOWN_PAGE_LEVEL
big_five,en,polarity,agreeableness-mid,https://fermatmind.com/en/personality/big-five/agreeableness-mid,agreeableness mid meaning and observable tendencies,examples; limits; reflection; next step,one normalized query cluster → one primary canonical owner per locale,/en/tests/big-five-personality-test-ocean-model,existing_backend_authoritative_only,INFERRED_ROUTE_TAXONOMY_M01_NOT_RETURNED,M01 top-row aggregate; NOT_RETURNED is not zero; route locale is not GSC language; page-level indexing unavailable,0,0,0,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,ROUTE_OWNER_M01_NOT_RETURNED,UNKNOWN_PAGE_LEVEL
big_five,en,domain,conscientiousness,https://fermatmind.com/en/personality/big-five/conscientiousness,conscientiousness meaning and observable tendencies,examples; limits; reflection; next step,one normalized query cluster → one primary canonical owner per locale,/en/tests/big-five-personality-test-ocean-model,existing_backend_authoritative_only,INFERRED_ROUTE_TAXONOMY_M01_NOT_RETURNED,M01 top-row aggregate; NOT_RETURNED is not zero; route locale is not GSC language; page-level indexing unavailable,0,0,0,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,ROUTE_OWNER_M01_NOT_RETURNED,UNKNOWN_PAGE_LEVEL
big_five,en,polarity,conscientiousness-high,https://fermatmind.com/en/personality/big-five/conscientiousness-high,conscientiousness high meaning and observable tendencies,examples; limits; reflection; next step,one normalized query cluster → one primary canonical owner per locale,/en/tests/big-five-personality-test-ocean-model,existing_backend_authoritative_only,INFERRED_ROUTE_TAXONOMY_M01_NOT_RETURNED,M01 top-row aggregate; NOT_RETURNED is not zero; route locale is not GSC language; page-level indexing unavailable,0,0,0,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,ROUTE_OWNER_M01_NOT_RETURNED,UNKNOWN_PAGE_LEVEL
big_five,en,polarity,conscientiousness-low,https://fermatmind.com/en/personality/big-five/conscientiousness-low,conscientiousness low meaning and observable tendencies,examples; limits; reflection; next step,one normalized query cluster → one primary canonical owner per locale,/en/tests/big-five-personality-test-ocean-model,existing_backend_authoritative_only,INFERRED_ROUTE_TAXONOMY_M01_NOT_RETURNED,M01 top-row aggregate; NOT_RETURNED is not zero; route locale is not GSC language; page-level indexing unavailable,0,0,0,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,ROUTE_OWNER_M01_NOT_RETURNED,UNKNOWN_PAGE_LEVEL
big_five,en,polarity,conscientiousness-mid,https://fermatmind.com/en/personality/big-five/conscientiousness-mid,conscientiousness mid meaning and observable tendencies,examples; limits; reflection; next step,one normalized query cluster → one primary canonical owner per locale,/en/tests/big-five-personality-test-ocean-model,existing_backend_authoritative_only,INFERRED_ROUTE_TAXONOMY_M01_NOT_RETURNED,M01 top-row aggregate; NOT_RETURNED is not zero; route locale is not GSC language; page-level indexing unavailable,0,0,0,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,ROUTE_OWNER_M01_NOT_RETURNED,UNKNOWN_PAGE_LEVEL
