anomaly_type,severity,source_url,target_url,dom_region,anchor_text,evidence_status,detail
non_corpus_internal_target,UNKNOWN,https://fermatmind.com/,https://fermatmind.com/zh/tests?q=,header/navigation,,UNKNOWN,Target is not in current authority corpus; not labeled broken without reliable target readback.
private_route_link,HIGH,https://fermatmind.com/,PRIVATE_ROUTE_REDACTED:results,header/navigation,我的账户,VERIFIED,Visible internal link targets a private/sensitive route; target was not crawled.
non_corpus_internal_target,UNKNOWN,https://fermatmind.com/,https://fermatmind.com/zh/science,footer,测评科学,UNKNOWN,Target is not in current authority corpus; not labeled broken without reliable target readback.
non_corpus_internal_target,UNKNOWN,https://fermatmind.com/,https://fermatmind.com/zh/item-design-notes,footer,题目设计说明,UNKNOWN,Target is not in current authority corpus; not labeled broken without reliable target readback.
non_corpus_internal_target,UNKNOWN,https://fermatmind.com/,https://fermatmind.com/zh/reliability-validity,footer,信度效度,UNKNOWN,Target is not in current authority corpus; not labeled broken without reliable target readback.
non_corpus_internal_target,UNKNOWN,https://fermatmind.com/,https://fermatmind.com/zh/data-privacy,footer,数据说明,UNKNOWN,Target is not in current authority corpus; not labeled broken without reliable target readback.
non_corpus_internal_target,UNKNOWN,https://fermatmind.com/,https://fermatmind.com/zh/common-misconceptions,footer,常见误区,UNKNOWN,Target is not in current authority corpus; not labeled broken without reliable target readback.
non_corpus_internal_target,UNKNOWN,https://fermatmind.com/en,https://fermatmind.com/en/tests?q=,header/navigation,,UNKNOWN,Target is not in current authority corpus; not labeled broken without reliable target readback.
private_route_link,HIGH,https://fermatmind.com/en,PRIVATE_ROUTE_REDACTED:results,header/navigation,My Account,VERIFIED,Visible internal link targets a private/sensitive route; target was not crawled.
non_corpus_internal_target,UNKNOWN,https://fermatmind.com/en/about,https://fermatmind.com/en/tests?q=,header/navigation,,UNKNOWN,Target is not in current authority corpus; not labeled broken without reliable target readback.
private_route_link,HIGH,https://fermatmind.com/en/about,PRIVATE_ROUTE_REDACTED:results,header/navigation,My Account,VERIFIED,Visible internal link targets a private/sensitive route; target was not crawled.
