article_id,translation_group_id,locale,slug,canonical_url,title,h1,excerpt,category,tags,primary_topic,secondary_topics,author,reviewer,published_at,updated_at,current_cms_revision_identity,cms_status,is_public,http_status,canonical,hreflang,robots,sitemap_state,llms_state,schema_state,backend_structured_data_keys,live_jsonld_types,live_jsonld_parse_errors,visible_faq_count,faq_schema_count,word_count,source_reference_state,claim_sensitivity,primary_cta,cta_target,inbound_links,outbound_links,related_articles,related_tests,related_personality_pages,related_career_pages,gsc_clicks_7d,gsc_impressions_7d,gsc_ctr_7d,gsc_position_7d,gsc_clicks_28d,gsc_impressions_28d,gsc_ctr_28d,gsc_position_28d,gsc_clicks_prev28d,gsc_impressions_prev28d,gsc_ctr_prev28d,gsc_position_prev28d,gsc_clicks_90d,gsc_impressions_90d,gsc_ctr_90d,gsc_position_90d,ga4_views_28d,ga4_users_28d,ga4_engagement_28d,article_to_test_clicks_28d,test_starts_attributed_28d,qualified_completes_attributed_28d,primary_classification,secondary_classifications,primary_action,classification_rationale,evidence_status,reassessment_date
26,article-11,en,are-infj-men-rare-or-socially-silenced,https://fermatmind.com/en/articles/are-infj-men-rare-or-socially-silenced,"Are INFJ Men Rare, or Have Sensitive Men Learned to Stay Silent?","Are INFJ Men Rare, or Have Sensitive Men Learned to Stay Silent?","The rare thing may not be this kind of man. It may be an environment where he can be seen without hiding behind performance, reason, or silence.",Personality Psychology,INFJ | Emotional Expression | Masculinity Norms | Self-Silencing | Highly Sensitive People,EQ,Unknown,Fermat Institute,Unknown,2026-04-23T13:19:29.000000Z,2026-04-23T13:19:30.000000Z,25,published,true,200,https://fermatmind.com/en/articles/are-infj-men-rare-or-socially-silenced,en=https://fermatmind.com/en/articles/are-infj-men-rare-or-socially-silenced | zh=https://fermatmind.com/zh/articles/are-infj-men-rare-or-socially-silenced | zh-CN=https://fermatmind.com/zh/articles/are-infj-men-rare-or-socially-silenced,"index,follow",included_verified,observed,none_observed_in_server_html,Article | Person,none_observed,0,2,0,1373,no_explicit_external_ref_detected:0,ability_sensitive,Take the test,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,article_cohort:0;sitewide:Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,13,0.0%,11.46,0,26,0.0%,10.27,0,59,0.0%,9.68,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,M01 page grain=observed current28 page row; current28 clicks=0; impressions=13; position=11.46; CTA=present,API/live=VERIFIED; GSC page=current M01 single-dimension/source-limited; query×page=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
27,article-12,en,best-valentines-date-by-personality-and-relationship-science,https://fermatmind.com/en/articles/best-valentines-date-by-personality-and-relationship-science,A Lower-Friction Valentine’s Day: Designing Dates with Personality and Relationship Science,A Lower-Friction Valentine’s Day: Designing Dates with Personality and Relationship Science,"A good date is not necessarily expensive, crowded, or cinematic. It fits the relationship goal, stimulation threshold, and safety boundaries of the two people involved.",Relationships and Love,Intimate Relationships | Personality Psychology | Relationship Science | Valentine's Day | Date Design,MBTI,Unknown,Fermat Institute,Unknown,2026-04-23T13:19:29.000000Z,2026-04-23T13:19:30.000000Z,26,published,true,200,https://fermatmind.com/en/articles/best-valentines-date-by-personality-and-relationship-science,en=https://fermatmind.com/en/articles/best-valentines-date-by-personality-and-relationship-science | zh=https://fermatmind.com/zh/articles/best-valentines-date-by-personality-and-relationship-science | zh-CN=https://fermatmind.com/zh/articles/best-valentines-date-by-personality-and-relationship-science,"index,follow",included_verified,observed,none_observed_in_server_html,Article | Person,none_observed,0,2,0,1430,no_explicit_external_ref_detected:0,relationship_sensitive,Take the test,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,article_cohort:0;sitewide:Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,17,0.0%,14.29,0,77,0.0%,8.3,0,110,0.0%,9.05,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,M01 page grain=observed current28 page row; current28 clicks=0; impressions=17; position=14.29; CTA=present,API/live=VERIFIED; GSC page=current M01 single-dimension/source-limited; query×page=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
81,tg_big_five_conscientiousness_task_plan_2026v1,en,big-five-conscientiousness-low-procrastination-task-plan,https://fermatmind.com/en/articles/big-five-conscientiousness-low-procrastination-task-plan,"Low Conscientiousness in the Big Five: Procrastination Triggers, Task Splitting, and Execution Checklists","Low Conscientiousness in the Big Five: Procrastination Triggers, Task Splitting, and Execution Checklists","Use a low Big Five conscientiousness result to map procrastination triggers, 15-minute task starts, feedback loops, and weekly review habits.",Big Five,Big Five | OCEAN | Conscientiousness | Procrastination | Task planning | Self-regulation,Big Five,Unknown,Fermat Institute,Unknown,2026-07-05T05:45:44.000000Z,2026-07-05T05:45:44.000000Z,101,published,true,200,https://fermatmind.com/en/articles/big-five-conscientiousness-low-procrastination-task-plan,en=https://fermatmind.com/en/articles/big-five-conscientiousness-low-procrastination-task-plan | zh=https://fermatmind.com/zh/articles/big-five-conscientiousness-low-procrastination-task-plan | zh-CN=https://fermatmind.com/zh/articles/big-five-conscientiousness-low-procrastination-task-plan,"index,follow",included_verified,observed,none_observed_in_server_html,none_declared,none_observed,0,2,0,2038,no_explicit_external_ref_detected:0,identity_sensitive,"Take the Big Five test, then use this checklist to observe procrastination triggers and execution systems",https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,article_cohort:0;sitewide:Unknown,1,Unknown,/en/tests/big-five-personality-test-ocean-model,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,29,0.0%,11.66,0,2,0.0%,21.0,0,31,0.0%,12.26,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,M01 page grain=observed current28 page row; current28 clicks=0; impressions=29; position=11.66; CTA=present,API/live=VERIFIED; GSC page=current M01 single-dimension/source-limited; query×page=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
79,tg_big_five_emotional_stability_stress_2026v1,en,big-five-emotional-stability-stress-recovery-communication,https://fermatmind.com/en/articles/big-five-emotional-stability-stress-recovery-communication,"Low Emotional Stability in the Big Five: Stress Triggers, Recovery Habits, and Communication Boundaries","Low Emotional Stability in the Big Five: Stress Triggers, Recovery Habits, and Communication Boundaries","Use low Emotional Stability as a stress-sensitivity signal, not a diagnosis. Map triggers, recovery habits, communication boundaries, and support signals.",Personality Tests,Big Five | OCEAN | Neuroticism | Emotional Stability | Stress Recovery | Communication Boundaries,Big Five,Unknown,Fermat Institute,Unknown,2026-07-04T04:35:25.000000Z,2026-07-04T04:35:25.000000Z,99,published,true,200,https://fermatmind.com/en/articles/big-five-emotional-stability-stress-recovery-communication,en=https://fermatmind.com/en/articles/big-five-emotional-stability-stress-recovery-communication | zh=https://fermatmind.com/zh/articles/big-five-emotional-stability-stress-recovery-communication | zh-CN=https://fermatmind.com/zh/articles/big-five-emotional-stability-stress-recovery-communication,"index,follow",included_verified,observed,none_observed_in_server_html,none_declared,none_observed,0,2,0,2230,no_explicit_external_ref_detected:0,identity_sensitive,"Take the Big Five test, then map your stress triggers",https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,article_cohort:0;sitewide:Unknown,1,Unknown,/en/tests/big-five-personality-test-ocean-model,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,173,0.0%,12.31,0,140,0.0%,13.95,0,313,0.0%,13.04,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Near Winner,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,M01 page grain=observed current28 page row; current28 clicks=0; impressions=173; position=12.31; CTA=present,API/live=VERIFIED; GSC page=current M01 single-dimension/source-limited; query×page=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
186,big5-v2-f29331ce54d2f28a7051702932c39aaf69d2bf61,en,big-five-growth-guide,https://fermatmind.com/en/articles/big-five-growth-guide,How Can Big Five Personality Results Support Growth? A Five-Dimensional Behavioral Experiment and Review Guide,How Can Big Five Personality Results Support Growth? A Five-Dimensional Behavioral Experiment and Review Guide,"Do not chase ideal personality scores; instead, set a realistic goal and turn trait assumptions into observable, actionable, and reviewable behavioral experiments.",人格心理学,Unknown,Big Five,Unknown,FermatMind Editorial,Unknown,2026-08-03T07:10:42.000000Z,2026-08-03T08:24:46.000000Z,447,published,true,200,https://fermatmind.com/en/articles/big-five-growth-guide,zh=https://fermatmind.com/zh/articles/big-five-growth-guide | zh-CN=https://fermatmind.com/zh/articles/big-five-growth-guide,"noindex,nofollow",excluded_by_authority,excluded_by_authority,none_observed_in_server_html,none_declared,none_observed,0,2,0,1566,present_public_source_refs:3,identity_sensitive,Take the test,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,article_cohort:0;sitewide:Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,M01 page grain=not present in capped current28 page export; metrics remain Unknown; current28 clicks=Unknown; impressions=Unknown; position=Unknown; CTA=present,API/live=VERIFIED; GSC page=current M01 single-dimension/source-limited; query×page=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
187,big5-v2-8381cc150e7180b365a397ce3e3a25e2626b8970,en,big-five-narrative-portrait,https://fermatmind.com/en/articles/big-five-narrative-portrait,How Should You Read a Big Five Personality Profile? Turning OCEAN Scores into a Personal Narrative,How Should You Read a Big Five Personality Profile? Turning OCEAN Scores into a Personal Narrative,"Put each OCEAN dimension back into context. Map possible behaviors, costs, counterexamples, and questions to test, creating a profile you can review rather than a fixed label.",人格心理学,Unknown,Big Five,Unknown,FermatMind Editorial,Unknown,2026-08-03T07:10:43.000000Z,2026-08-03T08:24:46.000000Z,448,published,true,200,https://fermatmind.com/en/articles/big-five-narrative-portrait,zh=https://fermatmind.com/zh/articles/big-five-narrative-portrait | zh-CN=https://fermatmind.com/zh/articles/big-five-narrative-portrait,"noindex,nofollow",excluded_by_authority,excluded_by_authority,none_observed_in_server_html,none_declared,none_observed,0,2,0,1648,present_public_source_refs:1,identity_sensitive,Take the test,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,article_cohort:0;sitewide:Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,M01 page grain=not present in capped current28 page export; metrics remain Unknown; current28 clicks=Unknown; impressions=Unknown; position=Unknown; CTA=present,API/live=VERIFIED; GSC page=current M01 single-dimension/source-limited; query×page=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
35,e4fb93e4-9010-48bb-9a28-312414ca45a9,en,big-five-personality-test-vs-mbti,https://fermatmind.com/en/articles/big-five-personality-test-vs-mbti,Big Five Personality Test: Is It More Scientific Than MBTI—and What Can It Really Tell You?,Big Five Personality Test: Is It More Scientific Than MBTI—and What Can It Really Tell You?,"The Big Five is not a personality label. It is a five-trait map for understanding work style, stress patterns, and behavior.",Personality Psychology,MBTI | Big Five | Personality Test | OCEAN | Workstyle,Big Five,Unknown,Fermat Institute,Unknown,2026-05-17T09:58:31.000000Z,2026-05-17T09:58:31.000000Z,40,published,true,200,https://fermatmind.com/en/articles/big-five-personality-test-vs-mbti,en=https://fermatmind.com/en/articles/big-five-personality-test-vs-mbti | zh=https://fermatmind.com/zh/articles/big-five-personality-test-vs-mbti | zh-CN=https://fermatmind.com/zh/articles/big-five-personality-test-vs-mbti,"index,follow",included_verified,observed,none_observed_in_server_html,none_declared,none_observed,0,5,0,2606,no_explicit_external_ref_detected:0,identity_sensitive,Start the Big Five test,https://fermatmind.com/en/tests/big-five-personality-test,article_cohort:0;sitewide:Unknown,3,Unknown,/en/tests/big-five-personality-test-ocean-model | /en/tests/mbti-personality-test-16-personality-types | /en/tests/holland-career-interest-test-riasec,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,M01 page grain=not present in capped current28 page export; metrics remain Unknown; current28 clicks=Unknown; impressions=Unknown; position=Unknown; CTA=present,API/live=VERIFIED; GSC page=current M01 single-dimension/source-limited; query×page=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
188,big5-v2-df8d5e7f157e301b9a0f4dc8e6b8c3b66c7e31f4,en,big-five-tool-guide,https://fermatmind.com/en/articles/big-five-tool-guide,Big Five Personality Test Guide: How to Use Results and Respect Their Limits,Big Five Personality Test Guide: How to Use Results and Respect Their Limits,"First verify the tools, scores, and comparison criteria, then use low-risk observation to gather both confirmatory evidence and counterexamples; do not let a single personality test determine ability, identity, or future.",人格心理学,Unknown,Big Five,Unknown,Unknown,Unknown,2026-08-03T07:10:44.000000Z,2026-08-03T08:24:46.000000Z,449,published,true,200,https://fermatmind.com/en/articles/big-five-tool-guide,zh=https://fermatmind.com/zh/articles/big-five-tool-guide | zh-CN=https://fermatmind.com/zh/articles/big-five-tool-guide,"noindex,nofollow",excluded_by_authority,excluded_by_authority,none_observed_in_server_html,none_declared,none_observed,0,2,0,2270,present_public_source_refs:2,identity_sensitive,Take the test,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,article_cohort:0;sitewide:Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,M01 page grain=not present in capped current28 page export; metrics remain Unknown; current28 clicks=Unknown; impressions=Unknown; position=Unknown; CTA=present,API/live=VERIFIED; GSC page=current M01 single-dimension/source-limited; query×page=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
47,tg_article_career_interest_vs_personality_test_2026v1,en,career-interest-test-vs-personality-test,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,Career Interest Test vs Personality Test: Which Should You Take First?,Career Interest Test vs Personality Test: Which Should You Take First?,"Confused between career interest and personality tests? Learn how Holland Code, MBTI, and Big Five answer different career exploration questions.",SEO Articles,RIASEC | MBTI | Big Five | Personality Test | Career Assessment | Career Interest Test | career exploration,RIASEC/Career Decision,Unknown,Fermat Institute,Unknown,2026-06-12T14:04:34.000000Z,2026-06-12T14:04:34.000000Z,53,published,true,200,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,en=https://fermatmind.com/en/articles/career-interest-test-vs-personality-test | zh=https://fermatmind.com/zh/articles/career-interest-vs-personality-test-differences | zh-CN=https://fermatmind.com/zh/articles/career-interest-vs-personality-test-differences,"index,follow",included_verified,observed,none_observed_in_server_html,Article | Person,none_observed,0,5,0,1619,no_explicit_external_ref_detected:0,career_sensitive,Take the test,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,article_cohort:0;sitewide:Unknown,1,Unknown,/en/tests/holland-career-interest-test-riasec,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,16,0.0%,10.19,0,34,0.0%,9.44,0,66,0.0%,9.11,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,M01 page grain=observed current28 page row; current28 clicks=0; impressions=16; position=10.19; CTA=present,API/live=VERIFIED; GSC page=current M01 single-dimension/source-limited; query×page=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
29,article-13,en,childhood-dream-job-still-shapes-career-choice,https://fermatmind.com/en/articles/childhood-dream-job-still-shapes-career-choice,Why Your Childhood Dream Job Still Shapes Your Career Decisions,Why Your Childhood Dream Job Still Shapes Your Career Decisions,"A childhood dream job does not predict your future, but it often reveals early preferences about work structure, role identity, and the life you want work to support.",Unknown,Unknown,RIASEC/Career Decision,Unknown,Fermat Institute,Unknown,2026-04-23T11:24:08.000000Z,2026-04-23T11:24:08.000000Z,28,published,true,200,https://fermatmind.com/en/articles/childhood-dream-job-still-shapes-career-choice,en=https://fermatmind.com/en/articles/childhood-dream-job-still-shapes-career-choice | zh=https://fermatmind.com/zh/articles/childhood-dream-job-still-shapes-career-choice | zh-CN=https://fermatmind.com/zh/articles/childhood-dream-job-still-shapes-career-choice,"index,follow",included_verified,observed,none_observed_in_server_html,Article | Person,none_observed,0,2,0,1746,present_public_source_refs:6,career_sensitive,Take the test,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,article_cohort:0;sitewide:Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,3,0.0%,8.0,0,7,0.0%,9.43,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,M01 page grain=not present in capped current28 page export; metrics remain Unknown; current28 clicks=Unknown; impressions=Unknown; position=Unknown; CTA=present,API/live=VERIFIED; GSC page=current M01 single-dimension/source-limited; query×page=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
