slug,locale,primary_query_intent,secondary_query_intents,candidate_quality_findings,release_recommendation,candidate_only,runtime_approved
accountants-and-auditors,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
accountants-and-auditors,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
actors,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
actors,en,what-is,,en_missing_article_or_plural_awkwardness|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
actuaries,zh-CN,what-is,,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
actuaries,en,what-is,,en_missing_article_or_plural_awkwardness|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
acupuncturists,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
acupuncturists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
acute-care-nurses,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
acute-care-nurses,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
adapted-physical-education-specialists,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
adapted-physical-education-specialists,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
adhesive-bonding-machine-operators-and-tenders,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
adhesive-bonding-machine-operators-and-tenders,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
administrative-law-judges-adjudicators-and-hearing-officers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
administrative-services-managers,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
administrative-services-managers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
adult-literacy-and-ged-teachers,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
adult-literacy-and-ged-teachers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
