id,type,severity,classification,key,count,routeFamilies,locales,urls
"duplicate-governance-001","duplicate_title","P2","watchlist","career","4","career_hub|test_category","en|zh","https://fermatmind.com/en/career|https://fermatmind.com/en/tests/category/career|https://fermatmind.com/zh/career|https://fermatmind.com/zh/tests/category/career"
"duplicate-governance-002","duplicate_title","P2","CMS_remediation_required","computer-and-information-technology","4","career_family|career_industry_detail","en|zh","https://fermatmind.com/en/career/family/computer-and-information-technology|https://fermatmind.com/en/career/industries/computer-and-information-technology|https://fermatmind.com/zh/career/family/computer-and-information-technology|https://fermatmind.com/zh/career/industries/computer-and-information-technology"
"duplicate-governance-003","duplicate_title","P2","CMS_remediation_required","healthcare","4","career_family|career_industry_detail","en|zh","https://fermatmind.com/en/career/family/healthcare|https://fermatmind.com/en/career/industries/healthcare|https://fermatmind.com/zh/career/family/healthcare|https://fermatmind.com/zh/career/industries/healthcare"
"duplicate-governance-004","duplicate_title","P2","watchlist","personality","4","personality_hub|test_category","en|zh","https://fermatmind.com/en/personality|https://fermatmind.com/en/tests/category/personality|https://fermatmind.com/zh/personality|https://fermatmind.com/zh/tests/category/personality"
"duplicate-governance-005","duplicate_title","P2","watchlist","tests","4","career_hub|tests_hub","en|zh","https://fermatmind.com/en/career/tests|https://fermatmind.com/en/tests|https://fermatmind.com/zh/career/tests|https://fermatmind.com/zh/tests"
"duplicate-governance-006","duplicate_title","P2","watchlist","about","3","help_detail|static_legal_help","en|zh","https://fermatmind.com/en/about|https://fermatmind.com/en/help/about|https://fermatmind.com/zh/about"
"duplicate-governance-007","duplicate_title","P2","CMS_remediation_required","architecture-and-engineering","2","career_industry_detail","en|zh","https://fermatmind.com/en/career/industries/architecture-and-engineering|https://fermatmind.com/zh/career/industries/architecture-and-engineering"
"duplicate-governance-008","duplicate_title","P2","CMS_remediation_required","are-infj-men-rare-or-socially-silenced","2","article_detail","en|zh","https://fermatmind.com/en/articles/are-infj-men-rare-or-socially-silenced|https://fermatmind.com/zh/articles/are-infj-men-rare-or-socially-silenced"
"duplicate-governance-009","duplicate_title","P2","acceptable_duplicate","articles","2","articles_hub","en|zh","https://fermatmind.com/en/articles|https://fermatmind.com/zh/articles"
"duplicate-governance-010","duplicate_title","P2","CMS_remediation_required","arts-and-design","2","career_industry_detail","en|zh","https://fermatmind.com/en/career/industries/arts-and-design|https://fermatmind.com/zh/career/industries/arts-and-design"
"duplicate-governance-011","duplicate_title","P2","CMS_remediation_required","best-valentines-date-by-personality-and-relationship-science","2","article_detail","en|zh","https://fermatmind.com/en/articles/best-valentines-date-by-personality-and-relationship-science|https://fermatmind.com/zh/articles/best-valentines-date-by-personality-and-relationship-science"
"duplicate-governance-012","duplicate_title","P2","CMS_remediation_required","big-five","2","topic_detail","en|zh","https://fermatmind.com/en/topics/big-five|https://fermatmind.com/zh/topics/big-five"
"duplicate-governance-013","duplicate_title","P2","acceptable_duplicate","big-five-personality-test-ocean-model","2","test_detail","en|zh","https://fermatmind.com/en/tests/big-five-personality-test-ocean-model|https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model"
