slug,locale,candidate_index,faq_candidate,candidate_only,runtime_approved
accountants-and-auditors,zh-CN,1,会计师和审计师主要做什么？,true,false
accountants-and-auditors,zh-CN,2,会计师和审计师需要哪些技能和准备？,true,false
accountants-and-auditors,zh-CN,3,会计师和审计师在 AI 时代哪些工作更容易被加速？,true,false
accountants-and-auditors,en,1,What does a Accountants and auditors do?,true,false
accountants-and-auditors,en,2,What skills and preparation matter for Accountants and auditors?,true,false
accountants-and-auditors,en,3,How does AI affect Accountants and auditors work?,true,false
actors,zh-CN,1,演员职业诊断主要做什么？,true,false
actors,zh-CN,2,演员职业诊断需要哪些技能和准备？,true,false
actors,zh-CN,3,演员职业诊断在 AI 时代哪些工作更容易被加速？,true,false
actors,en,1,What does a Actors do?,true,false
actors,en,2,What skills and preparation matter for Actors?,true,false
actors,en,3,How does AI affect Actors work?,true,false
actuaries,zh-CN,1,精算师职业诊断主要做什么？,true,false
actuaries,zh-CN,2,精算师职业诊断需要哪些技能和准备？,true,false
actuaries,zh-CN,3,精算师职业诊断在 AI 时代哪些工作更容易被加速？,true,false
actuaries,en,1,What does a Actuaries do?,true,false
actuaries,en,2,What skills and preparation matter for Actuaries?,true,false
actuaries,en,3,How does AI affect Actuaries work?,true,false
acupuncturists,zh-CN,1,针灸师主要做什么？,true,false
acupuncturists,zh-CN,2,针灸师需要哪些技能和准备？,true,false
acupuncturists,zh-CN,3,针灸师在 AI 时代哪些工作更容易被加速？,true,false
acupuncturists,en,1,What does a Acupuncturists do?,true,false
acupuncturists,en,2,What skills and preparation matter for Acupuncturists?,true,false
acupuncturists,en,3,How does AI affect Acupuncturists work?,true,false
acute-care-nurses,zh-CN,1,急症护理护士主要做什么？,true,false
acute-care-nurses,zh-CN,2,急症护理护士需要哪些技能和准备？,true,false
acute-care-nurses,zh-CN,3,急症护理护士在 AI 时代哪些工作更容易被加速？,true,false
acute-care-nurses,en,1,What does a Acute Care Nurses do?,true,false
acute-care-nurses,en,2,What skills and preparation matter for Acute Care Nurses?,true,false
acute-care-nurses,en,3,How does AI affect Acute Care Nurses work?,true,false
adapted-physical-education-specialists,zh-CN,1,专家教育主要做什么？,true,false
adapted-physical-education-specialists,zh-CN,2,专家教育需要哪些技能和准备？,true,false
adapted-physical-education-specialists,zh-CN,3,专家教育在 AI 时代哪些工作更容易被加速？,true,false
adapted-physical-education-specialists,en,1,What does a Adapted Physical Education Specialists do?,true,false
adapted-physical-education-specialists,en,2,What skills and preparation matter for Adapted Physical Education Specialists?,true,false
adapted-physical-education-specialists,en,3,How does AI affect Adapted Physical Education Specialists work?,true,false
adhesive-bonding-machine-operators-and-tenders,zh-CN,1,机器操作员看护员主要做什么？,true,false
adhesive-bonding-machine-operators-and-tenders,zh-CN,2,机器操作员看护员需要哪些技能和准备？,true,false
adhesive-bonding-machine-operators-and-tenders,zh-CN,3,机器操作员看护员在 AI 时代哪些工作更容易被加速？,true,false
adhesive-bonding-machine-operators-and-tenders,en,1,What does a Adhesive Bonding Machine Operators And Tenders do?,true,false
adhesive-bonding-machine-operators-and-tenders,en,2,What skills and preparation matter for Adhesive Bonding Machine Operators And Tenders?,true,false
adhesive-bonding-machine-operators-and-tenders,en,3,How does AI affect Adhesive Bonding Machine Operators And Tenders work?,true,false
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,1,行政法官、官主要做什么？,true,false
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,2,行政法官、官需要哪些技能和准备？,true,false
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,3,行政法官、官在 AI 时代哪些工作更容易被加速？,true,false
administrative-law-judges-adjudicators-and-hearing-officers,en,1,"What does a Administrative Law Judges, Adjudicators, And Hearing Officers do?",true,false
administrative-law-judges-adjudicators-and-hearing-officers,en,2,"What skills and preparation matter for Administrative Law Judges, Adjudicators, And Hearing Officers?",true,false
administrative-law-judges-adjudicators-and-hearing-officers,en,3,"How does AI affect Administrative Law Judges, Adjudicators, And Hearing Officers work?",true,false
administrative-services-managers,zh-CN,1,行政服务经理主要做什么？,true,false
administrative-services-managers,zh-CN,2,行政服务经理需要哪些技能和准备？,true,false
administrative-services-managers,zh-CN,3,行政服务经理在 AI 时代哪些工作更容易被加速？,true,false
administrative-services-managers,en,1,What does a Administrative Services Managers do?,true,false
administrative-services-managers,en,2,What skills and preparation matter for Administrative Services Managers?,true,false
administrative-services-managers,en,3,How does AI affect Administrative Services Managers work?,true,false
adult-literacy-and-ged-teachers,zh-CN,1,成人基础与中等教育及ESL教师适合谁？主要做什么？,true,false
adult-literacy-and-ged-teachers,zh-CN,2,成人基础与中等教育及ESL教师适合谁？需要哪些技能和准备？,true,false
adult-literacy-and-ged-teachers,zh-CN,3,成人基础与中等教育及ESL教师适合谁？在 AI 时代哪些工作更容易被加速？,true,false
adult-literacy-and-ged-teachers,en,1,What does a Adult Basic and Secondary Education and ESL Teachers do?,true,false
adult-literacy-and-ged-teachers,en,2,What skills and preparation matter for Adult Basic and Secondary Education and ESL Teachers?,true,false
adult-literacy-and-ged-teachers,en,3,How does AI affect Adult Basic and Secondary Education and ESL Teachers work?,true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,1,成人基础教育、成人中等教育、英语作为第二语言主要做什么？,true,false
