slug,locale,snippet_candidate,primary_query_intent,candidate_only,runtime_approved
accountants-and-auditors,zh-CN,会计师和审计师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“会计师和审计师适不适合我”的候选搜索摘要。,what-is,true,false
accountants-and-auditors,en,"Accountants and auditors covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
actors,zh-CN,演员职业诊断页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“演员职业诊断适不适合我”的候选搜索摘要。,what-is,true,false
actors,en,"Actors covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
actuaries,zh-CN,精算师职业诊断页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“精算师职业诊断适不适合我”的候选搜索摘要。,what-is,true,false
actuaries,en,"Actuaries covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
acupuncturists,zh-CN,针灸师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“针灸师适不适合我”的候选搜索摘要。,what-is,true,false
acupuncturists,en,"Acupuncturists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
acute-care-nurses,zh-CN,急症护理护士页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“急症护理护士适不适合我”的候选搜索摘要。,what-is,true,false
acute-care-nurses,en,"Acute Care Nurses covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
adapted-physical-education-specialists,zh-CN,专家教育页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“专家教育适不适合我”的候选搜索摘要。,what-is,true,false
adapted-physical-education-specialists,en,"Adapted Physical Education Specialists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
adhesive-bonding-machine-operators-and-tenders,zh-CN,机器操作员看护员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“机器操作员看护员适不适合我”的候选搜索摘要。,what-is,true,false
adhesive-bonding-machine-operators-and-tenders,en,"Adhesive Bonding Machine Operators And Tenders covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,行政法官、官页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“行政法官、官适不适合我”的候选搜索摘要。,what-is,true,false
administrative-law-judges-adjudicators-and-hearing-officers,en,"Administrative Law Judges, Adjudicators, And Hearing Officers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
administrative-services-managers,zh-CN,行政服务经理页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“行政服务经理适不适合我”的候选搜索摘要。,what-is,true,false
administrative-services-managers,en,"Administrative Services Managers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
adult-literacy-and-ged-teachers,zh-CN,成人基础与中等教育及ESL教师适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“成人基础与中等教育及ESL教师适合谁？适不适合我”的候选搜索摘要。,what-is,true,false
adult-literacy-and-ged-teachers,en,"Adult Basic and Secondary Education and ESL Teachers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,成人基础教育、成人中等教育、英语作为第二语言页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“成人基础教育、成人中等教育、英语作为第二语言适不适合我”的候选搜索摘要。,what-is,true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,"Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
advanced-practice-psychiatric-nurses,zh-CN,精神科护士页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“精神科护士适不适合我”的候选搜索摘要。,what-is,true,false
advanced-practice-psychiatric-nurses,en,"Advanced Practice Psychiatric Nurses covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
advertising-and-promotions-managers,zh-CN,广告与促销经理页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“广告与促销经理适不适合我”的候选搜索摘要。,what-is,true,false
advertising-and-promotions-managers,en,"Advertising And Promotions Managers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
advertising-sales-agents,zh-CN,广告销售代表适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“广告销售代表适合谁？适不适合我”的候选搜索摘要。,what-is,true,false
advertising-sales-agents,en,"Advertising Sales Agents covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
advertising-promotions-and-marketing-managers,zh-CN,广告、促销与市场经理适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“广告、促销与市场经理适合谁？适不适合我”的候选搜索摘要。,what-is,true,false
advertising-promotions-and-marketing-managers,en,"Advertising, Promotions, and Marketing Managers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
aerospace-engineering-and-operations-technicians,zh-CN,航空航天工程与运营技术员适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“航空航天工程与运营技术员适合谁？适不适合我”的候选搜索摘要。,what-is,true,false
aerospace-engineering-and-operations-technicians,en,"Aerospace Engineering and Operations Technologists and Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
aerospace-engineers,zh-CN,航空航天工程师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“航空航天工程师适不适合我”的候选搜索摘要。,what-is,true,false
aerospace-engineers,en,"Aerospace Engineers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,经理商业页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“经理商业适不适合我”的候选搜索摘要。,what-is,true,false
agents-and-business-managers-of-artists-performers-and-athletes,en,"Agents And Business Managers Of Artists, Performers, And Athletes covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
agricultural-and-food-science-technicians,zh-CN,农业与食品科学技术员适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业与食品科学技术员适合谁？适不适合我”的候选搜索摘要。,what-is,true,false
agricultural-and-food-science-technicians,en,"Agricultural and Food Science Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
agricultural-and-food-scientists,zh-CN,农业与食品科学家页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业与食品科学家适不适合我”的候选搜索摘要。,what-is,true,false
agricultural-and-food-scientists,en,"Agricultural And Food Scientists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
agricultural-engineers,zh-CN,农业工程师适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业工程师适合谁？适不适合我”的候选搜索摘要。,what-is,true,false
agricultural-engineers,en,"Agricultural Engineers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
agricultural-equipment-operators,zh-CN,农业操作员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业操作员适不适合我”的候选搜索摘要。,what-is,true,false
agricultural-equipment-operators,en,"Agricultural Equipment Operators covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
agricultural-inspectors,zh-CN,农业检查员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业检查员适不适合我”的候选搜索摘要。,what-is,true,false
agricultural-inspectors,en,"Agricultural Inspectors covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
agricultural-sciences-teachers-postsecondary,zh-CN,农业教师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业教师适不适合我”的候选搜索摘要。,what-is,true,false
agricultural-sciences-teachers-postsecondary,en,"Agricultural Sciences Teachers, Postsecondary covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
agricultural-technicians,zh-CN,农业技术员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业技术员适不适合我”的候选搜索摘要。,what-is,true,false
agricultural-technicians,en,"Agricultural Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
agricultural-workers,zh-CN,农业从业人员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业从业人员适不适合我”的候选搜索摘要。,what-is,true,false
agricultural-workers,en,"Agricultural Workers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
air-crew-members,zh-CN,机组成员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“机组成员适不适合我”的候选搜索摘要。,what-is,true,false
air-crew-members,en,"Air Crew Members covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
air-crew-officers,zh-CN,空勤军官页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“空勤军官适不适合我”的候选搜索摘要。,what-is,true,false
air-crew-officers,en,"Air Crew Officers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
air-traffic-controllers,zh-CN,空中交通管制员职业诊断页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“空中交通管制员职业诊断适不适合我”的候选搜索摘要。,what-is,true,false
air-traffic-controllers,en,"Air Traffic Controllers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,飞机与航空电子设备维修技师适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“飞机与航空电子设备维修技师适合谁？适不适合我”的候选搜索摘要。,what-is,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,en,"Aircraft and Avionics Equipment Mechanics and Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
