url,locale,entity_type,code,h1_ok,summary_ok,quick_answer_ok,sections_readable,faq_ok,method_boundary_ok,evidence_readable,internal_links_ok,language_quality_score_1_5,search_intent_fit_1_5,issue,severity
https://fermatmind.com/zh/personality/big-five,zh-CN,hub,big-five,yes,yes,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked,minor
https://fermatmind.com/zh/personality/big-five/openness,zh-CN,domain,openness,yes,yes,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked,major
https://fermatmind.com/zh/personality/big-five/conscientiousness,zh-CN,domain,conscientiousness,yes,no,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked,major
https://fermatmind.com/zh/personality/big-five/extraversion,zh-CN,domain,extraversion,yes,yes,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked,major
https://fermatmind.com/zh/personality/big-five/agreeableness,zh-CN,domain,agreeableness,yes,yes,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked,major
https://fermatmind.com/zh/personality/big-five/neuroticism,zh-CN,domain,neuroticism,yes,no,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked; emotional-health boundary needs human review before indexing,major
https://fermatmind.com/zh/personality/big-five/high-openness,zh-CN,polarity,high-openness,yes,yes,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked,major
https://fermatmind.com/zh/personality/big-five/low-openness,zh-CN,polarity,low-openness,yes,yes,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked,major
https://fermatmind.com/zh/personality/big-five/high-conscientiousness,zh-CN,polarity,high-conscientiousness,yes,no,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked,major
https://fermatmind.com/zh/personality/big-five/low-conscientiousness,zh-CN,polarity,low-conscientiousness,yes,yes,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked,major
https://fermatmind.com/zh/personality/big-five/high-extraversion,zh-CN,polarity,high-extraversion,yes,no,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked,major
https://fermatmind.com/zh/personality/big-five/low-extraversion,zh-CN,polarity,low-extraversion,yes,yes,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked,major
https://fermatmind.com/zh/personality/big-five/high-agreeableness,zh-CN,polarity,high-agreeableness,yes,no,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked,major
https://fermatmind.com/zh/personality/big-five/low-agreeableness,zh-CN,polarity,low-agreeableness,yes,yes,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked,major
https://fermatmind.com/zh/personality/big-five/high-neuroticism,zh-CN,polarity,high-neuroticism,yes,no,no,no,no,yes,yes,yes,4,3,placeholder media; evidence notes are reader-facing but not source-linked; emotional-health boundary needs human review before indexing,major
