priority_bucket,path,target_url,framework,locale,page_type,entity_key,priority_rank,priority_score,evidence_quality,query_rows_captured,automation_candidate,blocked_reason,recommended_next_task
"P1_QA_PASS_RECOMMENDATION_REFRESH_READY","/en/personality/big-five","https://fermatmind.com/en/personality/big-five","big_five","en","","","2","35","GSC_EVIDENCE_PENDING","0","true","","PERSONALITY-AGENT-RECOMMENDATION-AUTO-RUNNER-01"
"P1_QA_PASS_RECOMMENDATION_REFRESH_READY","/en/personality/big-five/agreeableness","https://fermatmind.com/en/personality/big-five/agreeableness","big_five","en","","","1","35","GSC_EVIDENCE_PENDING","0","true","","PERSONALITY-AGENT-RECOMMENDATION-AUTO-RUNNER-01"
"P1_QA_PASS_RECOMMENDATION_REFRESH_READY","/en/personality/big-five/conscientiousness","https://fermatmind.com/en/personality/big-five/conscientiousness","big_five","en","","","3","35","GSC_EVIDENCE_PENDING","0","true","","PERSONALITY-AGENT-RECOMMENDATION-AUTO-RUNNER-01"
"P1_QA_PASS_RECOMMENDATION_REFRESH_READY","/en/personality/big-five/emotional-stability","https://fermatmind.com/en/personality/big-five/emotional-stability","big_five","en","","","4","35","GSC_EVIDENCE_PENDING","0","true","","PERSONALITY-AGENT-RECOMMENDATION-AUTO-RUNNER-01"
"P1_QA_PASS_RECOMMENDATION_REFRESH_READY","/en/personality/big-five/extraversion","https://fermatmind.com/en/personality/big-five/extraversion","big_five","en","","","5","35","GSC_EVIDENCE_PENDING","0","true","","PERSONALITY-AGENT-RECOMMENDATION-AUTO-RUNNER-01"
"P1_QA_PASS_RECOMMENDATION_REFRESH_READY","/en/personality/big-five/facets","https://fermatmind.com/en/personality/big-five/facets","big_five","en","","","6","35","GSC_EVIDENCE_PENDING","0","true","","PERSONALITY-AGENT-RECOMMENDATION-AUTO-RUNNER-01"
"P1_QA_PASS_RECOMMENDATION_REFRESH_READY","/en/personality/big-five/high-agreeableness","https://fermatmind.com/en/personality/big-five/high-agreeableness","big_five","en","","","7","35","GSC_EVIDENCE_PENDING","0","true","","PERSONALITY-AGENT-RECOMMENDATION-AUTO-RUNNER-01"
"P1_QA_PASS_RECOMMENDATION_REFRESH_READY","/en/personality/big-five/high-conscientiousness","https://fermatmind.com/en/personality/big-five/high-conscientiousness","big_five","en","","","8","35","GSC_EVIDENCE_PENDING","0","true","","PERSONALITY-AGENT-RECOMMENDATION-AUTO-RUNNER-01"
"P1_QA_PASS_RECOMMENDATION_REFRESH_READY","/en/personality/big-five/high-extraversion","https://fermatmind.com/en/personality/big-five/high-extraversion","big_five","en","","","9","35","GSC_EVIDENCE_PENDING","0","true","","PERSONALITY-AGENT-RECOMMENDATION-AUTO-RUNNER-01"
"P1_QA_PASS_RECOMMENDATION_REFRESH_READY","/en/personality/big-five/high-neuroticism","https://fermatmind.com/en/personality/big-five/high-neuroticism","big_five","en","","","10","35","GSC_EVIDENCE_PENDING","0","true","","PERSONALITY-AGENT-RECOMMENDATION-AUTO-RUNNER-01"
