slug,title_en,title_zh_seed,soc_code_seed,onet_code_seed,fix_required
camera-operators-television-video-and-film,"Camera Operators, Television, Video, And Film",摄像操作员、电视、视频、电影,27-4031,27-4031.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
captains-mates-and-pilots-of-water-vessels,"Captains, Mates, And Pilots Of Water Vessels",大副、船舶,53-5021,53-5021.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
cardiovascular-technologists-and-technicians,Cardiovascular technologists and technicians,心血管技术员适合谁？,29-2031,29-2031.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
career-and-technical-education-teachers,"Career/Technical Education Teachers, Secondary School",中学职业/技术教育教师职业诊断,25-2032,25-2032.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
career-technical-education-teachers-middle-school,"Career/Technical Education Teachers, Middle School",教育教师,25-2023,25-2023.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
career-technical-education-teachers-postsecondary,"Career/Technical Education Teachers, Postsecondary",教育教师,25-1194,25-1194.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
career-technical-education-teachers-secondary-school,"Career/Technical Education Teachers, Secondary School",教育教师,25-2032,25-2032.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
cargo-and-freight-agents,Cargo And Freight Agents,货物与货运,43-5011,43-5011.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
carpenters,Carpenters,木工适合谁？,47-2031,47-2031.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
carpet-installers,Carpet Installers,地毯安装工,47-2041,47-2041.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
cartographers-and-photogrammetrists,Cartographers And Photogrammetrists,制图师与摄影测量师,17-1021,17-1021.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
cement-masons-and-concrete-finishers,Cement Masons And Concrete Finishers,水泥泥瓦工混凝土修整工,47-2051,47-2051.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
