refresh_id,article_id,translation_group_id,locale,slug,primary_query_cluster,gsc_window,clicks,impressions,ctr,position,primary_metric,selection_reason,package_status,english_v2_control_required,content_package_only,intended_cms_status,requires_operator_review,cms_draft_created,publish_allowed,search_submit_allowed,current_priority_rank,current_priority_score,current_priority_tier,current_gsc_grain,current_gsc_evidence_status,current_priority_rank,current_priority_score,current_priority_tier,current_gsc_grain,current_gsc_evidence_status
ARTICLE-REFRESH-01,3,big5-v2-df8d5e7f157e301b9a0f4dc8e6b8c3b66c7e31f4,zh,big-five-tool-guide,大五人格测试 怎么看分数,2026-07-13_to_2026-08-09,11,676,1.63%,7.91,position-controlled CTR + article_to_test_click,测试核心词当前错配到文章；保留解释 owner，但将交易 intent 明确回送测试 landing。,READY_NOT_IMPORTED,false,true,draft,true,false,false,false,6,25.8104,P2,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN,6,25.8104,P2,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN
ARTICLE-REFRESH-02,11,article-11,zh,are-infj-men-rare-or-socially-silenced,INFJ 男性 少见,2026-07-13_to_2026-08-09,6,209,2.87%,8.3,click retention + evidence engagement,SERP 常给出无清楚样本来源的比例；强化数据来源限制、性别/地区/工具口径。,READY_NOT_IMPORTED,false,true,draft,true,false,false,false,10,10.0000,P3,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN,10,10.0000,P3,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN
ARTICLE-REFRESH-03,51,tg_article_enneagram_personality_test_explained_2026v1,zh,enneagram-personality-test-explained,九型人格测试 准吗,2026-07-13_to_2026-08-09,4,620,0.65%,7.31,CTR + test CTA click,区分长期动机假设与表面行为；避免自报准确率与无来源验证。,READY_NOT_IMPORTED,false,true,draft,true,false,false,false,2,57.2503,P1,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN,2,57.2503,P1,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN
ARTICLE-REFRESH-04,58,tg_gaokao_adjustment_unacceptable_major_2026v1,zh,gaokao-major-adjustment-unacceptable-major-checklist,高考志愿 服从调剂,2026-07-13_to_2026-08-09,1,1085,0.09%,6.58,CTR + checklist engagement,不同省份规则不同；必须把官方招生章程与本省当年规则置于兴趣工具之前。,READY_NOT_IMPORTED,false,true,draft,true,false,false,false,1,167.4734,P1,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN,1,167.4734,P1,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN
ARTICLE-REFRESH-05,40,riasec-explanation-article-2026-06-v2,zh,riasec-holland-career-interest-test-explained,RIASEC 是什么,2026-07-13_to_2026-08-09,0,207,0.0%,6.86,CTR + RIASEC landing click,当前文章已被搜索观察到；应把定义、六维、三字码和不能推断的结论前置。,READY_NOT_IMPORTED,false,true,draft,true,false,false,false,5,30.1749,P2,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN,5,30.1749,P2,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN
ARTICLE-REFRESH-06,50,tg_article_iq_test_score_and_limits_explained_2026v1,zh,iq-test-score-and-limits-explained,在线 IQ 测试 准吗,2026-07-13_to_2026-08-09,0,118,0.0%,6.03,CTR + boundary comprehension,SERP 多为测试工具页；FermatMind 应清楚区分在线矩阵推理任务与正式标准化智力评估。,READY_NOT_IMPORTED,false,true,draft,true,false,false,false,8,19.5688,P3,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN,8,19.5688,P3,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN
ARTICLE-REFRESH-07,72,tg_major_career_mismatch_job_search_skills_2026v1,zh,major-career-mismatch-job-search-skills-plan,专业不对口 怎么找工作,2026-07-13_to_2026-08-09,0,211,0.0%,9.68,CTR + checklist completion + RIASEC click,把泛化鼓励改为 JD 动词—证据—缺口—验证的可执行链；RIASEC 只用于兴趣假设。,READY_NOT_IMPORTED,false,true,draft,true,false,false,false,7,21.7975,P2,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN,7,21.7975,P2,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN
ARTICLE-REFRESH-08,8,article-8,zh,mbti-basics,MBTI 是什么,2026-07-13_to_2026-08-09,1,600,0.17%,16.73,query owner clarity + CTR + test click,与 MBTI 测试 landing 分工：文章拥有 what/how/limitations，landing 拥有免费测试交易 intent。,READY_NOT_IMPORTED,false,true,draft,true,false,false,false,4,39.7669,P2,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN,4,39.7669,P2,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN
ARTICLE-REFRESH-09,78,big5-v2-a629c69a9a6cfa5fa7f3afde6d783a1efc21f537,zh,big-five-emotional-stability-stress-recovery-communication,大五人格 情绪稳定性低 怎么办,2026-07-13_to_2026-08-09,0,146,0.0%,12.71,CTR + action section engagement,把‘怎么办’回答成触发—恢复—沟通—求助四层动作，不把特质等同心理问题。,READY_NOT_IMPORTED,false,true,draft,true,false,false,false,9,11.4870,P3,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN,9,11.4870,P3,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN
ARTICLE-REFRESH-10,41,riasec-explanation-article-2026-06-v2,en,what-is-riasec-holland-code-career-interest-test,what is RIASEC Holland Code,2026-07-13_to_2026-08-09,3,1637,0.18%,24.58,ranking recovery + CTR + test click,"English SERP is tool-heavy; lead with six interests, code meaning, evidence boundary, then a focused public test CTA.",READY_NOT_IMPORTED,true,true,draft,true,false,false,false,3,52.6233,P1,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN,3,52.6233,P1,page_single_dimension,VERIFIED_SOURCE_LIMITED; query×page UNKNOWN
