"path","left","right","change_mode","section_count","faq_count","quick_judgment_rows","internal_link_count","query_primary","direct_answer"
"/zh/personality/intj-a-vs-intj-t","INTJ-A","INTJ-T","repair","9","5","4","5","INTJ-A 和 INTJ-T 的区别","INTJ-A 与 INTJ-T 的最大区别，是在相同建筑师核心偏好下处理反馈、压力与自我确认的节奏不同。A 型通常更快恢复判断并继续推进；T 型通常更愿意复盘风险、标准和外部反馈。两者都可能表现出长期系统、独立判断和结构化推进，不应用于诊断、招聘、能力排名或关系裁决。"
"/zh/personality/intp-a-vs-intp-t","INTP-A","INTP-T","verify_only","verify_only","verify_only","verify_only","verify_only","INTP-A 和 INTP-T 的区别",""
"/zh/personality/entj-a-vs-entj-t","ENTJ-A","ENTJ-T","repair","9","5","4","5","ENTJ-A 和 ENTJ-T 的区别","ENTJ-A 与 ENTJ-T 的最大区别，是在相同指挥官核心偏好下处理反馈、压力与自我确认的节奏不同。A 型通常更快恢复判断并继续推进；T 型通常更愿意复盘风险、标准和外部反馈。两者都可能表现出目标拆解、组织推进和决策责任，不应用于诊断、招聘、能力排名或关系裁决。"
"/zh/personality/entp-a-vs-entp-t","ENTP-A","ENTP-T","repair","9","5","4","5","ENTP-A 和 ENTP-T 的区别","ENTP-A 与 ENTP-T 的最大区别，是在相同辩论家核心偏好下处理反馈、压力与自我确认的节奏不同。A 型通常更快恢复判断并继续推进；T 型通常更愿意复盘风险、标准和外部反馈。两者都可能表现出机会试探、快速验证和观点碰撞，不应用于诊断、招聘、能力排名或关系裁决。"
"/zh/personality/infj-a-vs-infj-t","INFJ-A","INFJ-T","repair","9","5","4","5","INFJ-A 和 INFJ-T 的区别","INFJ-A 与 INFJ-T 的最大区别，是在相同提倡者核心偏好下处理反馈、压力与自我确认的节奏不同。A 型通常更快恢复判断并继续推进；T 型通常更愿意复盘风险、标准和外部反馈。两者都可能表现出意义洞察、长期关系和价值边界，不应用于诊断、招聘、能力排名或关系裁决。"
"/zh/personality/infp-a-vs-infp-t","INFP-A","INFP-T","repair","9","5","4","5","INFP-A 和 INFP-T 的区别","INFP-A 与 INFP-T 的最大区别，是在相同调停者核心偏好下处理反馈、压力与自我确认的节奏不同。A 型通常更快恢复判断并继续推进；T 型通常更愿意复盘风险、标准和外部反馈。两者都可能表现出价值感受、个人表达和内在一致性，不应用于诊断、招聘、能力排名或关系裁决。"
"/zh/personality/enfj-a-vs-enfj-t","ENFJ-A","ENFJ-T","repair","9","5","4","5","ENFJ-A 和 ENFJ-T 的区别","ENFJ-A 与 ENFJ-T 的最大区别，是在相同主人公核心偏好下处理反馈、压力与自我确认的节奏不同。A 型通常更快恢复判断并继续推进；T 型通常更愿意复盘风险、标准和外部反馈。两者都可能表现出群体协调、价值鼓励和关系动员，不应用于诊断、招聘、能力排名或关系裁决。"
"/zh/personality/enfp-a-vs-enfp-t","ENFP-A","ENFP-T","repair","9","5","4","5","ENFP-A 和 ENFP-T 的区别","ENFP-A 与 ENFP-T 的最大区别，是在相同竞选者核心偏好下处理反馈、压力与自我确认的节奏不同。A 型通常更快恢复判断并继续推进；T 型通常更愿意复盘风险、标准和外部反馈。两者都可能表现出可能性探索、表达连接和创意启动，不应用于诊断、招聘、能力排名或关系裁决。"
"/zh/personality/istj-a-vs-istj-t","ISTJ-A","ISTJ-T","repair","9","5","4","5","ISTJ-A 和 ISTJ-T 的区别","ISTJ-A 与 ISTJ-T 的最大区别，是在相同物流师核心偏好下处理反馈、压力与自我确认的节奏不同。A 型通常更快恢复判断并继续推进；T 型通常更愿意复盘风险、标准和外部反馈。两者都可能表现出事实核对、责任秩序和稳定执行，不应用于诊断、招聘、能力排名或关系裁决。"
"/zh/personality/isfj-a-vs-isfj-t","ISFJ-A","ISFJ-T","repair","9","5","4","5","ISFJ-A 和 ISFJ-T 的区别","ISFJ-A 与 ISFJ-T 的最大区别，是在相同守卫者核心偏好下处理反馈、压力与自我确认的节奏不同。A 型通常更快恢复判断并继续推进；T 型通常更愿意复盘风险、标准和外部反馈。两者都可能表现出经验照顾、现实支持和可靠维护，不应用于诊断、招聘、能力排名或关系裁决。"
