source_id,category,title,authors_or_org,year,DOI_or_URL,source_type,verification_level,claim_supported,how_used,credibility_score,access_date,competitor_url,page_type,coverage_observed,gap_implication,do_not_copy_warning,inference_note
A1,academic,The next Big Five Inventory (BFI-2): Developing and assessing a hierarchical model with 15 facets,Christopher J. Soto; Oliver P. John,2017,https://doi.org/10.1037/pspp0000096,peer_reviewed_paper,doi_metadata_verified,BFI-2 organizes broad Big Five domains with facet-level structure including Open-Mindedness facets.,Supports domain/facet boundary and evidence IDs for openness content.,5,2026-06-14,,,,,,
A2,academic,The Big Five Inventory-2 (BFI-2),Colby College Personality Lab / Christopher J. Soto,2017,https://www.colby.edu/academics/departments-and-programs/psychology/research-opportunities/personality-lab/the-bfi-2/,official_scale_documentation,official_doc_verified,BFI-2 documentation identifies five domains and 15 facet traits.,Supports terminology and public method boundary.,5,2026-06-14,,,,,,
A3,academic,Between facets and domains: 10 aspects of the Big Five,Colin G. DeYoung; Lena C. Quilty; Jordan B. Peterson,2007,https://doi.org/10.1037/0022-3514.93.5.880,peer_reviewed_paper,doi_metadata_verified,Openness/Intellect can be separated into related aspects between broad domain and narrow facets.,Supports openness/intellect distinction without treating openness as intelligence.,5,2026-06-14,,,,,,
A4,academic,International Personality Item Pool Home,International Personality Item Pool,current,https://ipip.ori.org/,official_measure_repository,official_doc_verified,IPIP provides public-domain personality scale items and Big Five-related scale ecosystem.,"Supports measurement ecosystem boundary, not item reuse.",4,2026-06-14,,,,,,
A5,academic,Personality structure: Emergence of the five-factor model,Robert R. McCrae; Oliver P. John,1992,https://doi.org/10.1146/annurev.ps.43.020192.002221,peer_reviewed_review,doi_metadata_verified,Five-factor model summarizes broad personality dimensions including Openness to Experience.,Supports dimensional model and non-type framing.,5,2026-06-14,,,,,,
A6,academic,Openness/Intellect: A Dimension of Personality Reflecting Cognitive Exploration,Colin G. DeYoung,2015,https://www.cambridge.org/core/books/cambridge-handbook-of-creativity-and-personality-research/opennessintellect/5F06D70F0FE4A53C2530522727762A49,academic_book_chapter_listing,abstract_verified,"Openness/Intellect relates to cognitive exploration, imagination, curiosity, and related cognition.",Supports careful non-deterministic examples.,4,2026-06-14,,,,,,
C1,competitor,The Big Five Personality Traits,Truity,current,https://www.truity.com/blog/page/big-five-personality-traits,competitor_public_content,metadata_verified,Competitor covers basic Big Five trait definitions.,Gap review only.,3,2026-06-14,https://www.truity.com/blog/page/big-five-personality-traits,guide,Plain-language high-level trait overview.,FermatMind needs stronger method boundary and source tracing.,Do not copy wording or section order.,
C2,competitor,Free Big Five Personality Test,Truity,current,https://www.truity.com/test/big-five-personality-test,competitor_public_content,metadata_verified,Competitor frames test as trait spectrum.,Search intent and CTA pattern only.,3,2026-06-14,https://www.truity.com/test/big-five-personality-test,test landing,Trait test page links learning content to conversion.,FermatMind can link to test while keeping this package noindex.,Do not copy conversion copy.,
C3,competitor,How Openness Affects Your Behavior,Verywell Mind,2020,https://www.verywellmind.com/how-openness-influences-your-behavior-4796351,reference_public_content,metadata_verified,Public pages cover behavior examples and high/low openness.,Gap review only.,3,2026-06-14,https://www.verywellmind.com/how-openness-influences-your-behavior-4796351,reference article,Everyday implications and high/low examples.,FermatMind should avoid therapy or medical framing.,Do not paraphrase examples.,
C4,competitor,Big Five Personality Test,Open Source Psychometrics Project,current,https://openpsychometrics.org/tests/IPIP-BFFM/,public_test_content,metadata_verified,Public test uses IPIP Big-Five Factor Markers and self-report inventory language.,Self-report boundary only.,3,2026-06-14,https://openpsychometrics.org/tests/IPIP-BFFM/,public test,Self-report inventory and public-domain test context.,FermatMind should separate content page from private result interpretation.,Do not copy item wording.,
