decision,path,target_url,framework,locale,page_type,mbti_type,priority_rank,priority_score,evidence_quality,query_rows_captured,blocked_reason,recommended_next_task
"SELECTED_FOR_NEXT_BATCH_RECOMMENDATION_REVIEW","/zh/personality/intp-a","https://fermatmind.com/zh/personality/intp-a","mbti64","zh","variant","INTP","1","67.45","query_backed_low_volume","1","","PERSONALITY-AGENT-OPERATIONS-NEXT-BATCH-RECOMMENDATIONS-01"
"SELECTED_FOR_NEXT_BATCH_RECOMMENDATION_REVIEW","/zh/personality/esfp-a","https://fermatmind.com/zh/personality/esfp-a","mbti64","zh","variant","ESFP","2","62.021","query_backed_low_volume","1","","PERSONALITY-AGENT-OPERATIONS-NEXT-BATCH-RECOMMENDATIONS-01"
"SELECTED_FOR_NEXT_BATCH_RECOMMENDATION_REVIEW","/en/personality/enfj-a","https://fermatmind.com/en/personality/enfj-a","mbti64","en","variant","ENFJ","3","61.848","query_backed_low_volume","1","","PERSONALITY-AGENT-OPERATIONS-NEXT-BATCH-RECOMMENDATIONS-01"
"HOLD_QUERY_EVIDENCE_SUPPRESSED","/zh/personality/istp-a","https://fermatmind.com/zh/personality/istp-a","mbti64","zh","variant","ISTP","4","73.612","page_level_only_query_suppressed","0","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"HOLD_QUERY_EVIDENCE_SUPPRESSED","/zh/personality/esfj-a","https://fermatmind.com/zh/personality/esfj-a","mbti64","zh","variant","ESFJ","5","60.521","page_level_only_query_suppressed","0","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"HOLD_QUERY_EVIDENCE_SUPPRESSED","/zh/personality/intp-a-vs-intp-t","https://fermatmind.com/zh/personality/intp-a-vs-intp-t","mbti64","zh","comparison","INTP","6","59.542","page_level_only_query_suppressed","0","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"HOLD_QUERY_EVIDENCE_SUPPRESSED","/en/personality/esfj-t","https://fermatmind.com/en/personality/esfj-t","mbti64","en","variant","ESFJ","7","59.082","page_level_only_query_suppressed","0","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"HOLD_QUERY_EVIDENCE_SUPPRESSED","/en/personality/intp-a","https://fermatmind.com/en/personality/intp-a","mbti64","en","variant","INTP","8","59.021","page_level_only_query_suppressed","0","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"HOLD_QUERY_EVIDENCE_SUPPRESSED","/en/personality/istp-a","https://fermatmind.com/en/personality/istp-a","mbti64","en","variant","ISTP","9","56.021","page_level_only_query_suppressed","0","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"HOLD_QUERY_EVIDENCE_SUPPRESSED","/en/personality/enfp-a","https://fermatmind.com/en/personality/enfp-a","mbti64","en","variant","ENFP","10","55.828","page_level_only_query_suppressed","0","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"HOLD_QUERY_EVIDENCE_SUPPRESSED","/en/personality/esfj-a","https://fermatmind.com/en/personality/esfj-a","mbti64","en","variant","ESFJ","11","47.041","page_level_only_query_suppressed","0","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"HOLD_QUERY_EVIDENCE_SUPPRESSED","/en/personality/entj-a","https://fermatmind.com/en/personality/entj-a","mbti64","en","variant","ENTJ","12","44.542","page_level_only_query_suppressed","0","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"HOLD_QUERY_EVIDENCE_SUPPRESSED","/en/personality/estp-t","https://fermatmind.com/en/personality/estp-t","mbti64","en","variant","ESTP","13","44.542","page_level_only_query_suppressed","0","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
