level,slug,locale,code,message
repair_required,__template__,,repeated_task_template,Document and record summarization: 40 rows
repair_required,__template__,,repeated_task_template,Pattern and exception screening: 40 rows
repair_required,__template__,,repeated_task_template,Draft communication: 40 rows
repair_required,__template__,,repeated_task_template,Planning support: 40 rows
repair_required,__template__,,repeated_task_template,On-site judgment: 40 rows
repair_required,__template__,,repeated_task_template,Safety and accountability: 40 rows
repair_required,accountants-and-auditors,zh-CN,generic_template_asset,最终责任和复杂判断仍在人
repair_required,actors,zh-CN,generic_template_asset,最终责任和复杂判断仍在人
repair_required,actuaries,zh-CN,generic_template_asset,最终责任和复杂判断仍在人
repair_required,acupuncturists,zh-CN,generic_template_asset,最终责任和复杂判断仍在人
repair_required,acute-care-nurses,zh-CN,generic_template_asset,最终责任和复杂判断仍在人
repair_required,adapted-physical-education-specialists,zh-CN,generic_template_asset,"work still depends on the conditions, people, equipment or environment"
repair_required,adapted-physical-education-specialists,zh-CN,generic_template_asset,AI can compare routine records
repair_required,adapted-physical-education-specialists,zh-CN,generic_template_asset,AI can draft routine explanations
repair_required,adapted-physical-education-specialists,zh-CN,generic_template_asset,Final decisions remain human because mistakes can affect safety
repair_required,adapted-physical-education-specialists,zh-CN,generic_template_asset,最终责任和复杂判断仍在人
repair_required,adapted-physical-education-specialists,zh-CN,generic_template_asset,把混乱的
repair_required,adapted-physical-education-specialists,zh-CN,generic_template_asset,"AI can turn procedures, schedules and known constraints"
repair_required,adapted-physical-education-specialists,en,generic_template_asset,"work still depends on the conditions, people, equipment or environment"
repair_required,adapted-physical-education-specialists,en,generic_template_asset,AI can compare routine records
repair_required,adapted-physical-education-specialists,en,generic_template_asset,AI can draft routine explanations
repair_required,adapted-physical-education-specialists,en,generic_template_asset,Final decisions remain human because mistakes can affect safety
repair_required,adapted-physical-education-specialists,en,generic_template_asset,"AI can turn procedures, schedules and known constraints"
repair_required,adhesive-bonding-machine-operators-and-tenders,zh-CN,generic_template_asset,"work still depends on the conditions, people, equipment or environment"
repair_required,adhesive-bonding-machine-operators-and-tenders,zh-CN,generic_template_asset,AI can compare routine records
repair_required,adhesive-bonding-machine-operators-and-tenders,zh-CN,generic_template_asset,AI can draft routine explanations
repair_required,adhesive-bonding-machine-operators-and-tenders,zh-CN,generic_template_asset,Final decisions remain human because mistakes can affect safety
repair_required,adhesive-bonding-machine-operators-and-tenders,zh-CN,generic_template_asset,最终责任和复杂判断仍在人
repair_required,adhesive-bonding-machine-operators-and-tenders,zh-CN,generic_template_asset,把混乱的
repair_required,adhesive-bonding-machine-operators-and-tenders,zh-CN,generic_template_asset,"AI can turn procedures, schedules and known constraints"
repair_required,adhesive-bonding-machine-operators-and-tenders,en,generic_template_asset,"work still depends on the conditions, people, equipment or environment"
repair_required,adhesive-bonding-machine-operators-and-tenders,en,generic_template_asset,AI can compare routine records
repair_required,adhesive-bonding-machine-operators-and-tenders,en,generic_template_asset,AI can draft routine explanations
repair_required,adhesive-bonding-machine-operators-and-tenders,en,generic_template_asset,Final decisions remain human because mistakes can affect safety
repair_required,adhesive-bonding-machine-operators-and-tenders,en,generic_template_asset,"AI can turn procedures, schedules and known constraints"
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,generic_template_asset,"work still depends on the conditions, people, equipment or environment"
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,generic_template_asset,AI can compare routine records
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,generic_template_asset,AI can draft routine explanations
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,generic_template_asset,Final decisions remain human because mistakes can affect safety
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,generic_template_asset,最终责任和复杂判断仍在人
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,generic_template_asset,把混乱的
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,generic_template_asset,"AI can turn procedures, schedules and known constraints"
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,en,generic_template_asset,"work still depends on the conditions, people, equipment or environment"
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,en,generic_template_asset,AI can compare routine records
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,en,generic_template_asset,AI can draft routine explanations
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,en,generic_template_asset,Final decisions remain human because mistakes can affect safety
repair_required,administrative-law-judges-adjudicators-and-hearing-officers,en,generic_template_asset,"AI can turn procedures, schedules and known constraints"
repair_required,administrative-services-managers,zh-CN,generic_template_asset,"work still depends on the conditions, people, equipment or environment"
repair_required,administrative-services-managers,zh-CN,generic_template_asset,AI can compare routine records
repair_required,administrative-services-managers,zh-CN,generic_template_asset,AI can draft routine explanations
repair_required,administrative-services-managers,zh-CN,generic_template_asset,Final decisions remain human because mistakes can affect safety
repair_required,administrative-services-managers,zh-CN,generic_template_asset,最终责任和复杂判断仍在人
repair_required,administrative-services-managers,zh-CN,generic_template_asset,把混乱的
repair_required,administrative-services-managers,zh-CN,generic_template_asset,"AI can turn procedures, schedules and known constraints"
repair_required,administrative-services-managers,en,generic_template_asset,"work still depends on the conditions, people, equipment or environment"
repair_required,administrative-services-managers,en,generic_template_asset,AI can compare routine records
repair_required,administrative-services-managers,en,generic_template_asset,AI can draft routine explanations
repair_required,administrative-services-managers,en,generic_template_asset,Final decisions remain human because mistakes can affect safety
