seed_ordinal,slug,title_en,title_zh,soc_code,onet_code,expected_locales
1,accountants-and-auditors,Accountants and auditors,会计师和审计师,13-2011,13-2011.00,"['zh-CN', 'en']"
2,actors,Actors,演员职业诊断,,,"['zh-CN', 'en']"
3,actuaries,Actuaries,精算师职业诊断,15-2011,15-2011.00,"['zh-CN', 'en']"
4,acupuncturists,Acupuncturists,针灸师,29-1291,29-1291.00,"['zh-CN', 'en']"
5,acute-care-nurses,Acute Care Nurses,急症护理护士,29-1141,29-1141.01,"['zh-CN', 'en']"
6,adapted-physical-education-specialists,Adapted Physical Education Specialists,专家教育,25-2059,25-2059.01,"['zh-CN', 'en']"
7,adhesive-bonding-machine-operators-and-tenders,Adhesive Bonding Machine Operators And Tenders,机器操作员看护员,51-9191,51-9191.00,"['zh-CN', 'en']"
8,administrative-law-judges-adjudicators-and-hearing-officers,"Administrative Law Judges, Adjudicators, And Hearing Officers",行政法官、官,23-1021,23-1021.00,"['zh-CN', 'en']"
9,administrative-services-managers,Administrative Services Managers,行政服务经理,11-3012,11-3012.00,"['zh-CN', 'en']"
10,adult-literacy-and-ged-teachers,Adult Basic and Secondary Education and ESL Teachers,成人基础与中等教育及ESL教师适合谁？,25-3011,25-3011.00,"['zh-CN', 'en']"
11,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,"Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors",成人基础教育、成人中等教育、英语作为第二语言,25-3011,25-3011.00,"['zh-CN', 'en']"
12,advanced-practice-psychiatric-nurses,Advanced Practice Psychiatric Nurses,精神科护士,29-1141,29-1141.02,"['zh-CN', 'en']"
13,advertising-and-promotions-managers,Advertising And Promotions Managers,广告与促销经理,11-2011,11-2011.00,"['zh-CN', 'en']"
15,advertising-promotions-and-marketing-managers,"Advertising, Promotions, and Marketing Managers",广告、促销与市场经理适合谁？,11-2021,11-2021.00,"['zh-CN', 'en']"
16,aerospace-engineering-and-operations-technicians,Aerospace Engineering and Operations Technologists and Technicians,航空航天工程与运营技术员适合谁？,17-3021,17-3021.00,"['zh-CN', 'en']"
17,aerospace-engineers,Aerospace Engineers,航空航天工程师,17-2011,17-2011.00,"['zh-CN', 'en']"
18,agents-and-business-managers-of-artists-performers-and-athletes,"Agents And Business Managers Of Artists, Performers, And Athletes",经理商业,13-1011,13-1011.00,"['zh-CN', 'en']"
22,agricultural-equipment-operators,Agricultural Equipment Operators,农业操作员,45-2091,45-2091.00,"['zh-CN', 'en']"
24,agricultural-sciences-teachers-postsecondary,"Agricultural Sciences Teachers, Postsecondary",农业教师,25-1041,25-1041.00,"['zh-CN', 'en']"
26,agricultural-workers,Agricultural Workers,农业从业人员,45-2092,45-2092.00,"['zh-CN', 'en']"
27,air-crew-members,Air Crew Members,机组成员,55-3011,55-3011.00,"['zh-CN', 'en']"
28,air-crew-officers,Air Crew Officers,空勤军官,55-1011,55-1011.00,"['zh-CN', 'en']"
29,air-traffic-controllers,Air Traffic Controllers,空中交通管制员职业诊断,53-2021,53-2021.00,"['zh-CN', 'en']"
30,aircraft-and-avionics-equipment-mechanics-and-technicians,Aircraft and Avionics Equipment Mechanics and Technicians,飞机与航空电子设备维修技师适合谁？,49-3011,49-3011.00,"['zh-CN', 'en']"
31,aircraft-cargo-handling-supervisors,Aircraft Cargo Handling Supervisors,飞机货物装卸主管,53-1041,53-1041.00,"['zh-CN', 'en']"
32,aircraft-launch-and-recovery-officers,Aircraft Launch And Recovery Officers,飞机官,55-1012,55-1012.00,"['zh-CN', 'en']"
33,aircraft-launch-and-recovery-specialists,Aircraft Launch And Recovery Specialists,飞机专员,55-3012,55-3012.00,"['zh-CN', 'en']"
34,aircraft-mechanics-and-service-technicians,Aircraft Mechanics And Service Technicians,飞机机械师技术员,49-3011,49-3011.00,"['zh-CN', 'en']"
35,aircraft-service-attendants,Aircraft Service Attendants,飞机服务服务员,53-6032,53-6032.00,"['zh-CN', 'en']"
