query,locale,country,device,captured_at,rank,rank_type,url,domain,page_type,title_snippet,serp_feature,intent,source_quality,useful_pattern,pattern_not_to_copy,evidence_status
大五人格测试 怎么看分数,zh,Unknown,Unknown,2026-08-10T12:00:00+08:00,1,web_search_observed_order_not_location_controlled_google_rank,https://bigfivepersonality.me/zh/blog/da-wu-ren-ge-liang-biao,bigfivepersonality.me,tool-guide,Unknown,Unknown,量表/维度/百分位,secondary_or_vendor,量表/维度/百分位,Vendor content; measurement claims require independent verification,VERIFIED current web search result; Top-10 completeness UNKNOWN
大五人格测试 怎么看分数,zh,Unknown,Unknown,2026-08-10T12:00:00+08:00,2,web_search_observed_order_not_location_controlled_google_rank,https://fermatmind.com/zh/articles/big-five-tool-guide,fermatmind.com,FermatMind article,Unknown,Unknown,边界和结果解释,first_party,边界和结果解释,Protect; send transactional intent to test landing,VERIFIED current web search result; Top-10 completeness UNKNOWN
INFJ 男性 少见,zh,Unknown,Unknown,2026-08-10T12:00:00+08:00,1,web_search_observed_order_not_location_controlled_google_rank,https://zh.wikipedia.org/wiki/INFJ,zh.wikipedia.org,reference summary,Unknown,Unknown,比例与类型定义,secondary_or_vendor,比例与类型定义,"Use only to locate primary population source, not as final proof",VERIFIED current web search result; Top-10 completeness UNKNOWN
九型人格测试 准吗,zh,Unknown,Unknown,2026-08-10T12:00:00+08:00,1,web_search_observed_order_not_location_controlled_google_rank,https://enneagramtest.me/zh/blog/enneagram-mistypes-how-to-check-your-core-type,enneagramtest.me,vendor article,Unknown,Unknown,核心动机/误判,secondary_or_vendor,核心动机/误判,Pattern useful; vendor claims not authority,VERIFIED current web search result; Top-10 completeness UNKNOWN
九型人格测试 准吗,zh,Unknown,Unknown,2026-08-10T12:00:00+08:00,2,web_search_observed_order_not_location_controlled_google_rank,https://fermatmind.com/zh/articles/enneagram-personality-test-explained,fermatmind.com,FermatMind article,Unknown,Unknown,可用/不可用结论,first_party,可用/不可用结论,Current owner observed,VERIFIED current web search result; Top-10 completeness UNKNOWN
高考志愿 服从调剂,zh,Unknown,Unknown,2026-08-10T12:00:00+08:00,1,web_search_observed_order_not_location_controlled_google_rank,https://gaokao.chsi.com.cn/gkxx/zc/ss/202606/20260629/2293848519.html,gaokao.chsi.com.cn,official admissions Q&A,Unknown,Unknown,当年/地区规则,official,当年/地区规则,Primary current official source pattern,VERIFIED current web search result; Top-10 completeness UNKNOWN
高考志愿 服从调剂,zh,Unknown,Unknown,2026-08-10T12:00:00+08:00,2,web_search_observed_order_not_location_controlled_google_rank,https://gaokao.eol.cn/news/202407/t20240703_2621356.shtml,gaokao.eol.cn,education portal,Unknown,Unknown,概念解释,secondary_or_vendor,概念解释,Secondary; current province rule still required,VERIFIED current web search result; Top-10 completeness UNKNOWN
RIASEC 是什么,zh,Unknown,Unknown,2026-08-10T12:00:00+08:00,1,web_search_observed_order_not_location_controlled_google_rank,https://fermatmind.com/zh/articles/riasec-holland-career-interest-test-explained,fermatmind.com,FermatMind article,Unknown,Unknown,六种兴趣/边界,first_party,六种兴趣/边界,Current owner observed,VERIFIED current web search result; Top-10 completeness UNKNOWN
RIASEC 是什么,zh,Unknown,Unknown,2026-08-10T12:00:00+08:00,2,web_search_observed_order_not_location_controlled_google_rank,https://riasectest.com/zh/blog/online-riasec-test-discover-your-career-clarity-with-holland-code-types,riasectest.com,vendor article,Unknown,Unknown,六维/代码,secondary_or_vendor,六维/代码,Do not copy or inherit matching guarantees,VERIFIED current web search result; Top-10 completeness UNKNOWN
在线 IQ 测试 准吗,zh,Unknown,Unknown,2026-08-10T12:00:00+08:00,1,web_search_observed_order_not_location_controlled_google_rank,https://international-iq-test.com/zh-Hans/,international-iq-test.com,test landing,Unknown,Unknown,即时测试/分数,secondary_or_vendor,即时测试/分数,Tool-heavy SERP; claims require instrument evidence,VERIFIED current web search result; Top-10 completeness UNKNOWN
