locale,code_a,code_b,similarity,url_a,url_b
zh-CN,openness,conscientiousness,1,https://www.fermatmind.com/zh/personality/big-five/openness,https://www.fermatmind.com/zh/personality/big-five/conscientiousness
zh-CN,openness,extraversion,1,https://www.fermatmind.com/zh/personality/big-five/openness,https://www.fermatmind.com/zh/personality/big-five/extraversion
zh-CN,openness,agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/openness,https://www.fermatmind.com/zh/personality/big-five/agreeableness
zh-CN,openness,neuroticism,1,https://www.fermatmind.com/zh/personality/big-five/openness,https://www.fermatmind.com/zh/personality/big-five/neuroticism
zh-CN,conscientiousness,extraversion,1,https://www.fermatmind.com/zh/personality/big-five/conscientiousness,https://www.fermatmind.com/zh/personality/big-five/extraversion
zh-CN,conscientiousness,agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/conscientiousness,https://www.fermatmind.com/zh/personality/big-five/agreeableness
zh-CN,conscientiousness,neuroticism,1,https://www.fermatmind.com/zh/personality/big-five/conscientiousness,https://www.fermatmind.com/zh/personality/big-five/neuroticism
zh-CN,extraversion,agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/extraversion,https://www.fermatmind.com/zh/personality/big-five/agreeableness
zh-CN,extraversion,neuroticism,1,https://www.fermatmind.com/zh/personality/big-five/extraversion,https://www.fermatmind.com/zh/personality/big-five/neuroticism
zh-CN,agreeableness,neuroticism,1,https://www.fermatmind.com/zh/personality/big-five/agreeableness,https://www.fermatmind.com/zh/personality/big-five/neuroticism
zh-CN,high-openness,low-openness,1,https://www.fermatmind.com/zh/personality/big-five/high-openness,https://www.fermatmind.com/zh/personality/big-five/low-openness
zh-CN,high-openness,high-conscientiousness,1,https://www.fermatmind.com/zh/personality/big-five/high-openness,https://www.fermatmind.com/zh/personality/big-five/high-conscientiousness
zh-CN,high-openness,low-conscientiousness,1,https://www.fermatmind.com/zh/personality/big-five/high-openness,https://www.fermatmind.com/zh/personality/big-five/low-conscientiousness
zh-CN,high-openness,high-extraversion,1,https://www.fermatmind.com/zh/personality/big-five/high-openness,https://www.fermatmind.com/zh/personality/big-five/high-extraversion
zh-CN,high-openness,low-extraversion,1,https://www.fermatmind.com/zh/personality/big-five/high-openness,https://www.fermatmind.com/zh/personality/big-five/low-extraversion
zh-CN,high-openness,high-agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/high-openness,https://www.fermatmind.com/zh/personality/big-five/high-agreeableness
zh-CN,high-openness,low-agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/high-openness,https://www.fermatmind.com/zh/personality/big-five/low-agreeableness
zh-CN,high-openness,high-neuroticism,1,https://www.fermatmind.com/zh/personality/big-five/high-openness,https://www.fermatmind.com/zh/personality/big-five/high-neuroticism
zh-CN,high-openness,emotional-stability,1,https://www.fermatmind.com/zh/personality/big-five/high-openness,https://www.fermatmind.com/zh/personality/big-five/emotional-stability
zh-CN,low-openness,high-conscientiousness,1,https://www.fermatmind.com/zh/personality/big-five/low-openness,https://www.fermatmind.com/zh/personality/big-five/high-conscientiousness
zh-CN,low-openness,low-conscientiousness,1,https://www.fermatmind.com/zh/personality/big-five/low-openness,https://www.fermatmind.com/zh/personality/big-five/low-conscientiousness
zh-CN,low-openness,high-extraversion,1,https://www.fermatmind.com/zh/personality/big-five/low-openness,https://www.fermatmind.com/zh/personality/big-five/high-extraversion
zh-CN,low-openness,low-extraversion,1,https://www.fermatmind.com/zh/personality/big-five/low-openness,https://www.fermatmind.com/zh/personality/big-five/low-extraversion
zh-CN,low-openness,high-agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/low-openness,https://www.fermatmind.com/zh/personality/big-five/high-agreeableness
zh-CN,low-openness,low-agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/low-openness,https://www.fermatmind.com/zh/personality/big-five/low-agreeableness
zh-CN,low-openness,high-neuroticism,1,https://www.fermatmind.com/zh/personality/big-five/low-openness,https://www.fermatmind.com/zh/personality/big-five/high-neuroticism
zh-CN,low-openness,emotional-stability,1,https://www.fermatmind.com/zh/personality/big-five/low-openness,https://www.fermatmind.com/zh/personality/big-five/emotional-stability
zh-CN,high-conscientiousness,low-conscientiousness,1,https://www.fermatmind.com/zh/personality/big-five/high-conscientiousness,https://www.fermatmind.com/zh/personality/big-five/low-conscientiousness
zh-CN,high-conscientiousness,high-extraversion,1,https://www.fermatmind.com/zh/personality/big-five/high-conscientiousness,https://www.fermatmind.com/zh/personality/big-five/high-extraversion
zh-CN,high-conscientiousness,low-extraversion,1,https://www.fermatmind.com/zh/personality/big-five/high-conscientiousness,https://www.fermatmind.com/zh/personality/big-five/low-extraversion
zh-CN,high-conscientiousness,high-agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/high-conscientiousness,https://www.fermatmind.com/zh/personality/big-five/high-agreeableness
zh-CN,high-conscientiousness,low-agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/high-conscientiousness,https://www.fermatmind.com/zh/personality/big-five/low-agreeableness
zh-CN,high-conscientiousness,high-neuroticism,1,https://www.fermatmind.com/zh/personality/big-five/high-conscientiousness,https://www.fermatmind.com/zh/personality/big-five/high-neuroticism
zh-CN,high-conscientiousness,emotional-stability,1,https://www.fermatmind.com/zh/personality/big-five/high-conscientiousness,https://www.fermatmind.com/zh/personality/big-five/emotional-stability
zh-CN,low-conscientiousness,high-extraversion,1,https://www.fermatmind.com/zh/personality/big-five/low-conscientiousness,https://www.fermatmind.com/zh/personality/big-five/high-extraversion
zh-CN,low-conscientiousness,low-extraversion,1,https://www.fermatmind.com/zh/personality/big-five/low-conscientiousness,https://www.fermatmind.com/zh/personality/big-five/low-extraversion
zh-CN,low-conscientiousness,high-agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/low-conscientiousness,https://www.fermatmind.com/zh/personality/big-five/high-agreeableness
zh-CN,low-conscientiousness,low-agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/low-conscientiousness,https://www.fermatmind.com/zh/personality/big-five/low-agreeableness
zh-CN,low-conscientiousness,high-neuroticism,1,https://www.fermatmind.com/zh/personality/big-five/low-conscientiousness,https://www.fermatmind.com/zh/personality/big-five/high-neuroticism
zh-CN,low-conscientiousness,emotional-stability,1,https://www.fermatmind.com/zh/personality/big-five/low-conscientiousness,https://www.fermatmind.com/zh/personality/big-five/emotional-stability
zh-CN,high-extraversion,low-extraversion,1,https://www.fermatmind.com/zh/personality/big-five/high-extraversion,https://www.fermatmind.com/zh/personality/big-five/low-extraversion
zh-CN,high-extraversion,high-agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/high-extraversion,https://www.fermatmind.com/zh/personality/big-five/high-agreeableness
zh-CN,high-extraversion,low-agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/high-extraversion,https://www.fermatmind.com/zh/personality/big-five/low-agreeableness
zh-CN,high-extraversion,high-neuroticism,1,https://www.fermatmind.com/zh/personality/big-five/high-extraversion,https://www.fermatmind.com/zh/personality/big-five/high-neuroticism
zh-CN,high-extraversion,emotional-stability,1,https://www.fermatmind.com/zh/personality/big-five/high-extraversion,https://www.fermatmind.com/zh/personality/big-five/emotional-stability
zh-CN,low-extraversion,high-agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/low-extraversion,https://www.fermatmind.com/zh/personality/big-five/high-agreeableness
zh-CN,low-extraversion,low-agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/low-extraversion,https://www.fermatmind.com/zh/personality/big-five/low-agreeableness
zh-CN,low-extraversion,high-neuroticism,1,https://www.fermatmind.com/zh/personality/big-five/low-extraversion,https://www.fermatmind.com/zh/personality/big-five/high-neuroticism
zh-CN,low-extraversion,emotional-stability,1,https://www.fermatmind.com/zh/personality/big-five/low-extraversion,https://www.fermatmind.com/zh/personality/big-five/emotional-stability
zh-CN,high-agreeableness,low-agreeableness,1,https://www.fermatmind.com/zh/personality/big-five/high-agreeableness,https://www.fermatmind.com/zh/personality/big-five/low-agreeableness
zh-CN,high-agreeableness,high-neuroticism,1,https://www.fermatmind.com/zh/personality/big-five/high-agreeableness,https://www.fermatmind.com/zh/personality/big-five/high-neuroticism
zh-CN,high-agreeableness,emotional-stability,1,https://www.fermatmind.com/zh/personality/big-five/high-agreeableness,https://www.fermatmind.com/zh/personality/big-five/emotional-stability
zh-CN,low-agreeableness,high-neuroticism,1,https://www.fermatmind.com/zh/personality/big-five/low-agreeableness,https://www.fermatmind.com/zh/personality/big-five/high-neuroticism
zh-CN,low-agreeableness,emotional-stability,1,https://www.fermatmind.com/zh/personality/big-five/low-agreeableness,https://www.fermatmind.com/zh/personality/big-five/emotional-stability
zh-CN,high-neuroticism,emotional-stability,1,https://www.fermatmind.com/zh/personality/big-five/high-neuroticism,https://www.fermatmind.com/zh/personality/big-five/emotional-stability
en,openness,conscientiousness,1,https://www.fermatmind.com/en/personality/big-five/openness,https://www.fermatmind.com/en/personality/big-five/conscientiousness
en,openness,extraversion,1,https://www.fermatmind.com/en/personality/big-five/openness,https://www.fermatmind.com/en/personality/big-five/extraversion
en,openness,agreeableness,1,https://www.fermatmind.com/en/personality/big-five/openness,https://www.fermatmind.com/en/personality/big-five/agreeableness
en,openness,neuroticism,1,https://www.fermatmind.com/en/personality/big-five/openness,https://www.fermatmind.com/en/personality/big-five/neuroticism
en,conscientiousness,extraversion,1,https://www.fermatmind.com/en/personality/big-five/conscientiousness,https://www.fermatmind.com/en/personality/big-five/extraversion
en,conscientiousness,agreeableness,1,https://www.fermatmind.com/en/personality/big-five/conscientiousness,https://www.fermatmind.com/en/personality/big-five/agreeableness
en,conscientiousness,neuroticism,1,https://www.fermatmind.com/en/personality/big-five/conscientiousness,https://www.fermatmind.com/en/personality/big-five/neuroticism
en,extraversion,agreeableness,1,https://www.fermatmind.com/en/personality/big-five/extraversion,https://www.fermatmind.com/en/personality/big-five/agreeableness
en,extraversion,neuroticism,1,https://www.fermatmind.com/en/personality/big-five/extraversion,https://www.fermatmind.com/en/personality/big-five/neuroticism
en,agreeableness,neuroticism,1,https://www.fermatmind.com/en/personality/big-five/agreeableness,https://www.fermatmind.com/en/personality/big-five/neuroticism
en,high-openness,low-openness,1,https://www.fermatmind.com/en/personality/big-five/high-openness,https://www.fermatmind.com/en/personality/big-five/low-openness
en,high-openness,high-conscientiousness,1,https://www.fermatmind.com/en/personality/big-five/high-openness,https://www.fermatmind.com/en/personality/big-five/high-conscientiousness
en,high-openness,low-conscientiousness,1,https://www.fermatmind.com/en/personality/big-five/high-openness,https://www.fermatmind.com/en/personality/big-five/low-conscientiousness
