repair_pack,batch_index,seed_ordinal,slug,title_en,title_zh_seed,title_zh_cleaned,soc_code_seed,onet_code_seed,cn_priority_queries,cn_required_capture,us_official_priority,uk_priority,risk_flags
pack_3,221,209,construction-managers,Construction managers,施工经理适合谁？,施工经理,11-9021,11-9021.00,施工经理 工资 职友集 | 施工经理 薪资 猎聘 | 施工经理 月薪 BOSS 智联 | Construction managers 中国 招聘 薪资,specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes119021.htm | https://www.mynextmove.org/profile/summary/11-9021.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Construction managers"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_3,222,210,continuous-mining-machine-operators,Continuous Mining Machine Operators,机器操作员,机器操作员,47-5041,47-5041.00,机器操作员 工资 职友集 | 机器操作员 薪资 猎聘 | 机器操作员 月薪 BOSS 智联 | Continuous Mining Machine Operators 中国 招聘 薪资,specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes475041.htm | https://www.mynextmove.org/profile/summary/47-5041.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Continuous Mining Machine Operators"" first; adjacent profile only with direct-not-found boundary and non-generic URL",zh_seed_title_needs_manual_cleaning
pack_3,223,211,control-and-valve-installers-and-repairers-except-mechanical-door,"Control And Valve Installers And Repairers, Except Mechanical Door",控制与阀门安装工、机械门,控制与阀门安装工、机械门,49-9012,49-9012.00,"控制与阀门安装工、机械门 工资 职友集 | 控制与阀门安装工、机械门 薪资 猎聘 | 控制与阀门安装工、机械门 月薪 BOSS 智联 | Control And Valve Installers And Repairers, Except Mechanical Door 中国 招聘 薪资",specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes499012.htm | https://www.mynextmove.org/profile/summary/49-9012.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Control And Valve Installers And Repairers, Except Mechanical Door"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_3,224,212,conveyor-operators-and-tenders,Conveyor Operators And Tenders,操作员看护员,操作员看护员,53-7011,53-7011.00,操作员看护员 工资 职友集 | 操作员看护员 薪资 猎聘 | 操作员看护员 月薪 BOSS 智联 | Conveyor Operators And Tenders 中国 招聘 薪资,specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes537011.htm | https://www.mynextmove.org/profile/summary/53-7011.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Conveyor Operators And Tenders"" first; adjacent profile only with direct-not-found boundary and non-generic URL",zh_seed_title_needs_manual_cleaning
pack_3,225,213,cooks,"Cooks, Restaurant",餐馆厨师,餐馆厨师,35-2014,35-2014.00,"餐馆厨师 工资 职友集 | 餐馆厨师 薪资 猎聘 | 餐馆厨师 月薪 BOSS 智联 | Cooks, Restaurant 中国 招聘 薪资",specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes352014.htm | https://www.mynextmove.org/profile/summary/35-2014.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Cooks, Restaurant"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_3,226,214,cooks-fast-food,"Cooks, Fast Food",快餐厨师,快餐厨师,35-2011,35-2011.00,"快餐厨师 工资 职友集 | 快餐厨师 薪资 猎聘 | 快餐厨师 月薪 BOSS 智联 | Cooks, Fast Food 中国 招聘 薪资",specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes352011.htm | https://www.mynextmove.org/profile/summary/35-2011.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Cooks, Fast Food"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_3,227,215,cooks-institution-and-cafeteria,"Cooks, Institution And Cafeteria",食堂,食堂,35-2012,35-2012.00,"食堂 工资 职友集 | 食堂 薪资 猎聘 | 食堂 月薪 BOSS 智联 | Cooks, Institution And Cafeteria 中国 招聘 薪资",specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes352012.htm | https://www.mynextmove.org/profile/summary/35-2012.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Cooks, Institution And Cafeteria"" first; adjacent profile only with direct-not-found boundary and non-generic URL",zh_seed_title_needs_manual_cleaning
pack_3,228,216,cooks-private-household,"Cooks, Private Household",私人家庭厨师,私人家庭厨师,35-2013,35-2013.00,"私人家庭厨师 工资 职友集 | 私人家庭厨师 薪资 猎聘 | 私人家庭厨师 月薪 BOSS 智联 | Cooks, Private Household 中国 招聘 薪资",specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes352013.htm | https://www.mynextmove.org/profile/summary/35-2013.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Cooks, Private Household"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_3,229,217,cooks-restaurant,"Cooks, Restaurant",餐厅厨师,餐厅厨师,35-2014,35-2014.00,"餐厅厨师 工资 职友集 | 餐厅厨师 薪资 猎聘 | 餐厅厨师 月薪 BOSS 智联 | Cooks, Restaurant 中国 招聘 薪资",specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes352014.htm | https://www.mynextmove.org/profile/summary/35-2014.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Cooks, Restaurant"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_3,230,218,cooks-short-order,"Cooks, Short Order",简餐厨师,简餐厨师,35-2015,35-2015.00,"简餐厨师 工资 职友集 | 简餐厨师 薪资 猎聘 | 简餐厨师 月薪 BOSS 智联 | Cooks, Short Order 中国 招聘 薪资",specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes352015.htm | https://www.mynextmove.org/profile/summary/35-2015.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Cooks, Short Order"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
