slug,locale,primary_query_intent,secondary_query_intents,snippet_candidate,faq_candidates,internal_link_anchor_candidates,candidate_only,runtime_approved,preview_version
accountants-and-auditors,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,如果你正在比较会计师和审计师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注数据核对、判断边界和职业准备。,会计师和审计师的日常工作重点是什么？|准备会计师和审计师方向时，哪些技能和项目证据最值得先看？|会计师和审计师在 AI 时代更需要保留哪些人的判断？,会计师和审计师职业概览|会计师和审计师技能与准备|会计师和审计师匹配度和相邻职业,true,false,v1
accountants-and-auditors,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Accountants and auditors career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is record review, judgment boundaries, and preparation signals.",What does Accountants and auditors work involve?|Which skills and project evidence matter most for Accountants and auditors?|How is AI changing the judgment needed in Accountants and auditors roles?,Accountants and auditors career overview|Accountants and auditors skills and preparation|Accountants and auditors fit and adjacent careers,true,false,v1
actors,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent,如果你正在比较演员，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注作品风格、受众关系和职业路径。,演员的日常工作重点是什么？|准备演员方向时，哪些技能和项目证据最值得先看？|演员在 AI 时代更需要保留哪些人的判断？,演员职业概览|演员技能与准备|演员匹配度和相邻职业,true,false,v1
actors,en,what-is,,"Use the Actors career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is portfolio signals, audience context, and career direction.",What does Actors work involve?|Which skills and project evidence matter most for Actors?|How is AI changing the judgment needed in Actors roles?,Actors career overview|Actors skills and preparation|Actors fit and adjacent careers,true,false,v1
actuaries,zh-CN,what-is,,如果你正在比较精算师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注数据核对、判断边界和职业准备。,精算师的日常工作重点是什么？|准备精算师方向时，哪些技能和项目证据最值得先看？|精算师在 AI 时代更需要保留哪些人的判断？,精算师职业概览|精算师技能与准备|精算师匹配度和相邻职业,true,false,v1
actuaries,en,what-is,,"Use the Actuaries career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is record review, judgment boundaries, and preparation signals.",What does Actuaries work involve?|Which skills and project evidence matter most for Actuaries?|How is AI changing the judgment needed in Actuaries roles?,Actuaries career overview|Actuaries skills and preparation|Actuaries fit and adjacent careers,true,false,v1
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,what-is,,如果你正在比较行政法官、官，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注事实采信、程序边界和责任归属。,行政法官、官的日常工作重点是什么？|准备行政法官、官方向时，哪些技能和项目证据最值得先看？|行政法官、官在 AI 时代更需要保留哪些人的判断？,行政法官、官职业概览|行政法官、官技能与准备|行政法官、官匹配度和相邻职业,true,false,v1
administrative-law-judges-adjudicators-and-hearing-officers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Administrative Law Judges, Adjudicators, and Hearing Officers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is fact review, procedural boundaries, and accountability.","What does Administrative Law Judges, Adjudicators, and Hearing Officers work involve?|Which skills and project evidence matter most for Administrative Law Judges, Adjudicators, and Hearing Officers?|How is AI changing the judgment needed in Administrative Law Judges, Adjudicators, and Hearing Officers roles?","Administrative Law Judges, Adjudicators, and Hearing Officers career overview|Administrative Law Judges, Adjudicators, and Hearing Officers skills and preparation|Administrative Law Judges, Adjudicators, and Hearing Officers fit and adjacent careers",true,false,v1
administrative-services-managers,zh-CN,what-is,,如果你正在比较行政服务经理，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注组织协作、资源安排和风险边界。,行政服务经理的日常工作重点是什么？|准备行政服务经理方向时，哪些技能和项目证据最值得先看？|行政服务经理在 AI 时代更需要保留哪些人的判断？,行政服务经理职业概览|行政服务经理技能与准备|行政服务经理匹配度和相邻职业,true,false,v1
administrative-services-managers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Administrative Services Managers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is coordination, resource decisions, and operating risk.",What does Administrative Services Managers work involve?|Which skills and project evidence matter most for Administrative Services Managers?|How is AI changing the judgment needed in Administrative Services Managers roles?,Administrative Services Managers career overview|Administrative Services Managers skills and preparation|Administrative Services Managers fit and adjacent careers,true,false,v1
