slug,locale,primary_query_intent,secondary_query_intents,snippet_candidate,faq_candidates,internal_link_anchor_candidates,candidate_only,runtime_approved,validation_findings
accountants-and-auditors,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,会计师和审计师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“会计师和审计师适不适合我”的候选搜索摘要。,会计师和审计师主要做什么？|会计师和审计师需要哪些技能和准备？|会计师和审计师在 AI 时代哪些工作更容易被加速？,会计师和审计师职业介绍|会计师和审计师技能与入行路径|会计师和审计师AI 影响与职业匹配,true,false,
accountants-and-auditors,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Accountants and auditors covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Accountants and auditors do?|What skills and preparation matter for Accountants and auditors?|How does AI affect Accountants and auditors work?,Accountants and auditors career overview|Accountants and auditors skills and entry path|Accountants and auditors AI impact and fit,true,false,
actors,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent,演员职业诊断页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“演员职业诊断适不适合我”的候选搜索摘要。,演员职业诊断主要做什么？|演员职业诊断需要哪些技能和准备？|演员职业诊断在 AI 时代哪些工作更容易被加速？,演员职业诊断职业介绍|演员职业诊断技能与入行路径|演员职业诊断AI 影响与职业匹配,true,false,
actors,en,what-is,,"Actors covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Actors do?|What skills and preparation matter for Actors?|How does AI affect Actors work?,Actors career overview|Actors skills and entry path|Actors AI impact and fit,true,false,
actuaries,zh-CN,what-is,,精算师职业诊断页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“精算师职业诊断适不适合我”的候选搜索摘要。,精算师职业诊断主要做什么？|精算师职业诊断需要哪些技能和准备？|精算师职业诊断在 AI 时代哪些工作更容易被加速？,精算师职业诊断职业介绍|精算师职业诊断技能与入行路径|精算师职业诊断AI 影响与职业匹配,true,false,
actuaries,en,what-is,,"Actuaries covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Actuaries do?|What skills and preparation matter for Actuaries?|How does AI affect Actuaries work?,Actuaries career overview|Actuaries skills and entry path|Actuaries AI impact and fit,true,false,
acupuncturists,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,针灸师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“针灸师适不适合我”的候选搜索摘要。,针灸师主要做什么？|针灸师需要哪些技能和准备？|针灸师在 AI 时代哪些工作更容易被加速？,针灸师职业介绍|针灸师技能与入行路径|针灸师AI 影响与职业匹配,true,false,
acupuncturists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Acupuncturists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Acupuncturists do?|What skills and preparation matter for Acupuncturists?|How does AI affect Acupuncturists work?,Acupuncturists career overview|Acupuncturists skills and entry path|Acupuncturists AI impact and fit,true,false,
acute-care-nurses,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,急症护理护士页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“急症护理护士适不适合我”的候选搜索摘要。,急症护理护士主要做什么？|急症护理护士需要哪些技能和准备？|急症护理护士在 AI 时代哪些工作更容易被加速？,急症护理护士职业介绍|急症护理护士技能与入行路径|急症护理护士AI 影响与职业匹配,true,false,
acute-care-nurses,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Acute Care Nurses covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Acute Care Nurses do?|What skills and preparation matter for Acute Care Nurses?|How does AI affect Acute Care Nurses work?,Acute Care Nurses career overview|Acute Care Nurses skills and entry path|Acute Care Nurses AI impact and fit,true,false,
adapted-physical-education-specialists,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,专家教育页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“专家教育适不适合我”的候选搜索摘要。,专家教育主要做什么？|专家教育需要哪些技能和准备？|专家教育在 AI 时代哪些工作更容易被加速？,专家教育职业介绍|专家教育技能与入行路径|专家教育AI 影响与职业匹配,true,false,
adapted-physical-education-specialists,en,what-is,,"Adapted Physical Education Specialists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Adapted Physical Education Specialists do?|What skills and preparation matter for Adapted Physical Education Specialists?|How does AI affect Adapted Physical Education Specialists work?,Adapted Physical Education Specialists career overview|Adapted Physical Education Specialists skills and entry path|Adapted Physical Education Specialists AI impact and fit,true,false,
adhesive-bonding-machine-operators-and-tenders,zh-CN,what-is,,机器操作员看护员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“机器操作员看护员适不适合我”的候选搜索摘要。,机器操作员看护员主要做什么？|机器操作员看护员需要哪些技能和准备？|机器操作员看护员在 AI 时代哪些工作更容易被加速？,机器操作员看护员职业介绍|机器操作员看护员技能与入行路径|机器操作员看护员AI 影响与职业匹配,true,false,
adhesive-bonding-machine-operators-and-tenders,en,what-is,,"Adhesive Bonding Machine Operators And Tenders covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Adhesive Bonding Machine Operators And Tenders do?|What skills and preparation matter for Adhesive Bonding Machine Operators And Tenders?|How does AI affect Adhesive Bonding Machine Operators And Tenders work?,Adhesive Bonding Machine Operators And Tenders career overview|Adhesive Bonding Machine Operators And Tenders skills and entry path|Adhesive Bonding Machine Operators And Tenders AI impact and fit,true,false,
