slug,locale,finding_count,findings,status
accountants-and-auditors,zh-CN,1,zh_contains_long_english_prose,repair_required
accountants-and-auditors,en,1,en_contains_chinese,repair_required
actors,zh-CN,1,zh_contains_long_english_prose,repair_required
actors,en,1,en_contains_chinese,repair_required
actuaries,zh-CN,1,zh_contains_long_english_prose,repair_required
actuaries,en,1,en_contains_chinese,repair_required
acupuncturists,zh-CN,1,zh_contains_long_english_prose,repair_required
acupuncturists,en,1,en_contains_chinese,repair_required
acute-care-nurses,zh-CN,1,zh_contains_long_english_prose,repair_required
acute-care-nurses,en,1,en_contains_chinese,repair_required
adapted-physical-education-specialists,zh-CN,1,zh_contains_long_english_prose,repair_required
adapted-physical-education-specialists,en,1,en_contains_chinese,repair_required
adhesive-bonding-machine-operators-and-tenders,zh-CN,1,zh_contains_long_english_prose,repair_required
adhesive-bonding-machine-operators-and-tenders,en,1,en_contains_chinese,repair_required
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,1,zh_contains_long_english_prose,repair_required
administrative-law-judges-adjudicators-and-hearing-officers,en,1,en_contains_chinese,repair_required
administrative-services-managers,zh-CN,1,zh_contains_long_english_prose,repair_required
administrative-services-managers,en,1,en_contains_chinese,repair_required
adult-literacy-and-ged-teachers,zh-CN,1,zh_contains_long_english_prose,repair_required
adult-literacy-and-ged-teachers,en,1,en_contains_chinese,repair_required
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,1,zh_contains_long_english_prose,repair_required
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,1,en_contains_chinese,repair_required
advanced-practice-psychiatric-nurses,zh-CN,1,zh_contains_long_english_prose,repair_required
advanced-practice-psychiatric-nurses,en,1,en_contains_chinese,repair_required
advertising-and-promotions-managers,zh-CN,1,zh_contains_long_english_prose,repair_required
advertising-and-promotions-managers,en,1,en_contains_chinese,repair_required
advertising-sales-agents,zh-CN,1,zh_contains_long_english_prose,repair_required
advertising-sales-agents,en,1,en_contains_chinese,repair_required
advertising-promotions-and-marketing-managers,zh-CN,1,zh_contains_long_english_prose,repair_required
advertising-promotions-and-marketing-managers,en,1,en_contains_chinese,repair_required
aerospace-engineering-and-operations-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
aerospace-engineering-and-operations-technicians,en,1,en_contains_chinese,repair_required
aerospace-engineers,zh-CN,1,zh_contains_long_english_prose,repair_required
aerospace-engineers,en,1,en_contains_chinese,repair_required
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,1,zh_contains_long_english_prose,repair_required
agents-and-business-managers-of-artists-performers-and-athletes,en,1,en_contains_chinese,repair_required
agricultural-and-food-science-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
agricultural-and-food-science-technicians,en,1,en_contains_chinese,repair_required
agricultural-and-food-scientists,zh-CN,1,zh_contains_long_english_prose,repair_required
agricultural-and-food-scientists,en,1,en_contains_chinese,repair_required
agricultural-engineers,zh-CN,1,zh_contains_long_english_prose,repair_required
agricultural-engineers,en,1,en_contains_chinese,repair_required
agricultural-equipment-operators,zh-CN,1,zh_contains_long_english_prose,repair_required
agricultural-equipment-operators,en,1,en_contains_chinese,repair_required
agricultural-inspectors,zh-CN,1,zh_contains_long_english_prose,repair_required
agricultural-inspectors,en,1,en_contains_chinese,repair_required
agricultural-sciences-teachers-postsecondary,zh-CN,1,zh_contains_long_english_prose,repair_required
agricultural-sciences-teachers-postsecondary,en,1,en_contains_chinese,repair_required
agricultural-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
agricultural-technicians,en,1,en_contains_chinese,repair_required
agricultural-workers,zh-CN,1,zh_contains_long_english_prose,repair_required
