fix_required,reasons,slug,status
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,construction-managers,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,continuous-mining-machine-operators,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,control-and-valve-installers-and-repairers-except-mechanical-door,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,conveyor-operators-and-tenders,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,cooks,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,cooks-fast-food,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,cooks-institution-and-cafeteria,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,cooks-private-household,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,cooks-restaurant,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,cooks-short-order,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,cooling-and-freezing-equipment-operators-and-tenders,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,coroners,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,correctional-officers,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,correspondence-clerks,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,cost-estimators,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,costume-attendants,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,counter-and-rental-clerks,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,couriers-and-messengers,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,court-reporters,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,court-municipal-and-license-clerks,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,craft-and-fine-artists,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,craft-artists,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,crane-and-tower-operators,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,credit-analysts,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,credit-authorizers-checkers-and-clerks,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,credit-counselors,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,crematory-operators,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,criminal-justice-and-law-enforcement-teachers-postsecondary,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,critical-care-nurses,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,crossing-guards-and-flaggers,BLOCKED
