batch_index,seed_ordinal,slug,title_en,title_zh_seed,soc_code_seed,onet_code_seed,batch_role,expected_locales
1,1,accountants-and-auditors,Accountants and auditors,会计师和审计师,13-2011,13-2011.00,control_200,zh-CN|en
2,2,actors,Actors,演员职业诊断,,,control_200,zh-CN|en
3,21,agricultural-engineers,Agricultural Engineers,农业工程师适合谁？,17-2021,17-2021.00,control_200,zh-CN|en
4,17,aerospace-engineers,Aerospace Engineers,航空航天工程师,17-2011,17-2011.00,control_200,zh-CN|en
5,854,registered-nurses,Registered nurses,注册护士,29-1141,29-1141.00,control_200,zh-CN|en
6,44,anesthesiologists,Anesthesiologists,麻醉医师,29-1211,29-1211.00,control_200,zh-CN|en
7,496,high-school-teachers,"Secondary School Teachers, Except Special and Career/Technical Education",高中教师（不含特殊与职业技术教育）职业诊断,25-2031,25-2031.00,control_200,zh-CN|en
8,9,administrative-services-managers,Administrative Services Managers,行政服务经理,11-3012,11-3012.00,control_200,zh-CN|en
9,14,advertising-sales-agents,Advertising Sales Agents,广告销售代表适合谁？,41-3011,41-3011.00,control_200,zh-CN|en
10,66,art-directors,Art directors,艺术总监适合谁？,27-1011,27-1011.00,control_200,zh-CN|en
11,34,aircraft-mechanics-and-service-technicians,Aircraft Mechanics And Service Technicians,飞机机械师技术员,49-3011,49-3011.00,control_200,zh-CN|en
12,306,electricians,Electricians,其他职业,47-2111,47-2111.00,control_200,zh-CN|en
13,146,cashiers,Cashiers,收银员适合谁？,41-2011,41-2011.00,control_200,zh-CN|en
14,1021,waiters-and-waitresses,Waiters And Waitresses,服务员,35-3031,35-3031.00,control_200,zh-CN|en
15,252,data-scientists,Data scientists,数据科学家,15-2051,15-2051.00,control_200,zh-CN|en
16,1030,web-developers,Web Developers,网页开发人员,15-1254,15-1254.00,control_200,zh-CN|en
17,197,computer-programmers,Computer programmers,计算机程序员,,,control_200,zh-CN|en
18,808,project-management-specialists,Project management specialists,项目管理专员,13-1082,13-1082.00,control_200,zh-CN|en
19,26,agricultural-workers,Agricultural Workers,农业从业人员,45-2092,45-2092.00,control_200,zh-CN|en
