topic,locale,query,intent,funnel_stage,current_ranking_page,proposed_primary_owner,supporting_articles,assessment_landing,public_personality_page,career_page,cannibalization,ownership_decision,rationale,dependency,evidence_status
MBTI,zh,MBTI 测试 / 免费测试,transactional,consideration,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/articles/mbti-basics,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/personality,Unknown,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT: 6 exact aliases,ASSESSMENT_LANDING_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
MBTI,zh,MBTI 是什么 / 16型人格是什么,informational,awareness,https://fermatmind.com/zh/articles/mbti-basics,https://fermatmind.com/zh/articles/mbti-basics,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/personality,Unknown,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT: 3 exact aliases,ARTICLE_OR_ENTITY_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
MBTI,zh,INFJ/INTJ 等类型是什么,entity,exploration,Unknown,https://fermatmind.com/zh/personality,https://fermatmind.com/zh/articles/are-infj-men-rare-or-socially-silenced,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/personality,Unknown,OBSERVED_SINGLE_PAGE_NO_ACTIONABLE_CONFLICT,ARTICLE_OR_ENTITY_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
MBTI,en,MBTI test / 16 personality test,transactional,consideration,Unknown,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/en/articles/mbti-basics,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/en/personality,Unknown,OBSERVED_SINGLE_PAGE_NO_ACTIONABLE_CONFLICT,ASSESSMENT_LANDING_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
Big Five,zh,大五人格测试 / OCEAN 测试,transactional,consideration,https://fermatmind.com/zh/articles/big-five-tool-guide,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/articles/big-five-tool-guide,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/personality,Unknown,ACTIONABLE_OWNER_CONFLICT: 1 exact aliases; non-owner impressions=25,ASSESSMENT_LANDING_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
Big Five,zh,大五人格是什么 / 分数怎么看,method,awareness,https://fermatmind.com/zh/articles/big-five-tool-guide,https://fermatmind.com/zh/articles/big-five-tool-guide,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/personality,Unknown,OBSERVED_SINGLE_PAGE_NO_ACTIONABLE_CONFLICT,ARTICLE_OR_ENTITY_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
Big Five,zh,情绪稳定性低怎么办,practical,action,Unknown,https://fermatmind.com/zh/articles/big-five-emotional-stability-stress-recovery-communication,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/personality,Unknown,Unknown: no current28 row for reviewed exact aliases,ARTICLE_OR_ENTITY_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,M01_COMPLETE; current exact reviewed alias not observed; no publication authority
Big Five,en,Big Five personality test,transactional,consideration,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/articles/big-five-tool-guide,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/personality,Unknown,OBSERVED_SINGLE_PAGE_NO_ACTIONABLE_CONFLICT,ASSESSMENT_LANDING_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
RIASEC,zh,霍兰德职业兴趣测试 / RIASEC 测试,transactional,consideration,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/articles/riasec-holland-career-interest-test-explained,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,Unknown,https://fermatmind.com/zh/career,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT: 4 exact aliases,ASSESSMENT_LANDING_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
RIASEC,zh,RIASEC 是什么 / 六种兴趣,informational,awareness,Unknown,https://fermatmind.com/zh/articles/riasec-holland-career-interest-test-explained,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,Unknown,https://fermatmind.com/zh/career,Unknown: no current28 row for reviewed exact aliases,ARTICLE_OR_ENTITY_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,M01_COMPLETE; current exact reviewed alias not observed; no publication authority
