priority,url_path,locale,page_type,type_code,variant,current_title,current_description,current_h1,current_h2_count,current_issues,gsc_impressions_24h_screenshot,gsc_clicks_24h_screenshot,recommended_target_depth,required_sections,must_link_to,do_not_write,method_boundary_required
P1,/en/personality/intj-a,en,variant,INTJ,A,"INTJ-A Architect Personality: Traits, Careers & Relationships | FermatMind","Explore the INTJ-A Architect personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",INTJ-A Architect Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/intj-t,en,variant,INTJ,T,"INTJ-T Architect Personality: Traits, Careers & Relationships | FermatMind","Explore the INTJ-T Architect personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",INTJ-T Architect Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P0,/en/personality/intj-a-vs-intj-t,en,comparison,INTJ,A_vs_T,"INTJ-A vs INTJ-T: Traits, Careers, Love & Rarity | FermatMind","Compare INTJ-A and INTJ-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","INTJ-A vs INTJ-T: Traits, Careers, Love & Rarity",7,,18,0,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/intp-a,en,variant,INTP,A,"INTP-A Logician Personality: Traits, Careers & Relationships | FermatMind","Explore the INTP-A Logician personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",INTP-A Logician Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/intp-t,en,variant,INTP,T,"INTP-T Logician Personality: Traits, Careers & Relationships | FermatMind","Explore the INTP-T Logician personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",INTP-T Logician Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P0,/en/personality/intp-a-vs-intp-t,en,comparison,INTP,A_vs_T,"INTP-A vs INTP-T: Traits, Careers, Love & Rarity | FermatMind","Compare INTP-A and INTP-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","INTP-A vs INTP-T: Traits, Careers, Love & Rarity",7,,10,0,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/entj-a,en,variant,ENTJ,A,"ENTJ-A Commander Personality: Traits, Careers & Relationships | FermatMind","Explore the ENTJ-A Commander personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ENTJ-A Commander Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/entj-t,en,variant,ENTJ,T,"ENTJ-T Commander Personality: Traits, Careers & Relationships | FermatMind","Explore the ENTJ-T Commander personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ENTJ-T Commander Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/entj-a-vs-entj-t,en,comparison,ENTJ,A_vs_T,"ENTJ-A vs ENTJ-T: Traits, Careers, Love & Rarity | FermatMind","Compare ENTJ-A and ENTJ-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","ENTJ-A vs ENTJ-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/entp-a,en,variant,ENTP,A,"ENTP-A Debater Personality: Traits, Careers & Relationships | FermatMind","Explore the ENTP-A Debater personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ENTP-A Debater Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
