forbidden,priority_queries,required_capture,slug,title_en,title_zh_seed
official China occupational wage wording; invented sample count,会计师和审计师 工资 职友集 | 会计师和审计师 薪资 招聘 | 会计师和审计师 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,accountants-and-auditors,Accountants and auditors,会计师和审计师
official China occupational wage wording; invented sample count,演员职业诊断 工资 职友集 | 演员职业诊断 薪资 招聘 | 演员职业诊断 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,actors,Actors,演员职业诊断
official China occupational wage wording; invented sample count,农业工程师适合谁？ 工资 职友集 | 农业工程师适合谁？ 薪资 招聘 | 农业工程师适合谁？ 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,agricultural-engineers,Agricultural Engineers,农业工程师适合谁？
official China occupational wage wording; invented sample count,航空航天工程师 工资 职友集 | 航空航天工程师 薪资 招聘 | 航空航天工程师 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,aerospace-engineers,Aerospace Engineers,航空航天工程师
official China occupational wage wording; invented sample count,注册护士 工资 职友集 | 注册护士 薪资 招聘 | 注册护士 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,registered-nurses,Registered nurses,注册护士
official China occupational wage wording; invented sample count,麻醉医师 工资 职友集 | 麻醉医师 薪资 招聘 | 麻醉医师 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,anesthesiologists,Anesthesiologists,麻醉医师
official China occupational wage wording; invented sample count,高中教师（不含特殊与职业技术教育）职业诊断 工资 职友集 | 高中教师（不含特殊与职业技术教育）职业诊断 薪资 招聘 | 高中教师（不含特殊与职业技术教育）职业诊断 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,high-school-teachers,"Secondary School Teachers, Except Special and Career/Technical Education",高中教师（不含特殊与职业技术教育）职业诊断
official China occupational wage wording; invented sample count,行政服务经理 工资 职友集 | 行政服务经理 薪资 招聘 | 行政服务经理 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,administrative-services-managers,Administrative Services Managers,行政服务经理
official China occupational wage wording; invented sample count,广告销售代表适合谁？ 工资 职友集 | 广告销售代表适合谁？ 薪资 招聘 | 广告销售代表适合谁？ 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,advertising-sales-agents,Advertising Sales Agents,广告销售代表适合谁？
official China occupational wage wording; invented sample count,艺术总监适合谁？ 工资 职友集 | 艺术总监适合谁？ 薪资 招聘 | 艺术总监适合谁？ 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,art-directors,Art directors,艺术总监适合谁？
official China occupational wage wording; invented sample count,飞机机械师技术员 工资 职友集 | 飞机机械师技术员 薪资 招聘 | 飞机机械师技术员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,aircraft-mechanics-and-service-technicians,Aircraft Mechanics And Service Technicians,飞机机械师技术员
official China occupational wage wording; invented sample count,其他职业 工资 职友集 | 其他职业 薪资 招聘 | 其他职业 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,electricians,Electricians,其他职业
official China occupational wage wording; invented sample count,收银员适合谁？ 工资 职友集 | 收银员适合谁？ 薪资 招聘 | 收银员适合谁？ 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,cashiers,Cashiers,收银员适合谁？
official China occupational wage wording; invented sample count,服务员 工资 职友集 | 服务员 薪资 招聘 | 服务员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,waiters-and-waitresses,Waiters And Waitresses,服务员
official China occupational wage wording; invented sample count,数据科学家 工资 职友集 | 数据科学家 薪资 招聘 | 数据科学家 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,data-scientists,Data scientists,数据科学家
official China occupational wage wording; invented sample count,网页开发人员 工资 职友集 | 网页开发人员 薪资 招聘 | 网页开发人员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,web-developers,Web Developers,网页开发人员
official China occupational wage wording; invented sample count,计算机程序员 工资 职友集 | 计算机程序员 薪资 招聘 | 计算机程序员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,computer-programmers,Computer programmers,计算机程序员
official China occupational wage wording; invented sample count,项目管理专员 工资 职友集 | 项目管理专员 薪资 招聘 | 项目管理专员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,project-management-specialists,Project management specialists,项目管理专员
official China occupational wage wording; invented sample count,农业从业人员 工资 职友集 | 农业从业人员 薪资 招聘 | 农业从业人员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,agricultural-workers,Agricultural Workers,农业从业人员
official China occupational wage wording; invented sample count,动物照护员 工资 职友集 | 动物照护员 薪资 招聘 | 动物照护员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,animal-caretakers,Animal Caretakers,动物照护员
official China occupational wage wording; invented sample count,建筑师、景观船舶 工资 职友集 | 建筑师、景观船舶 薪资 招聘 | 建筑师、景观船舶 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,architects-except-landscape-and-naval,"Architects, Except Landscape And Naval",建筑师、景观船舶
official China occupational wage wording; invented sample count,工程师 工资 职友集 | 工程师 薪资 招聘 | 工程师 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,airline-pilots-copilots-and-flight-engineers,"Airline Pilots, Copilots, And Flight Engineers",工程师
official China occupational wage wording; invented sample count,空中交通管制员职业诊断 工资 职友集 | 空中交通管制员职业诊断 薪资 招聘 | 空中交通管制员职业诊断 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,air-traffic-controllers,Air Traffic Controllers,空中交通管制员职业诊断
official China occupational wage wording; invented sample count,治疗师 工资 职友集 | 治疗师 薪资 招聘 | 治疗师 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,music-therapists,Music Therapists,治疗师
official China occupational wage wording; invented sample count,技术专家 工资 职友集 | 技术专家 薪资 招聘 | 技术专家 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,surgical-technologists,Surgical Technologists,技术专家
official China occupational wage wording; invented sample count,土木工程师职业诊断 工资 职友集 | 土木工程师职业诊断 薪资 招聘 | 土木工程师职业诊断 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,civil-engineers,Civil engineers,土木工程师职业诊断
official China occupational wage wording; invented sample count,机械工程师 工资 职友集 | 机械工程师 薪资 招聘 | 机械工程师 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,mechanical-engineers,Mechanical engineers,机械工程师
official China occupational wage wording; invented sample count,教育教师 工资 职友集 | 教育教师 薪资 招聘 | 教育教师 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,elementary-school-teachers-except-special-education,"Elementary School Teachers, Except Special Education",教育教师
official China occupational wage wording; invented sample count,销售代表、批发制造、产品 工资 职友集 | 销售代表、批发制造、产品 薪资 招聘 | 销售代表、批发制造、产品 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,sales-representatives-wholesale-and-manufacturing-except-technical-and-scientific-products,"Sales Representatives, Wholesale And Manufacturing, Except Technical And Scientific Products",销售代表、批发制造、产品
