id,task,category,owner_type,affected_files_or_urls,current_evidence,expected_change,priority,impact,effort,risk,dependencies,acceptance_criteria,notes
"P0-001","Define and ship sitemap inclusion policy for indexable trust pages","sitemap_strategy","dev,seo","/sitemap.xml; /zh/privacy; /en/privacy; /zh/terms; /en/terms; /zh/support; /en/support; /zh/method-boundaries; /en/method-boundaries","Live sitemap had 96 URLs and did not include privacy, terms, support, or method-boundaries pages even though those pages were reachable and indexable.","Core trust pages are included in sitemap only when they return 200, indexable metadata, canonical self or approved locale canonical, and CMS or backend authority exists.","P0","High","Medium","Medium","cms_backend_authority","Sitemap contains every approved trust URL; each listed URL returns 200; robots meta is index or omitted; canonical matches the approved URL; no frontend body copy is introduced.","This is a discovery and trust foundation task, not a content-writing task."
"P0-002","Resolve clinical and depression page indexability versus sitemap mismatch","clinical_indexability","product,seo,content,dev","/zh/tests/clinical-depression-anxiety-assessment-professional-edition; /en/tests/clinical-depression-anxiety-assessment-professional-edition; /zh/tests/depression-screening-test-standard-edition; /en/tests/depression-screening-test-standard-edition; /sitemap.xml","Clinical and depression test pages were indexable in live page metadata and API lookup, but were absent from the live sitemap.","A documented decision exists for each high-risk page: either indexable plus sitemap only after review_completed=true, or noindex plus no sitemap. The selected behavior is consistent across zh and en.","P0","High","Medium","High","clinical_review,cms_backend_authority","Decision record is approved by product, SEO, and content review; noindex or pending pages are absent from sitemap and footer/global nav; indexable pages have review_completed=true before sitemap inclusion.","Do not optimize these pages with aggressive commercial claims."
"P0-003","Add footer trust links only to approved existing pages","footer_trust_links","dev,seo,content","components/layout/SiteFooter.tsx; /zh/privacy; /en/privacy; /zh/terms; /en/terms; /zh/support; /en/support; /zh/method-boundaries; /en/method-boundaries","SiteFooter policyLinks was empty; live footer did not expose privacy, terms, support, or method boundary links.","Footer exposes stable trust links for privacy, terms, support/help, method boundaries, and approved core tests from the P0 allowlist. Holdlist pages remain hidden.","P0","High","Low","Medium","cms_backend_authority","Footer has no 404 links; privacy, terms, support, and method-boundaries are reachable from all public pages; refund, science, methodology, reliability, results, and business subpages are not linked in P0.","Footer link labels can be product UI strings, but page body content must remain CMS/backend-authoritative."
"P0-004","Remove or resolve English trust-layer 404s before linking them globally","404_trust_pages","content,seo,product,dev","/en/charter; /en/brand; /en/foundation; /en/careers; /en/policies","English versions of charter, brand, foundation, careers, and policies returned 404, while Chinese versions existed.","Each English trust page is either created through CMS/content_pages with metadata and review, or excluded from footer, sitemap, and hreflang alternates until content exists.","P0","High","Medium","Medium","cms_backend_authority","No global navigation, footer, sitemap, or hreflang entry points to these English URLs unless the URL returns 200 with approved CMS content and metadata.","This task is about eliminating broken trust paths, not translating all company content in frontend."
"P0-005","Decide and fix bare /help canonical behavior","404_help_support","product,seo,dev","/help; /zh/help; /en/help; /zh/support; /en/support","Localized /help redirected to support, but bare /help returned 404.","Bare /help no longer returns 404 and uses deterministic redirects to the existing support canonical paths.","P0","High","Low","Low","product_decision","Required redirects are deterministic: /help -> /zh/support, /zh/help -> /zh/support, /en/help -> /en/support; sitemap uses only /zh/support and /en/support.","Short-term recommendation is to keep /support as canonical. Do not use Accept-Language as the SEO critical path."
"P0-006","Decide results hub versus private noindex results lookup flow","results_routing_conflict","product,seo,dev,content","/zh/results; /en/results; /zh/results/lookup; /en/results/lookup","/results redirected to /results/lookup, and lookup was noindex/noarchive/nofollow, blocking a future public result interpretation hub.","P0 reserves /results for a future public hub but does not publish result-guide content. /results/lookup remains a private noindex utility route.","P0","High","Medium","Medium","cms_backend_authority,product_decision","/results/lookup remains noindex and absent from sitemap; /results is not linked from footer/global nav until P1 CMS/backend result-guide authority exists; no frontend result-guide body copy is added.","This is a route decision or reservation task only. Public results hub publication is P1."
"P0-007","Prepare refund-policy CMS ticket and keep refund-policy off global links","trust_policy","product,content,seo,dev","/refund; /zh/refund; /en/refund; /zh/refund-policy; /en/refund-policy; /zh/support; /en/support","/refund and localized refund URLs redirected to support; refund content page API returned 404 in audit.","Refund-policy stays on the P0 holdlist. A P1 CMS/legal ticket is created only after business confirmation; no global footer/nav link points to refund-policy in P0.","P1","High","Medium","Medium","business_confirmation,cms_backend_authority,legal_review","dependency=business_confirmation; refund-policy is not linked from footer/global nav during P0; P1 publication requires approved refund SLA and eligibility rules.","Downgraded because refund-policy publication is content/legal work, not a P0 foundation fix."
"P0-008","Define root policy URL redirects for /privacy and /terms","404_policy_root","dev,seo,product","/privacy; /terms; /zh/privacy; /en/privacy; /zh/terms; /en/terms","Root /privacy and /terms returned 404 while localized privacy and terms existed.","Root policy URLs use deterministic redirects to Chinese default policy pages instead of returning 404.","P0","Medium","Low","Low","product_decision","/privacy -> /zh/privacy and /terms -> /zh/terms with permanent redirects; localized pages remain indexable and listed in sitemap.","P0 does not use Accept-Language as the SEO critical path."
"P0-009","Resolve /career/jobs sitemap inclusion versus indexable page state","sitemap_strategy","product,seo,dev","/zh/career/jobs; /en/career/jobs; /sitemap.xml","Career jobs pages were indexable but absent from sitemap in the audit.","Career jobs are either included in sitemap after performance and content-authority readiness, or marked noindex until readiness is confirmed.","P0","Medium","Medium","Medium","product_decision,public_api_authority","Decision is documented; robots/index metadata and sitemap inclusion match; no orphan indexable career job hub remains outside sitemap.","Treat this as sitemap policy consistency, not a career content expansion task."
"P0-010","Create a no-link-until-content-exists gate for new trust and science pages","internal_link_governance","seo,content,dev","/en/charter; /en/brand; /en/foundation; /en/careers; /en/policies; /{locale}/science; /{locale}/methodology; /{locale}/reliability-validity; /{locale}/refund-policy; /{locale}/results","Several proposed trust, science, and result pages do not yet exist or lack CMS authority.","Navigation, footer, sitemap, hreflang, and article/test internal links include only URLs with CMS/backend authority and approved metadata.","P0","High","Low","Medium","cms_backend_authority","A release checklist blocks links to 404, draft, noindex, or missing-CMS pages; all approved links are validated by status, canonical, and robots checks before release.","This prevents SEO plans from creating new broken routes."
