locale,query_cluster,intent,funnel_stage,primary_owner,owner_canonical,owner_surface,parent_page,parent_canonical,next_step_type,next_step_target,next_step_canonical,supporting_pages,competing_pages,required_visible_edge,current_edge_present,edge_authority,publication_eligibility,measurement_event,blocker,status,evidence
zh,mbti_transactional_free,transactional,decision,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,MBTI_public_type_pages,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,PROTECT,window-03-assessment-seo/assessment_query_ownership.csv
zh,mbti_transactional,transactional,decision,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,MBTI_public_type_pages,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,PROTECT,window-03-assessment-seo/assessment_query_ownership.csv
zh,mbti_branded,navigational,decision,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,https://www.fermatmind.com/zh/tests,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,PROTECT,window-03-assessment-seo/assessment_query_ownership.csv
zh,mbti_model_explanation,informational,awareness,ARTICLE_OR_TOPIC_AUTHORITY,UNKNOWN,UNKNOWN,tests_hub,https://fermatmind.com/zh/tests,UNKNOWN,UNKNOWN,UNKNOWN,MBTI_landing_and_public_types,UNKNOWN,false,false,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01_and_Authority,PLANNED,window-03-assessment-seo/assessment_query_ownership.csv
zh,mbti_type_entity,entity,exploration,PERSONALITY_MBTI_TYPE_OWNER,UNKNOWN,UNKNOWN,tests_hub,https://fermatmind.com/zh/tests,UNKNOWN,UNKNOWN,UNKNOWN,MBTI_landing,UNKNOWN,false,false,Assessment A01 report; final runtime edge authority remains backend/CMS,hold,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01_and_Personality,OUT_OF_SCOPE,window-03-assessment-seo/assessment_query_ownership.csv
en,mbti_transactional_free,transactional,decision,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,assessment_landing,tests_hub,https://fermatmind.com/en/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,MBTI_public_type_pages,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,PROTECT,window-03-assessment-seo/assessment_query_ownership.csv
en,mbti_branded,navigational,decision,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,assessment_landing,tests_hub,https://fermatmind.com/en/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,https://www.fermatmind.com/en/tests,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,PROTECT,window-03-assessment-seo/assessment_query_ownership.csv
en,mbti_model_explanation,informational,awareness,ARTICLE_OR_TOPIC_AUTHORITY,UNKNOWN,UNKNOWN,tests_hub,https://fermatmind.com/en/tests,UNKNOWN,UNKNOWN,UNKNOWN,MBTI_landing_and_public_types,UNKNOWN,false,false,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01_and_Authority,PLANNED,window-03-assessment-seo/assessment_query_ownership.csv
zh,riasec_holland_transactional,transactional,decision,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,RIASEC_article_and_Career_after_C06,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,MAINTAIN,window-03-assessment-seo/assessment_query_ownership.csv
zh,riasec_transactional,transactional,decision,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,RIASEC_article_and_Career_after_C06,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,MAINTAIN,window-03-assessment-seo/assessment_query_ownership.csv
