locale,alias_url,initial_status,location,redirect_hop_count,final_url,final_status,expected_target,target_matches,deterministic_one_hop,cms_fetch_before_redirect,legacy_content_rendered,sitemap_membership,hreflang_membership,llms_membership,llms_full_membership,frontend_canonical_catalog_membership,internal_inbound_link_count,gsc_impressions,param_status,param_location,param_preserved,captured_at,evidence_level,error
en,https://fermatmind.com/en/personality/big-five/high-openness,301,/en/personality/big-five/openness-high,1,https://fermatmind.com/en/personality/big-five/openness-high,200,https://fermatmind.com/en/personality/big-five/openness-high,true,true,NO_BY_ROUTE_CONFIG_AND_REQUEST_TRACE,false,false,false,false,false,false,0,UNKNOWN,301,/en/personality/big-five/openness-high?utm_source=technical_audit,true,2026-08-10T04:42:43.349Z,VERIFIED,
en,https://fermatmind.com/en/personality/big-five/low-openness,301,/en/personality/big-five/openness-low,1,https://fermatmind.com/en/personality/big-five/openness-low,200,https://fermatmind.com/en/personality/big-five/openness-low,true,true,NO_BY_ROUTE_CONFIG_AND_REQUEST_TRACE,false,false,false,false,false,false,0,UNKNOWN,301,/en/personality/big-five/openness-low?utm_source=technical_audit,true,2026-08-10T04:42:44.314Z,VERIFIED,
en,https://fermatmind.com/en/personality/big-five/high-conscientiousness,301,/en/personality/big-five/conscientiousness-high,1,https://fermatmind.com/en/personality/big-five/conscientiousness-high,200,https://fermatmind.com/en/personality/big-five/conscientiousness-high,true,true,NO_BY_ROUTE_CONFIG_AND_REQUEST_TRACE,false,false,false,false,false,false,0,UNKNOWN,301,/en/personality/big-five/conscientiousness-high?utm_source=technical_audit,true,2026-08-10T04:42:44.913Z,VERIFIED,
en,https://fermatmind.com/en/personality/big-five/low-conscientiousness,301,/en/personality/big-five/conscientiousness-low,1,https://fermatmind.com/en/personality/big-five/conscientiousness-low,200,https://fermatmind.com/en/personality/big-five/conscientiousness-low,true,true,NO_BY_ROUTE_CONFIG_AND_REQUEST_TRACE,false,false,false,false,false,false,0,UNKNOWN,301,/en/personality/big-five/conscientiousness-low?utm_source=technical_audit,true,2026-08-10T04:42:45.533Z,VERIFIED,
en,https://fermatmind.com/en/personality/big-five/high-extraversion,301,/en/personality/big-five/extraversion-high,1,https://fermatmind.com/en/personality/big-five/extraversion-high,200,https://fermatmind.com/en/personality/big-five/extraversion-high,true,true,NO_BY_ROUTE_CONFIG_AND_REQUEST_TRACE,false,false,false,false,false,false,0,UNKNOWN,301,/en/personality/big-five/extraversion-high?utm_source=technical_audit,true,2026-08-10T04:42:46.373Z,VERIFIED,
en,https://fermatmind.com/en/personality/big-five/low-extraversion,301,/en/personality/big-five/extraversion-low,1,https://fermatmind.com/en/personality/big-five/extraversion-low,200,https://fermatmind.com/en/personality/big-five/extraversion-low,true,true,NO_BY_ROUTE_CONFIG_AND_REQUEST_TRACE,false,false,false,false,false,false,0,UNKNOWN,301,/en/personality/big-five/extraversion-low?utm_source=technical_audit,true,2026-08-10T04:42:46.856Z,VERIFIED,
en,https://fermatmind.com/en/personality/big-five/high-agreeableness,301,/en/personality/big-five/agreeableness-high,1,https://fermatmind.com/en/personality/big-five/agreeableness-high,200,https://fermatmind.com/en/personality/big-five/agreeableness-high,true,true,NO_BY_ROUTE_CONFIG_AND_REQUEST_TRACE,false,false,false,false,false,false,0,UNKNOWN,301,/en/personality/big-five/agreeableness-high?utm_source=technical_audit,true,2026-08-10T04:42:47.506Z,VERIFIED,
en,https://fermatmind.com/en/personality/big-five/low-agreeableness,301,/en/personality/big-five/agreeableness-low,1,https://fermatmind.com/en/personality/big-five/agreeableness-low,200,https://fermatmind.com/en/personality/big-five/agreeableness-low,true,true,NO_BY_ROUTE_CONFIG_AND_REQUEST_TRACE,false,false,false,false,false,false,0,UNKNOWN,301,/en/personality/big-five/agreeableness-low?utm_source=technical_audit,true,2026-08-10T04:42:47.983Z,VERIFIED,
en,https://fermatmind.com/en/personality/big-five/high-neuroticism,301,/en/personality/big-five/neuroticism-high,1,https://fermatmind.com/en/personality/big-five/neuroticism-high,200,https://fermatmind.com/en/personality/big-five/neuroticism-high,true,true,NO_BY_ROUTE_CONFIG_AND_REQUEST_TRACE,false,false,false,false,false,false,0,UNKNOWN,301,/en/personality/big-five/neuroticism-high?utm_source=technical_audit,true,2026-08-10T04:42:49.122Z,VERIFIED,
en,https://fermatmind.com/en/personality/big-five/emotional-stability,301,/en/personality/big-five/neuroticism-low,1,https://fermatmind.com/en/personality/big-five/neuroticism-low,200,https://fermatmind.com/en/personality/big-five/neuroticism-low,true,true,NO_BY_ROUTE_CONFIG_AND_REQUEST_TRACE,false,false,false,false,false,false,0,UNKNOWN,301,/en/personality/big-five/neuroticism-low?utm_source=technical_audit,true,2026-08-10T04:42:49.592Z,VERIFIED,
