slug,decision,reason
accountants-and-auditors,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
actors,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
agricultural-engineers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
aerospace-engineers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
registered-nurses,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
anesthesiologists,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
high-school-teachers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
administrative-services-managers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
advertising-sales-agents,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
art-directors,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
aircraft-mechanics-and-service-technicians,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
electricians,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
cashiers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
waiters-and-waitresses,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
data-scientists,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
web-developers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
computer-programmers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
project-management-specialists,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
agricultural-workers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
animal-caretakers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
architects-except-landscape-and-naval,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
airline-pilots-copilots-and-flight-engineers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
air-traffic-controllers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
music-therapists,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
surgical-technologists,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
civil-engineers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
mechanical-engineers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
elementary-school-teachers-except-special-education,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
sales-representatives-wholesale-and-manufacturing-except-technical-and-scientific-products,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
chefs-and-head-cooks,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
actuaries,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
acupuncturists,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
acute-care-nurses,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
adapted-physical-education-specialists,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
adhesive-bonding-machine-operators-and-tenders,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
administrative-law-judges-adjudicators-and-hearing-officers,approve_for_approved_state,Covered by final reader repair QA and 1046 staging API smoke; production import still requires explicit operator approval.
