seed_ordinal,slug,title_en,title_zh,cohort_score,high_risk_signal,missing_intent_count,candidate_quality_findings,include_reason
1,accountants-and-auditors,Accountants and auditors,会计师和审计师,52,general,1,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,required_regression_or_high_value_sample
2,actors,Actors,演员职业诊断,110,actor,2,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template|en_missing_article_or_plural_awkwardness|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,required_regression_or_high_value_sample
3,actuaries,Actuaries,精算师职业诊断,84,general,9,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template|en_missing_article_or_plural_awkwardness|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,required_regression_or_high_value_sample
8,administrative-law-judges-adjudicators-and-hearing-officers,"Administrative Law Judges, Adjudicators, And Hearing Officers",行政法官、官,100,law|judge,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
9,administrative-services-managers,Administrative Services Managers,行政服务经理,100,manager,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
10,adult-literacy-and-ged-teachers,Adult Basic and Secondary Education and ESL Teachers,成人基础与中等教育及ESL教师适合谁？,108,teacher,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
12,advanced-practice-psychiatric-nurses,Advanced Practice Psychiatric Nurses,精神科护士,100,nurse,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
13,advertising-and-promotions-managers,Advertising And Promotions Managers,广告与促销经理,100,manager,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
16,aerospace-engineering-and-operations-technicians,Aerospace Engineering and Operations Technologists and Technicians,航空航天工程与运营技术员适合谁？,108,engineer|technician,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
18,agents-and-business-managers-of-artists-performers-and-athletes,"Agents And Business Managers Of Artists, Performers, And Athletes",经理商业,108,manager,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
19,agricultural-and-food-science-technicians,Agricultural and Food Science Technicians,农业与食品科学技术员适合谁？,108,technician,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
24,agricultural-sciences-teachers-postsecondary,"Agricultural Sciences Teachers, Postsecondary",农业教师,100,teacher,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
25,agricultural-technicians,Agricultural Technicians,农业技术员,100,technician,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
29,air-traffic-controllers,Air Traffic Controllers,空中交通管制员职业诊断,108,air-traffic,9,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,required_regression_or_high_value_sample
30,aircraft-and-avionics-equipment-mechanics-and-technicians,Aircraft and Avionics Equipment Mechanics and Technicians,飞机与航空电子设备维修技师适合谁？,108,aircraft|technician,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
31,aircraft-cargo-handling-supervisors,Aircraft Cargo Handling Supervisors,飞机货物装卸主管,100,aircraft,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
32,aircraft-launch-and-recovery-officers,Aircraft Launch And Recovery Officers,飞机官,100,aircraft,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
35,aircraft-service-attendants,Aircraft Service Attendants,飞机服务服务员,100,aircraft,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
36,aircraft-structure-surfaces-rigging-and-systems-assemblers,"Aircraft Structure, Surfaces, Rigging, And Systems Assemblers",飞机结构、表面、索具、系统装配工,100,aircraft,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
38,airline-and-commercial-pilots,Airline and Commercial Pilots,航空公司与商业飞行员职业诊断,116,pilot,9,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
101,biofuels-processing-technicians,Biofuels Processing Technicians,生物燃料加工技术员,98,technician,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
160,chiropractors,Chiropractors,整脊医师适合谁？,98,actor,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
171,clinical-laboratory-technologists-and-technicians,Medical and Clinical Laboratory Technologists,医学与临床实验室技师职业诊断,106,technician,9,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
184,communications-teachers-postsecondary,"Communications Teachers, Postsecondary",传播教师,98,teacher,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
186,compensation-and-benefits-managers,Compensation and benefits managers,薪酬与福利经理职业诊断,98,manager,9,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
306,electricians,Electricians,其他职业,98,electrician,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,required_regression_or_high_value_sample
311,elementary-school-teachers-except-special-education,"Elementary School Teachers, Except Special Education",教育教师,90,teacher,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,required_regression_or_high_value_sample
489,helpers-electricians,Helpers Electricians,电工帮工,98,electrician,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
496,high-school-teachers,"Secondary School Teachers, Except Special and Career/Technical Education",高中教师（不含特殊与职业技术教育）职业诊断,98,teacher,9,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
511,human-resources-managers,Human resources managers,人力资源经理职业诊断,98,manager,9,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
550,judges-and-hearing-officers,"Judges, Magistrate Judges, And Magistrates",法官、裁判官与治安法官,98,judge,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
551,judges-magistrate-judges-and-magistrates,"Judges, Magistrate Judges, And Magistrates",法官、地方法官法官、地方法官,98,judge,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
562,lawyers,Lawyers,律师职业诊断,114,law,9,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template|en_missing_article_or_plural_awkwardness|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,required_regression_or_high_value_sample
587,logistics-engineers,Logistics Engineers,工程师,98,engineer,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
588,loss-prevention-managers,Loss Prevention Managers,损失预防经理,98,manager,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
612,materials-engineers,Materials Engineers,材料工程师,98,engineer,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
622,mechatronics-engineers,Mechatronics Engineers,工程师,98,engineer,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
644,microsystems-engineers,Microsystems Engineers,工程师,98,engineer,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
673,nanosystems-engineers,Nanosystems Engineers,工程师,98,engineer,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
758,photonics-engineers,Photonics Engineers,工程师,98,engineer,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
759,photonics-technicians,Photonics Technicians,光子学技术员,98,technician,9,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
854,registered-nurses,Registered nurses,注册护士,88,nurse,8,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,required_regression_or_high_value_sample
1000,transportation-engineers,Transportation Engineers,运输工程师,100,engineer,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
1016,validation-engineers,Validation Engineers,工程师,100,engineer,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
1020,video-game-designers,Video Game Designers,电子游戏设计师,100,designer,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
1026,water-wastewater-engineers,Water/Wastewater Engineers,工程师,100,engineer,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
1029,web-and-digital-interface-designers,Web And Digital Interface Designers,网页与数字界面设计师,100,designer,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
1038,wind-energy-engineers,Wind Energy Engineers,工程师,100,engineer,9,generic_template_phrase|generic_anchor_template|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
1045,writers-and-authors,Writers And Authors,作家与作者,106,writer,8,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,high_risk_or_quality_review
1046,zoologists-and-wildlife-biologists,Zoologists And Wildlife Biologists,动物学家与野生生物学家,66,general,8,generic_template_phrase|generic_anchor_template|en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,required_regression_or_high_value_sample
