rank,framework,locale,url,entity_type,entity_code,owned_query_clusters,current28_clicks,current28_impressions,current28_ctr_percent,current28_position,prev28_clicks,prev28_impressions,prev28_ctr_percent,prev28_position,day90_clicks,day90_impressions,day90_ctr_percent,day90_position,impressions_delta_vs_prev28,clicks_delta_vs_prev28,ctr_pp_delta_vs_prev28,selection_score,selection_rule,current_title,current_description,current_h1,query_cannibalization,recommended_action,expected_metric,risk_dependency,evidence_status,page_indexing_state
1,mbti,en,https://fermatmind.com/en/personality/intp-a,variant,INTP-A,intp-a; intp a; intp-a meaning,2,965,0.207254,9.078756,0,111,0,8.630631,2,1082,0.184843,9.040665,854,2,0.207254,6.858919,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,"INTP-A Personality: Traits, Assertive Pattern, Work and Relationships | FermatMind","Understand INTP-A: core traits, Assertive stress pattern, work style, relationships, common misreads, strengths, watch-outs, and safe self-understanding boundaries.",INTP-A Personality,0,METADATA_INTENT_EXPERIMENT_CANDIDATE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
2,enneagram,en,https://fermatmind.com/en/personality/enneagram/wings/3w2,wing,3w2,3w2; 3w2 enneagram; enneagram 3w2,0,117,0,9.905983,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,117,0,9.905983,UNKNOWN,UNKNOWN,UNKNOWN,4.770685,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,3w2: relational visibility as a core-first wing hypothesis,"The 3w2 wing is a core-first, evidence-limited hypothesis: Type Three attention to valued results may be modified by Two-adjacent connection, usefulness, and audience response. Warm presentation or networking cannot establish a wing because service roles, sales incentives, and collaboration norms can look the same.",3w2: relational visibility as a core-first wing hypothesis,0,METADATA_INTENT_EXPERIMENT_CANDIDATE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
3,enneagram,en,https://fermatmind.com/en/personality/enneagram/wings/5w4,wing,5w4,5w4; enneagram 5w4; 5w4 meaning,0,61,0,13.983607,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,61,0,13.983607,UNKNOWN,UNKNOWN,UNKNOWN,4.127134,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,5w4: a core-first hypothesis about personal synthesis and meaning,"5w4 is an evidence-limited wing hypothesis: Type Five knowledge, competence, privacy, and capacity concerns remain primary, while Four may modify how ideas receive personal synthesis, meaning, and originality. Distinctive work does not establish 5w4 because creative training, specialization, culture, audience, and project ownership can look similar.",5w4: a core-first hypothesis about personal synthesis and meaning,0,METADATA_INTENT_EXPERIMENT_CANDIDATE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
4,big_five,en,https://fermatmind.com/en/personality/big-five/facets/dutifulness,facet_detail,dutifulness,dutifulness; dutifulness meaning; dutiful personality definition,0,47,0,6.87234,0,4,0,9.5,0,51,0,7.078431,43,0,0,3.871201,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,Dutifulness: Commitment to Obligations,"Dutifulness concerns how strongly promises, rules, and obligations guide action. It is not a measure of morality, obedience, kindness, or whether someone deserves trust.",Dutifulness: Commitment to Obligations,0,METADATA_INTENT_EXPERIMENT_CANDIDATE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
5,big_five,en,https://fermatmind.com/en/personality/big-five/neuroticism-low,polarity,neuroticism-low,low neuroticism; low neuroticism meaning; what is low neuroticism,0,42,0,12.095238,0,6,0,12.833333,0,48,0,12.1875,36,0,0,3.7612,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,Low Neuroticism: Calm and Faster Recovery,"Low Neuroticism may suggest calm, faster recovery, and lower stress reactivity. It does not mean having no emotions, superior resilience, or protection from mental illness.",Low Neuroticism: Calm and Faster Recovery,0,METADATA_INTENT_EXPERIMENT_CANDIDATE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
6,mbti,en,https://fermatmind.com/en/personality/esfj-t,variant,ESFJ-T,esfj-t; esfj-t personality; esfj_t,0,18,0,5.555556,0,4,0,4.75,0,39,0,6.923077,14,0,0,2.944439,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,"ESFJ-T Personality: Traits, Turbulent Pattern, Work and Relationships | FermatMind","Understand ESFJ-T: core traits, Turbulent stress pattern, work style, relationships, common misreads, strengths, watch-outs, and safe self-understanding boundaries.",ESFJ-T Personality,0,HOLD_LOW_EVIDENCE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
7,enneagram,en,https://fermatmind.com/en/personality/enneagram/type-7/instincts/self-preservation,instinctual_subtype,type-7/self-preservation,self preservation 7; self-preservation 7; self-preservation enneagram,0,18,0,7.555556,0,3,0,8.666667,0,21,0,7.714286,15,0,0,2.944439,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,"Type Seven self-preservation: a practical options, resources, and reciprocal alliance hypothesis","Type Seven self-preservation is a traditional, evidence-limited hypothesis combining Type Seven possibility with practical options, resources, comfort access, and reciprocal alliances. Networking or provisioning does not establish subtype because scarcity, caregiving, housing security, disability access, migration, and ordinary mutual aid can produce the same behavior.","Type Seven self-preservation: a practical options, resources, and reciprocal alliance hypothesis",0,HOLD_LOW_EVIDENCE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
8,enneagram,en,https://fermatmind.com/en/personality/enneagram/wings/1w2,wing,1w2,1w2; enneagram 1w2; 1w2 vs 1w9,0,14,0,12.714286,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,14,0,12.714286,UNKNOWN,UNKNOWN,UNKNOWN,2.70805,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,1w2: a core-first hypothesis about involved improvement,"The 1w2 wing is a core-first, evidence-limited hypothesis in which Type One attention to standards may be modified by a Two-adjacent pull toward direct involvement, practical help, and relational repair. It is not an independent category, and helpful correction may arise from role duty or learned service rather than a wing.",1w2: a core-first hypothesis about involved improvement,0,HOLD_LOW_EVIDENCE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
9,big_five,en,https://fermatmind.com/en/personality/big-five/facets/gregariousness,facet_detail,gregariousness,gregariousness,0,14,0,4.071429,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,14,0,4.071429,UNKNOWN,UNKNOWN,UNKNOWN,2.70805,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,Gregariousness: Preference for Group Company,"Gregariousness concerns preference for being with groups and frequent company. It is not social skill, popularity, social anxiety, loneliness, or inability to be alone.",Gregariousness: Preference for Group Company,0,HOLD_LOW_EVIDENCE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
10,mbti,en,https://fermatmind.com/en/personality/intj-a-vs-intj-t,at_comparison,intj-a-vs-intj-t,intj-a vs intj-t differences; intj-a vs intj-t difference; intj-a vs intj-t,0,12,0,8.583333,0,63,0,13.15873,0,75,0,12.426667,'-51,0,0,2.564949,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,"INTJ-A vs INTJ-T: Confidence, Stress and Work Style | FermatMind","Compare INTJ-A and INTJ-T by confidence, stress recovery, decision review, relationships, work style and self-check prompts.",INTJ-A vs INTJ-T: Key Differences,0,HOLD_LOW_EVIDENCE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
