rank,path,target_url,locale,page_type,mbti_type,cohort_group,action_bucket,rerun_lane,rerun_allowed,blocked_reason,evidence_quality,priority_score,query_rows_captured,impressions,clicks,ctr,average_position,qa_decision,recommended_next_task
"1","/zh/personality/intp-a","https://fermatmind.com/zh/personality/intp-a","zh","variant","INTP","expansion_88","READY_QUERY_BACKED_LOW_RISK_DRAFT_REVIEW","active_rerun_queue","true","","query_backed_low_volume","67.45","1","9","0","0","12.7","PASS_READY_FOR_CMS_DRAFT","MBTI64-CMS-PROJECTION-DRAFT-VISIBLE-3-DRY-RUN-01"
"2","/zh/personality/esfp-a","https://fermatmind.com/zh/personality/esfp-a","zh","variant","ESFP","expansion_88","READY_QUERY_BACKED_LOW_RISK_DRAFT_REVIEW","active_rerun_queue","true","","query_backed_low_volume","62.021","1","1","0","0","7","PASS_READY_FOR_CMS_DRAFT","MBTI64-CMS-PROJECTION-DRAFT-VISIBLE-3-DRY-RUN-01"
"3","/en/personality/enfj-a","https://fermatmind.com/en/personality/enfj-a","en","variant","ENFJ","expansion_88","READY_QUERY_BACKED_LOW_RISK_DRAFT_REVIEW","active_rerun_queue","true","","query_backed_low_volume","61.848","1","21","0","0","26.9","PASS_READY_FOR_CMS_DRAFT","MBTI64-CMS-PROJECTION-DRAFT-VISIBLE-3-DRY-RUN-01"
"4","/zh/personality/istp-a","https://fermatmind.com/zh/personality/istp-a","zh","variant","ISTP","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","query_evidence_waitlist","false","query_evidence_suppressed","page_level_only_query_suppressed","73.612","0","7","0","0","7.3","PASS_READY_FOR_CMS_DRAFT","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"5","/zh/personality/esfj-a","https://fermatmind.com/zh/personality/esfj-a","zh","variant","ESFJ","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","query_evidence_waitlist","false","query_evidence_suppressed","page_level_only_query_suppressed","60.521","0","1","0","0","8","PASS_READY_FOR_CMS_DRAFT","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"6","/zh/personality/intp-a-vs-intp-t","https://fermatmind.com/zh/personality/intp-a-vs-intp-t","zh","comparison","INTP","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","query_evidence_waitlist","false","query_evidence_suppressed","page_level_only_query_suppressed","59.542","0","2","0","0","11","PASS_READY_FOR_CMS_DRAFT","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"7","/en/personality/esfj-t","https://fermatmind.com/en/personality/esfj-t","en","variant","ESFJ","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","query_evidence_waitlist","false","query_evidence_suppressed","page_level_only_query_suppressed","59.082","0","15","0","0","26.7","PASS_READY_FOR_CMS_DRAFT","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"8","/en/personality/intp-a","https://fermatmind.com/en/personality/intp-a","en","variant","INTP","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","query_evidence_waitlist","false","query_evidence_suppressed","page_level_only_query_suppressed","59.021","0","1","0","0","9","PASS_READY_FOR_CMS_DRAFT","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"9","/en/personality/istp-a","https://fermatmind.com/en/personality/istp-a","en","variant","ISTP","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","query_evidence_waitlist","false","query_evidence_suppressed","page_level_only_query_suppressed","56.021","0","1","0","0","11","PASS_READY_FOR_CMS_DRAFT","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"10","/en/personality/enfp-a","https://fermatmind.com/en/personality/enfp-a","en","variant","ENFP","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","query_evidence_waitlist","false","query_evidence_suppressed","page_level_only_query_suppressed","55.828","0","10","0","0","38.4","PASS_READY_FOR_CMS_DRAFT","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
