refresh_id,article_id,translation_group_id,locale,slug,primary_query_cluster,gsc_window,clicks,impressions,ctr,position,primary_metric,selection_reason,package_status,english_v2_control_required
ARTICLE-REFRESH-01,3,big5-v2-df8d5e7f157e301b9a0f4dc8e6b8c3b66c7e31f4,zh,big-five-tool-guide,大五人格测试 怎么看分数,2026-07-13_to_2026-08-09,8,817,0.98%,7.61,position-controlled CTR + article_to_test_click,测试核心词当前错配到文章；保留解释 owner，但将交易 intent 明确回送测试 landing。,READY_NOT_IMPORTED,false
ARTICLE-REFRESH-02,11,article-11,zh,are-infj-men-rare-or-socially-silenced,INFJ 男性 少见,2026-07-13_to_2026-08-09,5,205,2.44%,8.38,click retention + evidence engagement,SERP 常给出无清楚样本来源的比例；强化数据来源限制、性别/地区/工具口径。,READY_NOT_IMPORTED,false
ARTICLE-REFRESH-03,51,tg_article_enneagram_personality_test_explained_2026v1,zh,enneagram-personality-test-explained,九型人格测试 准吗,2026-07-13_to_2026-08-09,4,555,0.72%,7.54,CTR + test CTA click,区分长期动机假设与表面行为；避免自报准确率与无来源验证。,READY_NOT_IMPORTED,false
ARTICLE-REFRESH-04,58,tg_gaokao_adjustment_unacceptable_major_2026v1,zh,gaokao-major-adjustment-unacceptable-major-checklist,高考志愿 服从调剂,2026-07-13_to_2026-08-09,1,986,0.1%,6.56,CTR + checklist engagement,不同省份规则不同；必须把官方招生章程与本省当年规则置于兴趣工具之前。,READY_NOT_IMPORTED,false
ARTICLE-REFRESH-05,40,riasec-explanation-article-2026-06-v2,zh,riasec-holland-career-interest-test-explained,RIASEC 是什么,2026-07-13_to_2026-08-09,0,220,0%,7.3,CTR + RIASEC landing click,当前文章已被搜索观察到；应把定义、六维、三字码和不能推断的结论前置。,READY_NOT_IMPORTED,false
ARTICLE-REFRESH-06,50,tg_article_iq_test_score_and_limits_explained_2026v1,zh,iq-test-score-and-limits-explained,在线 IQ 测试 准吗,2026-07-13_to_2026-08-09,0,116,0%,6.11,CTR + boundary comprehension,SERP 多为测试工具页；FermatMind 应清楚区分在线矩阵推理任务与正式标准化智力评估。,READY_NOT_IMPORTED,false
ARTICLE-REFRESH-07,72,tg_major_career_mismatch_job_search_skills_2026v1,zh,major-career-mismatch-job-search-skills-plan,专业不对口 怎么找工作,2026-07-13_to_2026-08-09,0,237,0%,10.18,CTR + checklist completion + RIASEC click,把泛化鼓励改为 JD 动词—证据—缺口—验证的可执行链；RIASEC 只用于兴趣假设。,READY_NOT_IMPORTED,false
ARTICLE-REFRESH-08,8,article-8,zh,mbti-basics,MBTI 是什么,2026-07-13_to_2026-08-09,2,646,0.31%,16.33,query owner clarity + CTR + test click,与 MBTI 测试 landing 分工：文章拥有 what/how/limitations，landing 拥有免费测试交易 intent。,READY_NOT_IMPORTED,false
ARTICLE-REFRESH-09,78,big5-v2-a629c69a9a6cfa5fa7f3afde6d783a1efc21f537,zh,big-five-emotional-stability-stress-recovery-communication,大五人格 情绪稳定性低 怎么办,2026-07-13_to_2026-08-09,0,155,0%,12.54,CTR + action section engagement,把‘怎么办’回答成触发—恢复—沟通—求助四层动作，不把特质等同心理问题。,READY_NOT_IMPORTED,false
ARTICLE-REFRESH-10,41,riasec-explanation-article-2026-06-v2,en,what-is-riasec-holland-code-career-interest-test,what is RIASEC Holland Code,2026-07-13_to_2026-08-09,2,1755,0.11%,25.07,ranking recovery + CTR + test click,"English SERP is tool-heavy; lead with six interests, code meaning, evidence boundary, then a focused public test CTA.",READY_NOT_IMPORTED,true
