article_id,translation_group_id,locale,slug,primary_classification,secondary_classifications,primary_action,rationale,evidence,reassessment_date
26,article-11,en,are-infj-men-rare-or-socially-silenced,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
27,article-12,en,best-valentines-date-by-personality-and-relationship-science,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
81,tg_big_five_conscientiousness_task_plan_2026v1,en,big-five-conscientiousness-low-procrastination-task-plan,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
79,tg_big_five_emotional_stability_stress_2026v1,en,big-five-emotional-stability-stress-recovery-communication,Near Winner,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
186,big5-v2-f29331ce54d2f28a7051702932c39aaf69d2bf61,en,big-five-growth-guide,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=missing; position bucket median=Unknown; sources=3; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
187,big5-v2-8381cc150e7180b365a397ce3e3a25e2626b8970,en,big-five-narrative-portrait,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=missing; position bucket median=Unknown; sources=1; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
35,e4fb93e4-9010-48bb-9a28-312414ca45a9,en,big-five-personality-test-vs-mbti,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
188,big5-v2-df8d5e7f157e301b9a0f4dc8e6b8c3b66c7e31f4,en,big-five-tool-guide,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=missing; position bucket median=Unknown; sources=2; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
47,tg_article_career_interest_vs_personality_test_2026v1,en,career-interest-test-vs-personality-test,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
29,article-13,en,childhood-dream-job-still-shapes-career-choice,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=6; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
49,tg_article_career_exploration_map_2026v1,en,choose-career-using-personality-tests,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
189,tg_article_college_major_choice_holland_mbti_career_test_2026v1,en,college-major-choice-holland-mbti-career-test,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=missing; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
190,tg_article_enneagram_personality_test_explained_2026v1,en,enneagram-personality-test-explained,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=missing; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
69,tg_enneagram_workplace_friction_core_motivations_2026v1,en,enneagram-workplace-friction-core-motivations,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
191,article-4,en,eq-test-tool-guide,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=missing; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
192,tg_gaokao_adjustment_unacceptable_major_2026v1,en,gaokao-major-adjustment-unacceptable-major-checklist,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=missing; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
193,tg_article_gaokao_parent_conflict_riasec_course_checklist_2026v1,en,gaokao-major-choice-parent-conflict-riasec-course-checklist,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=missing; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
194,tg_article_gaokao_score_major_shortlist_riasec_2026v1,en,gaokao-score-major-shortlist-riasec-checklist,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=missing; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
32,de0bcc45-dc33-46da-8e04-869715750e48,en,holland-career-interest-test-can-and-cannot-tell-you,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
65,tg_hot_major_fit_riasec_course_career_2026v1,en,hot-major-fit-riasec-course-career-checklist,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
28,article-14,en,how-16-personality-types-talk-to-an-ai-coach,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=5; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
24,article-15,en,how-personality-shapes-attitude-toward-ai,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=5; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
195,article-5,en,iq-test-growth-guide,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=missing; position bucket median=Unknown; sources=3; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
196,article-6,en,iq-test-narrative-portrait,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=missing; position bucket median=Unknown; sources=3; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
197,tg_article_iq_test_score_and_limits_explained_2026v1,en,iq-test-score-and-limits-explained,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=missing; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
198,article-7,en,iq-test-tool-guide,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=missing; position bucket median=Unknown; sources=3; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
73,tg_major_career_mismatch_job_search_skills_2026v1,en,major-career-mismatch-job-search-skills-plan,Near Winner,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
85,tg_major_category_program_tracking_riasec_2026v1,en,major-category-program-tracking-riasec-choice-checklist,Near Winner,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
199,tg_math_computer_ai_course_riasec_2026v1,en,math-not-good-computer-ai-major-course-riasec-checklist,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=missing; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
200,article-8,en,mbti-basics,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=missing; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
61,tg_mbti_full_report_career_relationship_2026v1,en,mbti-full-report-career-relationship-communication,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
201,article-9,en,mbti-growth-guide,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=missing; position bucket median=Unknown; sources=3; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
202,article-10,en,mbti-narrative-portrait,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=missing; position bucket median=Unknown; sources=3; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
