slug,locales,categories,review_status,reason
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN|en,military_or_command,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
air-crew-officers,zh-CN|en,military_or_command,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
aircraft-launch-and-recovery-officers,zh-CN|en,military_or_command,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
armored-assault-vehicle-officers,zh-CN|en,military_or_command,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
artillery-and-missile-officers,zh-CN|en,military_or_command,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
chief-sustainability-officers,zh-CN|en,military_or_command,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
command-and-control-center-officers,zh-CN|en,military_or_command,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
command-and-control-center-specialists,zh-CN|en,military_or_command,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
actors,zh-CN|en,variable_pay_or_performance,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
advertising-sales-agents,zh-CN|en,variable_pay_or_performance,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
sales-representatives-wholesale-and-manufacturing-except-technical-and-scientific-products,zh-CN|en,variable_pay_or_performance,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN|en,variable_pay_or_performance|finance_legal_business,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
athletes-and-sports-competitors,zh-CN|en,variable_pay_or_performance,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
brokerage-clerks,zh-CN|en,variable_pay_or_performance,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
buyers-and-purchasing-agents-farm-products,zh-CN|en,variable_pay_or_performance|wildlife_or_environment,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
cargo-and-freight-agents,zh-CN|en,variable_pay_or_performance,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
registered-nurses,zh-CN|en,medical_or_health,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
music-therapists,zh-CN|en,medical_or_health,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
acute-care-nurses,zh-CN|en,medical_or_health,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
advanced-practice-psychiatric-nurses,zh-CN|en,medical_or_health,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN|en,medical_or_health|trade_or_service,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
art-therapists,zh-CN|en,medical_or_health,ready,Selected for representative editorial review coverage; projection-aware QA and staging API smoke are PASS.
