id,url,locale,page_type,search_intent,target_user,primary_keyword,secondary_keywords,recommended_title,recommended_meta_description,recommended_h1,required_modules,internal_links_out,internal_links_in,schema,priority,impact,content_effort,dev_effort,cms_authority_required,review_required,acceptance_criteria
"PAGE-001","/en/charter","en","institutional_trust","Understand assessment principles and platform boundaries","English users evaluating trust before taking tests","assessment charter","psychological test principles; test limitations; FermatMind trust","FermatMind Assessment Charter","FermatMind assessment principles, responsible-use boundaries, privacy commitments, and what tests should and should not be used for.","FermatMind Assessment Charter","Mission; assessment principles; responsible-use boundaries; privacy commitments; clinical and hiring limitations; update policy","/en/privacy; /en/terms; /en/method-boundaries","About page and footer only after CMS page is live","WebPage; BreadcrumbList","P1","High","Medium","Low","true","true","P0 action is cleanup or CMS ticket only; page publication is P1. CMS content_page must return 200 with approved metadata before any footer, sitemap, or hreflang link."
"PAGE-002","/en/policies","en","policy_hub","Find official policies and user rights","English users seeking legal, privacy, refund, and support policies","FermatMind policies","privacy policy; terms; refund policy; data privacy","FermatMind Policies","Find approved FermatMind privacy, terms, refund, support, and responsible-assessment policies in one official hub.","FermatMind Policies","Policy directory; privacy link; terms link; support link; only list refund/data pages after approval","/en/privacy; /en/terms; /en/support","Footer only after CMS page is live and linked policies exist","CollectionPage; BreadcrumbList","P1","High","Low","Low","true","true","P0 action is to keep current 404 unlinked. Page publication is P1 and cannot list missing policy URLs."
"PAGE-003","/en/brand","en","institutional_trust","Verify brand identity and media assets","Partners, journalists, affiliates, and business prospects","FermatMind brand","brand assets; media kit; logo; press","FermatMind Brand","Official FermatMind brand, media, and attribution resources for partners and press, if approved.","FermatMind Brand","Brand overview; approved name usage; media contact; asset request path; legal caveats","/en/about; /en/support","Footer company section only after approval","WebPage; BreadcrumbList","P1","Medium","Low","Low","true","false","P0 action is to keep current 404 unlinked. Do not invent media assets or brand claims."
"PAGE-004","/en/foundation","en","institutional_trust","Understand institutional mission or foundation positioning","English users evaluating organization credibility","FermatMind foundation","mission; public benefit; assessment access","FermatMind Foundation","FermatMind foundation and public-interest commitments, only if the business confirms this program exists.","FermatMind Foundation","Mission; scope; governance; contact; explicit needs-manual-confirmation state if not official","/en/about; /en/support","Footer company section only after approval","WebPage; BreadcrumbList","P1","Medium","Medium","Low","true","true","dependency=business_confirmation; P0 action is to keep current 404 unlinked. Do not publish unless business confirms the entity or program exists."
"PAGE-005","/en/careers","en","company","Find job opportunities and company hiring information","Candidates and partners checking company legitimacy","FermatMind careers","jobs; hiring; work at FermatMind","Careers at FermatMind","Open roles, hiring principles, and ways to follow FermatMind career opportunities, if approved.","Careers at FermatMind","Hiring status; open roles or no-open-role state; values; contact path; privacy note","/en/about; /en/support","Footer company section only after CMS page exists","WebPage; BreadcrumbList","P1","Medium","Low","Low","true","false","P0 action is to keep current 404 unlinked. No fake roles or hiring claims."
"PAGE-006","/zh/refund-policy","zh","policy","Understand refund rules before or after payment","Chinese buyers and users with order issues","退款政策","订单退款; 深度报告退款; 支付问题; FermatMind 退款","FermatMind 退款政策","了解 FermatMind 数字报告、订单异常、重复支付和支持联系的退款处理规则。","退款政策","Eligibility; non-refundable cases; duplicate payment; report delivery exceptions; support route; response SLA after business confirmation","/zh/support; /zh/privacy; /zh/terms","Footer or checkout only after business and legal approval","WebPage; FAQPage; BreadcrumbList","P1","High","Medium","Low","true","true","dependency=business_confirmation; refund-policy is holdlist in P0. P1 publication requires business-approved SLA and legal/content review."
"PAGE-007","/en/refund-policy","en","policy","Understand refund rules before or after payment","English buyers and users with order issues","refund policy","order refund; premium report refund; payment issue","FermatMind Refund Policy","Learn how FermatMind handles digital report refunds, payment exceptions, duplicate payments, and support requests.","Refund Policy","Eligibility; non-refundable cases; duplicate payment; report delivery exceptions; support route; response SLA after business confirmation","/en/support; /en/privacy; /en/terms","Footer or checkout only after business and legal approval","WebPage; FAQPage; BreadcrumbList","P1","High","Medium","Low","true","true","dependency=business_confirmation; refund-policy is holdlist in P0. P1 publication requires business-approved SLA and legal/content review."
"PAGE-008","/help","root","routing_canonical","Reach help or support from a common root URL","Users typing or searching a generic help URL","FermatMind help","support; help center; contact support","FermatMind Help","Route users to the approved FermatMind support center without using language negotiation as the SEO critical path.","FermatMind Help","Deterministic redirect only; no standalone body; root and locale redirect rules","/zh/support","Footer support link; root path direct traffic","None for redirect","P0","High","Low","Low","false","false","Use deterministic redirects: /help -> /zh/support, /zh/help -> /zh/support, /en/help -> /en/support. Do not use Accept-Language for SEO-critical routing."
"PAGE-009","/zh/results","zh","result_hub","Find how to interpret test results","Chinese users after completing or considering a test","测评结果解读","MBTI 结果; 大五结果; 霍兰德结果; IQ 结果; 抑郁筛查结果","FermatMind 结果解读中心","按测评类型查找结果解释、保存结果说明、科学边界和下一步建议。","结果解读中心","Test result directory; lookup utility link; save-results link; high-risk boundary links; related tests; FAQ","/zh/results/lookup only as private utility; future result guides after CMS authority","Do not link from footer/global nav during P0","CollectionPage; BreadcrumbList","P1","High","Medium","Medium","true","true","P0 action is route decision or reservation only. Public results hub publication is P1 and requires CMS/backend result-guide authority. /results/lookup remains noindex."
"PAGE-010","/en/results","en","result_hub","Find how to interpret test results","English users after completing or considering a test","test results guide","MBTI results; Big Five results; Holland Code results; IQ results; depression screening results","FermatMind Results Guide","Find result interpretation guides, saved-result help, scientific boundaries, and next steps by assessment type.","Results Guide","Test result directory; lookup utility link; save-results link; high-risk boundary links; related tests; FAQ","/en/results/lookup only as private utility; future result guides after CMS authority","Do not link from footer/global nav during P0","CollectionPage; BreadcrumbList","P1","High","Medium","Medium","true","true","P0 action is route decision or reservation only. Public results hub publication is P1 and requires CMS/backend result-guide authority. /results/lookup remains noindex."
