rank,path,target_url,locale,page_type,mbti_type,variant,cohort_group,action_bucket,allowed_next_action,blocked_reason,evidence_quality,priority_score,impressions,clicks,ctr,average_position,query_rows_captured,recommended_next_task
"1","/zh/personality/intp-a","https://fermatmind.com/zh/personality/intp-a","zh","variant","INTP","A","expansion_88","READY_QUERY_BACKED_LOW_RISK_DRAFT_REVIEW","agent_cms_draft_review_canary","","query_backed_low_volume","67.45","9","0","0","12.7","1","MBTI64-CMS-PROJECTION-DRAFT-VISIBLE-3-DRY-RUN-01"
"2","/zh/personality/esfp-a","https://fermatmind.com/zh/personality/esfp-a","zh","variant","ESFP","A","expansion_88","READY_QUERY_BACKED_LOW_RISK_DRAFT_REVIEW","agent_cms_draft_review_canary","","query_backed_low_volume","62.021","1","0","0","7","1","MBTI64-CMS-PROJECTION-DRAFT-VISIBLE-3-DRY-RUN-01"
"3","/en/personality/enfj-a","https://fermatmind.com/en/personality/enfj-a","en","variant","ENFJ","A","expansion_88","READY_QUERY_BACKED_LOW_RISK_DRAFT_REVIEW","agent_cms_draft_review_canary","","query_backed_low_volume","61.848","21","0","0","26.9","1","MBTI64-CMS-PROJECTION-DRAFT-VISIBLE-3-DRY-RUN-01"
"4","/zh/personality/istp-a","https://fermatmind.com/zh/personality/istp-a","zh","variant","ISTP","A","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","wait_for_gsc_api_or_manual_query_csv","query_evidence_suppressed","page_level_only_query_suppressed","73.612","7","0","0","7.3","0","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"5","/zh/personality/esfj-a","https://fermatmind.com/zh/personality/esfj-a","zh","variant","ESFJ","A","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","wait_for_gsc_api_or_manual_query_csv","query_evidence_suppressed","page_level_only_query_suppressed","60.521","1","0","0","8","0","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"6","/zh/personality/intp-a-vs-intp-t","https://fermatmind.com/zh/personality/intp-a-vs-intp-t","zh","comparison","INTP","","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","wait_for_gsc_api_or_manual_query_csv","query_evidence_suppressed","page_level_only_query_suppressed","59.542","2","0","0","11","0","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"7","/en/personality/esfj-t","https://fermatmind.com/en/personality/esfj-t","en","variant","ESFJ","T","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","wait_for_gsc_api_or_manual_query_csv","query_evidence_suppressed","page_level_only_query_suppressed","59.082","15","0","0","26.7","0","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"8","/en/personality/intp-a","https://fermatmind.com/en/personality/intp-a","en","variant","INTP","A","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","wait_for_gsc_api_or_manual_query_csv","query_evidence_suppressed","page_level_only_query_suppressed","59.021","1","0","0","9","0","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"9","/en/personality/istp-a","https://fermatmind.com/en/personality/istp-a","en","variant","ISTP","A","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","wait_for_gsc_api_or_manual_query_csv","query_evidence_suppressed","page_level_only_query_suppressed","56.021","1","0","0","11","0","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"10","/en/personality/enfp-a","https://fermatmind.com/en/personality/enfp-a","en","variant","ENFP","A","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","wait_for_gsc_api_or_manual_query_csv","query_evidence_suppressed","page_level_only_query_suppressed","55.828","10","0","0","38.4","0","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"11","/en/personality/esfj-a","https://fermatmind.com/en/personality/esfj-a","en","variant","ESFJ","A","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","wait_for_gsc_api_or_manual_query_csv","query_evidence_suppressed","page_level_only_query_suppressed","47.041","3","0","0","26.7","0","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"12","/en/personality/entj-a","https://fermatmind.com/en/personality/entj-a","en","variant","ENTJ","A","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","wait_for_gsc_api_or_manual_query_csv","query_evidence_suppressed","page_level_only_query_suppressed","44.542","2","0","0","25","0","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"13","/en/personality/estp-t","https://fermatmind.com/en/personality/estp-t","en","variant","ESTP","T","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","wait_for_gsc_api_or_manual_query_csv","query_evidence_suppressed","page_level_only_query_suppressed","44.542","2","0","0","46.5","0","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"14","/en/personality/intj-a-vs-intj-t","https://fermatmind.com/en/personality/intj-a-vs-intj-t","en","comparison","INTJ","","pilot_8","OBSERVE_OPTIMIZED_PILOT","observe_without_rewrite","optimized_pilot_hold","page_level_only","75.021","1","0","0","5","0","next_scheduled_gsc_import"
"15","/zh/personality/istj-a","https://fermatmind.com/zh/personality/istj-a","zh","variant","ISTJ","A","pilot_8","OBSERVE_OPTIMIZED_PILOT","observe_without_rewrite","optimized_pilot_hold","page_level_only","64.735","23","1","0.043478","9","0","next_scheduled_gsc_import"
"16","/en/personality/intp-a-vs-intp-t","https://fermatmind.com/en/personality/intp-a-vs-intp-t","en","comparison","INTP","","pilot_8","OBSERVE_OPTIMIZED_PILOT","observe_without_rewrite","optimized_pilot_hold","page_level_only","64.279","4","0","0","10.8","0","next_scheduled_gsc_import"
