seed_ordinal,slug,locale,title_en,title_zh,page_url,api_url,page_status,api_status,title,description,h1,canonical,canonical_ok,noindex,faq_signals,source_signals,present_intents,missing_intents,internal_leakage
1,accountants-and-auditors,zh-CN,Accountants and auditors,会计师和审计师,https://fermatmind.com/zh/career/jobs/accountants-and-auditors,https://api.fermatmind.com/api/v0.5/career/jobs/accountants-and-auditors?locale=zh-CN,200,200,会计师和审计师 | FermatMind,# 会计师和审计师 会计师和审计师不是单纯处理数字的岗位。它的核心，是把组织经营活动转化为可核对、可比较、可追踪的财务信息，让决策、合规与风险控制建立在更清楚的依,会计与审计人员,https://fermatmind.com/zh/career/jobs/accountants-and-auditors,true,false,如何判断是否适合|什么兴趣类型更适合做会计与审计？|什么性格更适合会计与审计？|会计师和审计师薪资与就业参考|欧盟语境边界|影响薪资的因素|来源|最容易被 AI 加速的工作流|人的责任边界|怎么准备|相邻职业比较|资料来源与更新说明,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI|api:sources|api:source,what-is|salary|career-path|skills|AI-impact|fit|adjacent|certification,education,false
1,accountants-and-auditors,en,Accountants and auditors,会计师和审计师,https://fermatmind.com/en/career/jobs/accountants-and-auditors,https://api.fermatmind.com/api/v0.5/career/jobs/accountants-and-auditors?locale=en,200,200,Accountants and auditors | FermatMind,# 会计师和审计师 会计师和审计师不是单纯处理数字的岗位。它的核心，是把组织经营活动转化为可核对、可比较、可追踪的财务信息，让决策、合规与风险控制建立在更清楚的依,Accountants and Auditors,https://fermatmind.com/en/career/jobs/accountants-and-auditors,true,false,How to Decide Whether This Career Fits You|Fit map|RIASEC Fit|Personality Fit|Accountants and auditors salary and outlook reference|Salary drivers|Workflows AI may accelerate|Next: verify fit with FermatMind tests|Adjacent Career Comparison|FAQ|Is accounting and auditing a good career for detail-oriented people?|Will AI replace accountants and auditors?,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI|api:sources|api:source,what-is|salary|career-path|skills|AI-impact|fit|adjacent|education|certification,,false
2,actors,zh-CN,Actors,演员职业诊断,https://fermatmind.com/zh/career/jobs/actors,https://api.fermatmind.com/api/v0.5/career/jobs/actors?locale=zh-CN,200,200,演员职业诊断 | FermatMind,Career overview and next steps for 演员职业诊断.,演员,https://fermatmind.com/zh/career/jobs/actors,true,false,如何判断自己是否适合演员？|演员薪资与就业参考|欧盟语境边界|影响薪资的因素|来源|最容易被 AI 加速的工作流|人的责任边界|怎么准备|资料来源与更新说明,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI|api:sources|api:source,what-is|salary|career-path|skills|AI-impact|fit|adjacent,education|certification,false
2,actors,en,Actors,演员职业诊断,https://fermatmind.com/en/career/jobs/actors,https://api.fermatmind.com/api/v0.5/career/jobs/actors?locale=en,200,200,Actors | FermatMind,Career overview and next steps for Actors.,Actors,https://fermatmind.com/en/career/jobs/actors,true,false,How to Decide Whether Acting Fits You|Fit map|RIASEC Fit|Personality Fit|Actors salary and outlook reference|Salary drivers|Workflows AI may accelerate|Next: verify fit with FermatMind tests|Actors Compared With Adjacent Roles|FAQ|Do actors need formal training?,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI|api:sources|api:source,what-is|salary|career-path|skills|AI-impact|fit|adjacent|education|certification,,false
3,actuaries,zh-CN,Actuaries,精算师职业诊断,https://fermatmind.com/zh/career/jobs/actuaries,https://api.fermatmind.com/api/v0.5/career/jobs/actuaries?locale=zh-CN,200,200,精算师职业诊断 | FermatMind,Career overview and next steps for 精算师职业诊断.,精算师,https://fermatmind.com/zh/career/jobs/actuaries,true,false,如何判断是否适合|精算师薪资与就业参考|欧盟语境边界|影响薪资的因素|来源|最容易被 AI 加速的工作流|人的责任边界|怎么准备|相邻职业比较|常见问题|精算师适合什么性格？|资料来源与更新说明,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI|api:sources|api:source,what-is|salary|career-path|skills|AI-impact|fit|adjacent|certification,education,false
3,actuaries,en,Actuaries,精算师职业诊断,https://fermatmind.com/en/career/jobs/actuaries,https://api.fermatmind.com/api/v0.5/career/jobs/actuaries?locale=en,200,200,Actuaries | FermatMind,Career overview and next steps for Actuaries.,Actuaries,https://fermatmind.com/en/career/jobs/actuaries,true,false,How to Decide Whether This Career Fits You|Fit map|RIASEC Fit|Personality Fit|Actuaries salary and outlook reference|Salary drivers|Workflows AI may accelerate|Next: verify fit with FermatMind tests|Adjacent Career Comparison|FAQ|What personality fits Actuaries?|What are the main risks of Actuaries?,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI|api:sources|api:source,what-is|salary|career-path|skills|AI-impact|fit|adjacent|education|certification,,false
4,acupuncturists,zh-CN,Acupuncturists,针灸师,https://fermatmind.com/zh/career/jobs/acupuncturists,https://api.fermatmind.com/api/v0.5/career/jobs/acupuncturists?locale=zh-CN,200,200,针灸师 | FermatMind,Career overview and next steps for 针灸师.,针灸师,https://fermatmind.com/zh/career/jobs/acupuncturists,true,false,如何判断是否适合|针灸师薪资与就业参考|欧盟语境边界|影响薪资的因素|来源|最容易被 AI 加速的工作流|人的责任边界|怎么准备|相邻职业比较|常见问题|针灸师适合什么性格？|资料来源与更新说明,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI|api:sources|api:source,what-is|salary|career-path|skills|AI-impact|fit|adjacent|certification,education,false
4,acupuncturists,en,Acupuncturists,针灸师,https://fermatmind.com/en/career/jobs/acupuncturists,https://api.fermatmind.com/api/v0.5/career/jobs/acupuncturists?locale=en,200,200,Acupuncturists | FermatMind,Career overview and next steps for Acupuncturists.,Acupuncturists,https://fermatmind.com/en/career/jobs/acupuncturists,true,false,How to Decide Whether This Career Fits You|Fit map|RIASEC Fit|Personality Fit|Acupuncturists salary and outlook reference|Salary drivers|Workflows AI may accelerate|Next: verify fit with FermatMind tests|Adjacent Career Comparison|FAQ|What personality fits Acupuncturists?|What are the main risks of Acupuncturists?,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI|api:sources|api:source,what-is|salary|career-path|skills|AI-impact|fit|adjacent|education|certification,,false
5,acute-care-nurses,zh-CN,Acute Care Nurses,急症护理护士,https://fermatmind.com/zh/career/jobs/acute-care-nurses,https://api.fermatmind.com/api/v0.5/career/jobs/acute-care-nurses?locale=zh-CN,200,200,急症护理护士 | FermatMind,Career overview and next steps for 急症护理护士.,急症护理护士,https://fermatmind.com/zh/career/jobs/acute-care-nurses,true,false,如何判断是否适合|急症护理护士薪资与就业参考|欧盟语境边界|影响薪资的因素|来源|最容易被 AI 加速的工作流|人的责任边界|怎么准备|相邻职业比较|常见问题|急症护理护士适合什么性格？|资料来源与更新说明,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI|api:sources|api:source,what-is|salary|career-path|skills|AI-impact|fit|adjacent|education|certification,,false
5,acute-care-nurses,en,Acute Care Nurses,急症护理护士,https://fermatmind.com/en/career/jobs/acute-care-nurses,https://api.fermatmind.com/api/v0.5/career/jobs/acute-care-nurses?locale=en,200,200,Acute Care Nurses | FermatMind,Career overview and next steps for Acute Care Nurses.,Acute Care Nurses,https://fermatmind.com/en/career/jobs/acute-care-nurses,true,false,How to Decide Whether This Career Fits You|Fit map|RIASEC Fit|Personality Fit|Acute Care Nurses salary and outlook reference|Salary drivers|Workflows AI may accelerate|Next: verify fit with FermatMind tests|Adjacent Career Comparison|FAQ|What personality fits Acute Care Nurses?|What are the main risks of Acute Care Nurses?,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI|api:sources|api:source,what-is|salary|career-path|skills|AI-impact|fit|adjacent|education|certification,,false
