slug,locale,url,status,ok,canonical,robots,staging_robots_protected,jsonld_block_count,unauthorized_ai_jsonld,error
accountants-and-auditors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/accountants-and-auditors,200,true,https://fermatmind.com/zh/career/jobs/accountants-and-auditors,"noindex, nofollow, noarchive, nocache",true,3,false,
adapted-physical-education-specialists,zh-CN,https://staging.fermatmind.com/zh/career/jobs/adapted-physical-education-specialists,200,true,https://fermatmind.com/zh/career/jobs/adapted-physical-education-specialists,"noindex, nofollow, noarchive, nocache",true,2,false,
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,200,true,https://fermatmind.com/zh/career/jobs/adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,"noindex, nofollow, noarchive, nocache",true,2,false,
aerospace-engineering-and-operations-technicians,zh-CN,https://staging.fermatmind.com/zh/career/jobs/aerospace-engineering-and-operations-technicians,200,true,https://fermatmind.com/zh/career/jobs/aerospace-engineering-and-operations-technicians,"noindex, nofollow, noarchive, nocache",true,3,false,
agricultural-engineers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/agricultural-engineers,200,true,https://fermatmind.com/zh/career/jobs/agricultural-engineers,"noindex, nofollow, noarchive, nocache",true,3,false,
agricultural-workers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/agricultural-workers,200,true,https://fermatmind.com/zh/career/jobs/agricultural-workers,"noindex, nofollow, noarchive, nocache",true,3,false,
aircraft-cargo-handling-supervisors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/aircraft-cargo-handling-supervisors,200,true,https://fermatmind.com/zh/career/jobs/aircraft-cargo-handling-supervisors,"noindex, nofollow, noarchive, nocache",true,2,false,
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/aircraft-structure-surfaces-rigging-and-systems-assemblers,200,true,https://fermatmind.com/zh/career/jobs/aircraft-structure-surfaces-rigging-and-systems-assemblers,"noindex, nofollow, noarchive, nocache",true,2,false,
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,https://staging.fermatmind.com/zh/career/jobs/ambulance-drivers-and-attendants-except-emergency-medical-technicians,200,true,https://fermatmind.com/zh/career/jobs/ambulance-drivers-and-attendants-except-emergency-medical-technicians,"noindex, nofollow, noarchive, nocache",true,2,false,
animal-care-and-service-workers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/animal-care-and-service-workers,200,true,https://fermatmind.com/zh/career/jobs/animal-care-and-service-workers,"noindex, nofollow, noarchive, nocache",true,3,false,
anthropology-and-archeology-teachers-postsecondary,zh-CN,https://staging.fermatmind.com/zh/career/jobs/anthropology-and-archeology-teachers-postsecondary,200,true,https://fermatmind.com/zh/career/jobs/anthropology-and-archeology-teachers-postsecondary,"noindex, nofollow, noarchive, nocache",true,2,false,
architecture-teachers-postsecondary,zh-CN,https://staging.fermatmind.com/zh/career/jobs/architecture-teachers-postsecondary,200,true,https://fermatmind.com/zh/career/jobs/architecture-teachers-postsecondary,"noindex, nofollow, noarchive, nocache",true,2,false,
art-therapists,zh-CN,https://staging.fermatmind.com/zh/career/jobs/art-therapists,200,true,https://fermatmind.com/zh/career/jobs/art-therapists,"noindex, nofollow, noarchive, nocache",true,2,false,
athletic-trainers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/athletic-trainers,200,true,https://fermatmind.com/zh/career/jobs/athletic-trainers,"noindex, nofollow, noarchive, nocache",true,3,false,
billing-and-posting-clerks,zh-CN,https://staging.fermatmind.com/zh/career/jobs/billing-and-posting-clerks,200,true,https://fermatmind.com/zh/career/jobs/billing-and-posting-clerks,"noindex, nofollow, noarchive, nocache",true,2,false,
biological-science-teachers-postsecondary,zh-CN,https://staging.fermatmind.com/zh/career/jobs/biological-science-teachers-postsecondary,200,true,https://fermatmind.com/zh/career/jobs/biological-science-teachers-postsecondary,"noindex, nofollow, noarchive, nocache",true,2,false,
captains-mates-and-pilots-of-water-vessels,zh-CN,https://staging.fermatmind.com/zh/career/jobs/captains-mates-and-pilots-of-water-vessels,200,true,https://fermatmind.com/zh/career/jobs/captains-mates-and-pilots-of-water-vessels,"noindex, nofollow, noarchive, nocache",true,2,false,
claims-adjusters-appraisers-examiners-and-investigators,zh-CN,https://staging.fermatmind.com/zh/career/jobs/claims-adjusters-appraisers-examiners-and-investigators,200,true,https://fermatmind.com/zh/career/jobs/claims-adjusters-appraisers-examiners-and-investigators,"noindex, nofollow, noarchive, nocache",true,3,false,
commercial-pilots,zh-CN,https://staging.fermatmind.com/zh/career/jobs/commercial-pilots,200,true,https://fermatmind.com/zh/career/jobs/commercial-pilots,"noindex, nofollow, noarchive, nocache",true,2,false,
compliance-officers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/compliance-officers,200,true,https://fermatmind.com/zh/career/jobs/compliance-officers,"noindex, nofollow, noarchive, nocache",true,3,false,
dancers-and-choreographers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/dancers-and-choreographers,200,true,https://fermatmind.com/zh/career/jobs/dancers-and-choreographers,"noindex, nofollow, noarchive, nocache",true,3,false,
emergency-medicine-physicians,zh-CN,https://staging.fermatmind.com/zh/career/jobs/emergency-medicine-physicians,200,true,https://fermatmind.com/zh/career/jobs/emergency-medicine-physicians,"noindex, nofollow, noarchive, nocache",true,2,false,
first-line-supervisors-of-correctional-officers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/first-line-supervisors-of-correctional-officers,200,true,https://fermatmind.com/zh/career/jobs/first-line-supervisors-of-correctional-officers,"noindex, nofollow, noarchive, nocache",true,2,false,
heavy-and-tractor-trailer-truck-drivers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/heavy-and-tractor-trailer-truck-drivers,200,true,https://fermatmind.com/zh/career/jobs/heavy-and-tractor-trailer-truck-drivers,"noindex, nofollow, noarchive, nocache",true,3,false,
judicial-law-clerks,zh-CN,https://staging.fermatmind.com/zh/career/jobs/judicial-law-clerks,200,true,https://fermatmind.com/zh/career/jobs/judicial-law-clerks,"noindex, nofollow, noarchive, nocache",true,2,false,
pharmacists,zh-CN,https://staging.fermatmind.com/zh/career/jobs/pharmacists,200,true,https://fermatmind.com/zh/career/jobs/pharmacists,"noindex, nofollow, noarchive, nocache",true,3,false,
school-and-career-counselors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/school-and-career-counselors,200,true,https://fermatmind.com/zh/career/jobs/school-and-career-counselors,"noindex, nofollow, noarchive, nocache",true,3,false,
transportation-security-screeners,zh-CN,https://staging.fermatmind.com/zh/career/jobs/transportation-security-screeners,200,true,https://fermatmind.com/zh/career/jobs/transportation-security-screeners,"noindex, nofollow, noarchive, nocache",true,2,false,
treasurers-and-controllers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/treasurers-and-controllers,200,true,https://fermatmind.com/zh/career/jobs/treasurers-and-controllers,"noindex, nofollow, noarchive, nocache",true,2,false,
web-developers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/web-developers,200,true,https://fermatmind.com/zh/career/jobs/web-developers,"noindex, nofollow, noarchive, nocache",true,2,false,
