refresh_id,source_id,title,author_or_publisher,year,doi,url,source_type,claims_supported,accessed_at,evidence_status,limitation
ARTICLE-REFRESH-01,ARTICLE-REFRESH-01-S02,An alternative “description of personality”: The Big-Five factor structure,"Goldberg, L. R. (1990).",1990,10.1037/0022-3514.59.6.1216,https://doi.org/10.1037/0022-3514.59.6.1216,peer_reviewed_research,"Big Five construct history, BFI-2 scope, test-use and interpretation boundaries",2026-08-10,DIRECT_SOURCE_REVIEWED,Supports the named source/instrument/policy only; does not validate FermatMind product metrics.
ARTICLE-REFRESH-01,ARTICLE-REFRESH-01-S03,The next Big Five Inventory (BFI-2),"Soto, C. J., & John, O. P. (2017).",2017,Unknown,https://pubmed.ncbi.nlm.nih.gov/27055049/,peer_reviewed_research_index,"Big Five construct history, BFI-2 scope, test-use and interpretation boundaries",2026-08-10,DIRECT_SOURCE_REVIEWED,Supports the named source/instrument/policy only; does not validate FermatMind product metrics.
ARTICLE-REFRESH-01,ARTICLE-REFRESH-01-S04,ITC Guidelines on Test Use,International Test Commission. (2013).,2013,Unknown,https://www.intestcom.org/files/guideline_test_use.pdf,professional_measurement_guideline,"Big Five construct history, BFI-2 scope, test-use and interpretation boundaries",2026-08-10,DIRECT_SOURCE_REVIEWED,Supports the named source/instrument/policy only; does not validate FermatMind product metrics.
ARTICLE-REFRESH-01,ARTICLE-REFRESH-01-S05,Standards for Educational and Psychological Testing,"AERA, APA, & NCME. (2014).",2014,Unknown,https://www.testingstandards.net/,professional_measurement_standard,"Big Five construct history, BFI-2 scope, test-use and interpretation boundaries",2026-08-10,DIRECT_SOURCE_REVIEWED,Supports the named source/instrument/policy only; does not validate FermatMind product metrics.
ARTICLE-REFRESH-02,ARTICLE-REFRESH-02-S02,Understand and apply the value of your MBTI type,Myers & Briggs Foundation.,Unknown,Unknown,https://myersbriggs.org/my-mbti-personality-type/my-mbti-results/home.htm,instrument_owner_guidance,official type-result interpretation and sample-bound prevalence limitations,2026-08-10,DIRECT_SOURCE_REVIEWED,Supports the named source/instrument/policy only; does not validate FermatMind product metrics.
ARTICLE-REFRESH-02,ARTICLE-REFRESH-02-S03,MBTI Facts,The Myers-Briggs Company.,Unknown,Unknown,https://www.themyersbriggs.com/en-us/support/mbti-facts,instrument_owner_technical_documentation,official type-result interpretation and sample-bound prevalence limitations,2026-08-10,DIRECT_SOURCE_REVIEWED,Supports the named source/instrument/policy only; does not validate FermatMind product metrics.
ARTICLE-REFRESH-02,ARTICLE-REFRESH-02-S04,Technical brief: MBTI type distribution in a Thai sample,The Myers-Briggs Company.,Unknown,Unknown,https://www.themyersbriggs.com/-/media/5c0b62318c764223b433d5217ff6be79.ashx,instrument_owner_technical_documentation,official type-result interpretation and sample-bound prevalence limitations,2026-08-10,DIRECT_SOURCE_REVIEWED,Supports the named source/instrument/policy only; does not validate FermatMind product metrics.
ARTICLE-REFRESH-02,ARTICLE-REFRESH-02-S05,Technical brief: MBTI type distribution in an Australian sample,The Myers-Briggs Company.,Unknown,Unknown,https://www.themyersbriggs.com/-/media/48f42005682f46b99a44b96032ef8b96.ashx,instrument_owner_technical_documentation,official type-result interpretation and sample-bound prevalence limitations,2026-08-10,DIRECT_SOURCE_REVIEWED,Supports the named source/instrument/policy only; does not validate FermatMind product metrics.
ARTICLE-REFRESH-03,ARTICLE-REFRESH-03-S02,The Enneagram: A systematic review of the literature and directions for future research,"Hook, J. N., et al. (2021).",2021,10.1002,https://pubmed.ncbi.nlm.nih.gov/33332604/,peer_reviewed_research_index,systematic-review evidence limits and general test-use boundaries,2026-08-10,DIRECT_SOURCE_REVIEWED,Supports the named source/instrument/policy only; does not validate FermatMind product metrics.
ARTICLE-REFRESH-03,ARTICLE-REFRESH-03-S03,ITC Guidelines on Test Use,International Test Commission. (2013).,2013,Unknown,https://www.intestcom.org/files/guideline_test_use.pdf,professional_measurement_guideline,systematic-review evidence limits and general test-use boundaries,2026-08-10,DIRECT_SOURCE_REVIEWED,Supports the named source/instrument/policy only; does not validate FermatMind product metrics.
