source_article_identity,source_locale,source_canonical,relation_type,target_surface,target_identity,target_locale,target_canonical,visible_anchor_intent,display_position,authority_source,query_relationship,publication_eligibility,target_eligibility,analytics_dependency,review_state,evidence,blocker
26,en,https://fermatmind.com/en/articles/are-infj-men-rare-or-socially-silenced,related_article,article,191,en,https://fermatmind.com/en/articles/eq-test-tool-guide,继续了解EQ,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,excluded_by_authority,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
26,en,https://fermatmind.com/en/articles/are-infj-men-rare-or-socially-silenced,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
27,en,https://fermatmind.com/en/articles/best-valentines-date-by-personality-and-relationship-science,related_article,article,28,en,https://fermatmind.com/en/articles/how-16-personality-types-talk-to-an-ai-coach,继续了解MBTI,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
27,en,https://fermatmind.com/en/articles/best-valentines-date-by-personality-and-relationship-science,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
27,en,https://fermatmind.com/en/articles/best-valentines-date-by-personality-and-relationship-science,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
81,en,https://fermatmind.com/en/articles/big-five-conscientiousness-low-procrastination-task-plan,related_article,article,79,en,https://fermatmind.com/en/articles/big-five-emotional-stability-stress-recovery-communication,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
81,en,https://fermatmind.com/en/articles/big-five-conscientiousness-low-procrastination-task-plan,take_assessment,assessment_landing,big-five-personality-test-ocean-model,en,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,"Take the Big Five test, then use this checklist to observe procrastination triggers and execution systems",contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
81,en,https://fermatmind.com/en/articles/big-five-conscientiousness-low-procrastination-task-plan,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
79,en,https://fermatmind.com/en/articles/big-five-emotional-stability-stress-recovery-communication,related_article,article,81,en,https://fermatmind.com/en/articles/big-five-conscientiousness-low-procrastination-task-plan,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
79,en,https://fermatmind.com/en/articles/big-five-emotional-stability-stress-recovery-communication,take_assessment,assessment_landing,big-five-personality-test-ocean-model,en,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,"Take the Big Five test, then map your stress triggers",contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
