finding_id,severity,finding_type,slug,locale,field_path,excerpt,reason,repair_instruction,repair_allowed_without_source_change,requires_human_review
low_workflow_density:accountants-and-auditors:zh-CN:27db634c6a4f,repair_required,low_workflow_density,accountants-and-auditors,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:accountants-and-auditors:zh-CN:0c2bf5afdfaf,warning,low_reader_usefulness,accountants-and-auditors,zh-CN,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:accountants-and-auditors:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,accountants-and-auditors,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:accountants-and-auditors:zh-CN:0118aedaefea,warning,conversion_unclear,accountants-and-auditors,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
weak_occupation_specificity:accountants-and-auditors:en:30f0d48eec11,repair_required,weak_occupation_specificity,accountants-and-auditors,en,$,,The row has limited occupation-specific workflow/tool/stakeholder detail.,Use existing block evidence to add concrete occupation-specific work context.,True,False
low_workflow_density:accountants-and-auditors:en:27db634c6a4f,repair_required,low_workflow_density,accountants-and-auditors,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:accountants-and-auditors:en:0c2bf5afdfaf,warning,low_reader_usefulness,accountants-and-auditors,en,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:accountants-and-auditors:en:619685f52d24,repair_required,locale_naturalness_issue,accountants-and-auditors,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:accountants-and-auditors:en:0118aedaefea,warning,conversion_unclear,accountants-and-auditors,en,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
weak_occupation_specificity:actors:zh-CN:30f0d48eec11,repair_required,weak_occupation_specificity,actors,zh-CN,$,,The row has limited occupation-specific workflow/tool/stakeholder detail.,Use existing block evidence to add concrete occupation-specific work context.,True,False
low_workflow_density:actors:zh-CN:27db634c6a4f,repair_required,low_workflow_density,actors,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:actors:zh-CN:0c2bf5afdfaf,warning,low_reader_usefulness,actors,zh-CN,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:actors:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,actors,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:actors:zh-CN:0118aedaefea,warning,conversion_unclear,actors,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
weak_occupation_specificity:actors:en:30f0d48eec11,repair_required,weak_occupation_specificity,actors,en,$,,The row has limited occupation-specific workflow/tool/stakeholder detail.,Use existing block evidence to add concrete occupation-specific work context.,True,False
low_workflow_density:actors:en:27db634c6a4f,repair_required,low_workflow_density,actors,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:actors:en:0c2bf5afdfaf,warning,low_reader_usefulness,actors,en,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:actors:en:619685f52d24,repair_required,locale_naturalness_issue,actors,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:actors:en:0118aedaefea,warning,conversion_unclear,actors,en,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
weak_occupation_specificity:actuaries:zh-CN:30f0d48eec11,repair_required,weak_occupation_specificity,actuaries,zh-CN,$,,The row has limited occupation-specific workflow/tool/stakeholder detail.,Use existing block evidence to add concrete occupation-specific work context.,True,False
