article_id,slug,translation_group,canonical,cms_authority,public_status,indexable,sitemap_eligible,llms_eligible,us_impressions,uk_impressions,other_impressions,global_impressions,global_clicks,global_ctr,global_position,query_ownership,current_title,current_meta,current_h1,native_english_quality,translation_parity,search_intent,source_quality,claim_risk,cta,article_to_test_clicks,competing_pages,refresh_potential,decision,evidence_status,limitation
202,mbti-narrative-portrait,article-10,https://fermatmind.com/en/articles/mbti-narrative-portrait,fap-api CMS Article public API,published,false,false,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,How Should You Interpret MBTI Results? Validate Four Preference Pairs in Real Situations,"Break down MBTI-style results into four preference clusters, form tentative hypotheses based on real-world scenarios, counterexamples, and situational changes, rather than fixed identities.",UNKNOWN_LIVE_RENDER,W9_QA_PASS_IN_CONTROL_EVIDENCE,SHA_BOUND_W3_SOURCE_LEDGER,UNKNOWN,SHA_BOUND_SOURCE_LEDGER,Review medical/career/education/guarantee boundaries before any refresh,UNKNOWN_PER_ARTICLE,UNKNOWN,UNKNOWN_PER_QUERY,WAIT_CONTROL_AND_28D,HOLD,VERIFIED_API_AND_V2_CONTROL_CONFLICT,API exposes public status but search gates are false and V2 master has no promotion receipt chain; do not mark promoted in this goal.
201,mbti-growth-guide,article-9,https://fermatmind.com/en/articles/mbti-growth-guide,fap-api CMS Article public API,published,false,false,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,How Can MBTI Support Personal Growth? From Preferences to Four-Week Behavioral Experiments,"Growth isn't about becoming the opposite type, but rather practicing alternative strategies in real-world scenarios to expand the range of available behaviors.",UNKNOWN_LIVE_RENDER,W9_QA_PASS_IN_CONTROL_EVIDENCE,SHA_BOUND_W3_SOURCE_LEDGER,UNKNOWN,SHA_BOUND_SOURCE_LEDGER,Review medical/career/education/guarantee boundaries before any refresh,UNKNOWN_PER_ARTICLE,UNKNOWN,UNKNOWN_PER_QUERY,WAIT_CONTROL_AND_28D,HOLD,VERIFIED_API_AND_V2_CONTROL_CONFLICT,API exposes public status but search gates are false and V2 master has no promotion receipt chain; do not mark promoted in this goal.
200,mbti-basics,article-8,https://fermatmind.com/en/articles/mbti-basics,fap-api CMS Article public API,published,false,false,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,What Is MBTI? What 16 Personality Types Can—and Cannot—Tell You,"The MBTI personality test can help you observe preferences related to energy, information gathering, decision-making, and daily organization. It cannot assess ability, diagnose a psychological condition, or determine career suitability.",UNKNOWN_LIVE_RENDER,W9_QA_PASS_IN_CONTROL_EVIDENCE,SHA_BOUND_W3_SOURCE_LEDGER,UNKNOWN,SHA_BOUND_SOURCE_LEDGER,Review medical/career/education/guarantee boundaries before any refresh,UNKNOWN_PER_ARTICLE,UNKNOWN,UNKNOWN_PER_QUERY,WAIT_CONTROL_AND_28D,HOLD,VERIFIED_API_AND_V2_CONTROL_CONFLICT,API exposes public status but search gates are false and V2 master has no promotion receipt chain; do not mark promoted in this goal.
199,math-not-good-computer-ai-major-course-riasec-checklist,tg_math_computer_ai_course_riasec_2026v1,https://fermatmind.com/en/articles/math-not-good-computer-ai-major-course-riasec-checklist,fap-api CMS Article public API,published,false,false,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Can You Study Computer Science or AI If Math Is Not Your Strength? A Course, Work-Activity, and RIASEC Checklist","Can someone who struggles with math still apply to computer science or AI? Start by identifying the specific math gaps, reviewing course requirements and real work activities, and using RIASEC interests to sort majors into three working lists: keep, verify, or set aside.",UNKNOWN_LIVE_RENDER,W9_QA_PASS_IN_CONTROL_EVIDENCE,SHA_BOUND_W3_SOURCE_LEDGER,UNKNOWN,SHA_BOUND_SOURCE_LEDGER,Review medical/career/education/guarantee boundaries before any refresh,UNKNOWN_PER_ARTICLE,UNKNOWN,UNKNOWN_PER_QUERY,WAIT_CONTROL_AND_28D,HOLD,VERIFIED_API_AND_V2_CONTROL_CONFLICT,API exposes public status but search gates are false and V2 master has no promotion receipt chain; do not mark promoted in this goal.
198,iq-test-tool-guide,article-7,https://fermatmind.com/en/articles/iq-test-tool-guide,fap-api CMS Article public API,published,false,false,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"FermatMind IQ Test Guide: What It Measures, How to Read Results, and Its Limits","FermatMind's 30-question online test is designed to observe performance on matrix and figural-reasoning tasks and is not intended for clinical, educational, or credentialing purposes.",UNKNOWN_LIVE_RENDER,W9_QA_PASS_IN_CONTROL_EVIDENCE,SHA_BOUND_W3_SOURCE_LEDGER,UNKNOWN,SHA_BOUND_SOURCE_LEDGER,Review medical/career/education/guarantee boundaries before any refresh,UNKNOWN_PER_ARTICLE,UNKNOWN,UNKNOWN_PER_QUERY,WAIT_CONTROL_AND_28D,HOLD,VERIFIED_API_AND_V2_CONTROL_CONFLICT,API exposes public status but search gates are false and V2 master has no promotion receipt chain; do not mark promoted in this goal.
197,iq-test-score-and-limits-explained,tg_article_iq_test_score_and_limits_explained_2026v1,https://fermatmind.com/en/articles/iq-test-score-and-limits-explained,fap-api CMS Article public API,published,false,false,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Are Online IQ Tests Reliable? Scores, Question Types, and Interpretation Limits","Online IQ tests can assess performance in matrix reasoning, pattern recognition, and abstract problem solving, but do not equate to formal intelligence tests. This article explains IQ scores, question types, boundaries of formal assessments, and safe usage practices.",UNKNOWN_LIVE_RENDER,W9_QA_PASS_IN_CONTROL_EVIDENCE,SHA_BOUND_W3_SOURCE_LEDGER,UNKNOWN,SHA_BOUND_SOURCE_LEDGER,Review medical/career/education/guarantee boundaries before any refresh,UNKNOWN_PER_ARTICLE,UNKNOWN,UNKNOWN_PER_QUERY,WAIT_CONTROL_AND_28D,HOLD,VERIFIED_API_AND_V2_CONTROL_CONFLICT,API exposes public status but search gates are false and V2 master has no promotion receipt chain; do not mark promoted in this goal.
196,iq-test-narrative-portrait,article-6,https://fermatmind.com/en/articles/iq-test-narrative-portrait,fap-api CMS Article public API,published,false,false,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"How to Interpret Online Reasoning Test Results: Scores, Question Types, Strategy, and Test Conditions","An online score reflects how you performed on particular questions at a particular time and under particular conditions. Interpret it in light of the item types, strategies used, your state, and the limits of the available evidence.",UNKNOWN_LIVE_RENDER,W9_QA_PASS_IN_CONTROL_EVIDENCE,SHA_BOUND_W3_SOURCE_LEDGER,UNKNOWN,SHA_BOUND_SOURCE_LEDGER,Review medical/career/education/guarantee boundaries before any refresh,UNKNOWN_PER_ARTICLE,UNKNOWN,UNKNOWN_PER_QUERY,WAIT_CONTROL_AND_28D,HOLD,VERIFIED_API_AND_V2_CONTROL_CONFLICT,API exposes public status but search gates are false and V2 master has no promotion receipt chain; do not mark promoted in this goal.
195,iq-test-growth-guide,article-5,https://fermatmind.com/en/articles/iq-test-growth-guide,fap-api CMS Article public API,published,false,false,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Training After an IQ Test: A Four-Week Guide to Improving Problem-Solving Strategies and Consistency,"The most useful goal after testing is to improve observation, validation, time management, and review of mistakes—not to pursue promises of a higher IQ.",UNKNOWN_LIVE_RENDER,W9_QA_PASS_IN_CONTROL_EVIDENCE,SHA_BOUND_W3_SOURCE_LEDGER,UNKNOWN,SHA_BOUND_SOURCE_LEDGER,Review medical/career/education/guarantee boundaries before any refresh,UNKNOWN_PER_ARTICLE,UNKNOWN,UNKNOWN_PER_QUERY,WAIT_CONTROL_AND_28D,HOLD,VERIFIED_API_AND_V2_CONTROL_CONFLICT,API exposes public status but search gates are false and V2 master has no promotion receipt chain; do not mark promoted in this goal.
194,gaokao-score-major-shortlist-riasec-checklist,tg_article_gaokao_score_major_shortlist_riasec_2026v1,https://fermatmind.com/en/articles/gaokao-score-major-shortlist-riasec-checklist,fap-api CMS Article public API,published,false,false,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"After Gaokao Scores Are Released, How Should You Shortlist Majors? A RIASEC Checklist","After Gaokao rankings are released, do not jump straight to ""Which major suits me?"" First rule out options that fail eligibility requirements, conflict with your willingness to study the core curriculum, or rest only on popularity. Then combine RIASEC results with course fit to create three working lists: keep, verify, and set aside.",UNKNOWN_LIVE_RENDER,W9_QA_PASS_IN_CONTROL_EVIDENCE,SHA_BOUND_W3_SOURCE_LEDGER,UNKNOWN,SHA_BOUND_SOURCE_LEDGER,Review medical/career/education/guarantee boundaries before any refresh,UNKNOWN_PER_ARTICLE,UNKNOWN,UNKNOWN_PER_QUERY,WAIT_CONTROL_AND_28D,HOLD,VERIFIED_API_AND_V2_CONTROL_CONFLICT,API exposes public status but search gates are false and V2 master has no promotion receipt chain; do not mark promoted in this goal.
193,gaokao-major-choice-parent-conflict-riasec-course-checklist,tg_article_gaokao_parent_conflict_riasec_course_checklist_2026v1,https://fermatmind.com/en/articles/gaokao-major-choice-parent-conflict-riasec-course-checklist,fap-api CMS Article public API,published,false,false,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,What If Parents and Students Disagree About a Major? Turn Gaokao Choice Conflicts into Three Lists,"When parents disagree about a major during Gaokao applications, start with shared constraints rather than arguing over who is right. Use rank, subject requirements, and enrollment plans to rule out unavailable options, then compare the remaining choices through RIASEC interests, course lists, and informational interviews.",UNKNOWN_LIVE_RENDER,W9_QA_PASS_IN_CONTROL_EVIDENCE,SHA_BOUND_W3_SOURCE_LEDGER,UNKNOWN,SHA_BOUND_SOURCE_LEDGER,Review medical/career/education/guarantee boundaries before any refresh,UNKNOWN_PER_ARTICLE,UNKNOWN,UNKNOWN_PER_QUERY,WAIT_CONTROL_AND_28D,HOLD,VERIFIED_API_AND_V2_CONTROL_CONFLICT,API exposes public status but search gates are false and V2 master has no promotion receipt chain; do not mark promoted in this goal.
