level,slug,locale,code,message
repair_required,accountants-and-auditors,zh-CN,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,accountants-and-auditors,zh-CN,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,accountants-and-auditors,zh-CN,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,accountants-and-auditors,zh-CN,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,accountants-and-auditors,zh-CN,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,accountants-and-auditors,zh-CN,asset_external_calibration_source_not_object,'pew_onet_ai_exposure_methodology'
repair_required,accountants-and-auditors,zh-CN,asset_external_calibration_source_not_object,'gpts_are_gpts_task_exposure'
repair_required,accountants-and-auditors,en,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,accountants-and-auditors,en,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,accountants-and-auditors,en,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,accountants-and-auditors,en,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,accountants-and-auditors,en,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,accountants-and-auditors,en,asset_external_calibration_source_not_object,'pew_onet_ai_exposure_methodology'
repair_required,accountants-and-auditors,en,asset_external_calibration_source_not_object,'gpts_are_gpts_task_exposure'
repair_required,actors,zh-CN,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,actors,zh-CN,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,actors,zh-CN,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,actors,zh-CN,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,actors,zh-CN,asset_external_calibration_source_not_object,'pew_onet_ai_exposure_methodology'
repair_required,actors,zh-CN,asset_external_calibration_source_not_object,'gpts_are_gpts_task_exposure'
repair_required,actors,en,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,actors,en,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,actors,en,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,actors,en,asset_source_missing_fields,"citation_boundary,evidence_scope,publisher,source_type"
repair_required,actors,en,asset_external_calibration_source_not_object,'pew_onet_ai_exposure_methodology'
repair_required,actors,en,asset_external_calibration_source_not_object,'gpts_are_gpts_task_exposure'
