sample_id,v1_sample_id,surface,locale,device,base_url,param,synthetic_value,request_url,captured_at,timezone,tool,http_status,final_url,hydrated_canonical,hydrated_og_url,canonical_result,same_origin_link_count,cta_candidate_count,parameterized_internal_link_count,parameterized_cta_link_count,parameterized_same_document_fragment_count,parameterized_unexpected_cross_document_count,parameterized_private_link_count,internal_link_result,cache_control,x_proxy_cache,shared_proxy_cache_result,cache_key_composition,cta_contract_result,cta_live_propagation_result,overall_evidence_result,evidence_level,limitation
CANON-V2-01,CANON-01,homepage,neutral,mobile,https://fermatmind.com/,utm_source,technical_audit,https://fermatmind.com/?utm_source=technical_audit,2026-08-10T06:57:17.649Z,Asia/Shanghai,playwright-cli Chromium,200,https://fermatmind.com/?utm_source=technical_audit,https://fermatmind.com/,https://fermatmind.com,PASS_PARAMETER_FREE_SAME_LOCALE_BASE,51,15,0,0,0,0,0,PASS_NO_UNEXPECTED_CROSS_DOCUMENT_OR_PRIVATE_PROPAGATION,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,PASS_SHARED_PROXY_CACHE_BYPASSED,UNKNOWN_NOT_EXPOSED,PASS_APPROVED_PARAM_CONTRACT,FAIL_APPROVED_PARAM_NOT_PROPAGATED_TO_PUBLIC_CTA,FAIL_CTA_LIVE_PROPAGATION,VERIFIED,Read-only hydrated DOM; shared proxy bypass verified; upstream/app cache key composition and historical index state unknown; no click or submit.
CANON-V2-02,CANON-02,homepage,en,desktop,https://fermatmind.com/en,utm_medium,technical_audit,https://fermatmind.com/en?utm_medium=technical_audit,2026-08-10T06:57:18.885Z,Asia/Shanghai,playwright-cli Chromium,200,https://fermatmind.com/en?utm_medium=technical_audit,https://fermatmind.com/en,https://fermatmind.com/en,PASS_PARAMETER_FREE_SAME_LOCALE_BASE,51,15,0,0,0,0,0,PASS_NO_UNEXPECTED_CROSS_DOCUMENT_OR_PRIVATE_PROPAGATION,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,PASS_SHARED_PROXY_CACHE_BYPASSED,UNKNOWN_NOT_EXPOSED,PASS_APPROVED_PARAM_CONTRACT,FAIL_APPROVED_PARAM_NOT_PROPAGATED_TO_PUBLIC_CTA,FAIL_CTA_LIVE_PROPAGATION,VERIFIED,Read-only hydrated DOM; shared proxy bypass verified; upstream/app cache key composition and historical index state unknown; no click or submit.
CANON-V2-03,CANON-03,tests_hub,zh,mobile,https://fermatmind.com/zh/tests,utm_campaign,technical_audit,https://fermatmind.com/zh/tests?utm_campaign=technical_audit,2026-08-10T06:57:20.130Z,Asia/Shanghai,playwright-cli Chromium,200,https://fermatmind.com/zh/tests?utm_campaign=technical_audit,https://fermatmind.com/zh/tests,https://fermatmind.com/zh/tests,PASS_PARAMETER_FREE_SAME_LOCALE_BASE,39,14,0,0,0,0,0,PASS_NO_UNEXPECTED_CROSS_DOCUMENT_OR_PRIVATE_PROPAGATION,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,PASS_SHARED_PROXY_CACHE_BYPASSED,UNKNOWN_NOT_EXPOSED,PASS_APPROVED_PARAM_CONTRACT,FAIL_APPROVED_PARAM_NOT_PROPAGATED_TO_PUBLIC_CTA,FAIL_CTA_LIVE_PROPAGATION,VERIFIED,Read-only hydrated DOM; shared proxy bypass verified; upstream/app cache key composition and historical index state unknown; no click or submit.
CANON-V2-04,CANON-04,tests_hub,en,desktop,https://fermatmind.com/en/tests,utm_term,technical_audit,https://fermatmind.com/en/tests?utm_term=technical_audit,2026-08-10T06:57:21.289Z,Asia/Shanghai,playwright-cli Chromium,200,https://fermatmind.com/en/tests?utm_term=technical_audit,https://fermatmind.com/en/tests,https://fermatmind.com/en/tests,PASS_PARAMETER_FREE_SAME_LOCALE_BASE,39,14,0,0,0,0,0,PASS_NO_UNEXPECTED_CROSS_DOCUMENT_OR_PRIVATE_PROPAGATION,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,PASS_SHARED_PROXY_CACHE_BYPASSED,UNKNOWN_NOT_EXPOSED,PASS_APPROVED_PARAM_CONTRACT,FAIL_APPROVED_PARAM_NOT_PROPAGATED_TO_PUBLIC_CTA,FAIL_CTA_LIVE_PROPAGATION,VERIFIED,Read-only hydrated DOM; shared proxy bypass verified; upstream/app cache key composition and historical index state unknown; no click or submit.
CANON-V2-05,CANON-05,mbti,zh,mobile,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,utm_content,technical_audit,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types?utm_content=technical_audit,2026-08-10T06:57:22.629Z,Asia/Shanghai,playwright-cli Chromium,200,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types?utm_content=technical_audit,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,PASS_PARAMETER_FREE_SAME_LOCALE_BASE,51,15,6,6,0,0,0,PASS_NO_UNEXPECTED_CROSS_DOCUMENT_OR_PRIVATE_PROPAGATION,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,PASS_SHARED_PROXY_CACHE_BYPASSED,UNKNOWN_NOT_EXPOSED,PASS_APPROVED_PARAM_CONTRACT,PASS_APPROVED_PARAM_PROPAGATED_TO_PUBLIC_CTA,PASS,VERIFIED,Read-only hydrated DOM; shared proxy bypass verified; upstream/app cache key composition and historical index state unknown; no click or submit.
CANON-V2-06,CANON-06,mbti,en,desktop,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,gclid,technical_audit,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types?gclid=technical_audit,2026-08-10T06:57:23.931Z,Asia/Shanghai,playwright-cli Chromium,200,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types?gclid=technical_audit,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,PASS_PARAMETER_FREE_SAME_LOCALE_BASE,51,15,6,6,0,0,0,PASS_NO_UNEXPECTED_CROSS_DOCUMENT_OR_PRIVATE_PROPAGATION,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,PASS_SHARED_PROXY_CACHE_BYPASSED,UNKNOWN_NOT_EXPOSED,PASS_APPROVED_PARAM_CONTRACT,PASS_APPROVED_PARAM_PROPAGATED_TO_PUBLIC_CTA,PASS,VERIFIED,Read-only hydrated DOM; shared proxy bypass verified; upstream/app cache key composition and historical index state unknown; no click or submit.
CANON-V2-07,CANON-07,riasec,zh,mobile,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,fbclid,technical_audit,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec?fbclid=technical_audit,2026-08-10T06:57:25.248Z,Asia/Shanghai,playwright-cli Chromium,200,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec?fbclid=technical_audit,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,PASS_PARAMETER_FREE_SAME_LOCALE_BASE,42,14,6,6,0,0,0,PASS_NO_UNEXPECTED_CROSS_DOCUMENT_OR_PRIVATE_PROPAGATION,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,PASS_SHARED_PROXY_CACHE_BYPASSED,UNKNOWN_NOT_EXPOSED,PASS_APPROVED_PARAM_CONTRACT,PASS_APPROVED_PARAM_PROPAGATED_TO_PUBLIC_CTA,PASS,VERIFIED,Read-only hydrated DOM; shared proxy bypass verified; upstream/app cache key composition and historical index state unknown; no click or submit.
CANON-V2-08,CANON-08,riasec,en,desktop,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,msclkid,technical_audit,https://fermatmind.com/en/tests/holland-career-interest-test-riasec?msclkid=technical_audit,2026-08-10T06:57:26.509Z,Asia/Shanghai,playwright-cli Chromium,200,https://fermatmind.com/en/tests/holland-career-interest-test-riasec?msclkid=technical_audit,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,PASS_PARAMETER_FREE_SAME_LOCALE_BASE,42,14,6,6,0,0,0,PASS_NO_UNEXPECTED_CROSS_DOCUMENT_OR_PRIVATE_PROPAGATION,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,PASS_SHARED_PROXY_CACHE_BYPASSED,UNKNOWN_NOT_EXPOSED,PASS_APPROVED_PARAM_CONTRACT,PASS_APPROVED_PARAM_PROPAGATED_TO_PUBLIC_CTA,PASS,VERIFIED,Read-only hydrated DOM; shared proxy bypass verified; upstream/app cache key composition and historical index state unknown; no click or submit.
CANON-V2-09,CANON-09,big_five,zh,mobile,https://fermatmind.com/zh/personality/big-five,ref,technical_audit,https://fermatmind.com/zh/personality/big-five?ref=technical_audit,2026-08-10T06:57:27.748Z,Asia/Shanghai,playwright-cli Chromium,200,https://fermatmind.com/zh/personality/big-five?ref=technical_audit,https://fermatmind.com/zh/personality/big-five,https://fermatmind.com/zh/personality/big-five,PASS_PARAMETER_FREE_SAME_LOCALE_BASE,48,9,1,0,1,0,0,PASS_NO_UNEXPECTED_CROSS_DOCUMENT_OR_PRIVATE_PROPAGATION,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,PASS_SHARED_PROXY_CACHE_BYPASSED,UNKNOWN_NOT_EXPOSED,UNKNOWN_NOT_IN_APPROVED_ATTRIBUTION_CONTRACT,UNKNOWN_NOT_IN_APPROVED_ATTRIBUTION_CONTRACT,UNKNOWN_CTA_CONTRACT,VERIFIED,Read-only hydrated DOM; one same-document fragment retained the current query; no cross-document or private propagation; cache key composition and historical index state unknown.
CANON-V2-10,CANON-10,big_five,en,desktop,https://fermatmind.com/en/personality/big-five,source,technical_audit,https://fermatmind.com/en/personality/big-five?source=technical_audit,2026-08-10T06:57:28.996Z,Asia/Shanghai,playwright-cli Chromium,200,https://fermatmind.com/en/personality/big-five?source=technical_audit,https://fermatmind.com/en/personality/big-five,https://fermatmind.com/en/personality/big-five,PASS_PARAMETER_FREE_SAME_LOCALE_BASE,49,9,1,0,1,0,0,PASS_NO_UNEXPECTED_CROSS_DOCUMENT_OR_PRIVATE_PROPAGATION,"private, no-cache, no-store, max-age=0, must-revalidate",BYPASS,PASS_SHARED_PROXY_CACHE_BYPASSED,UNKNOWN_NOT_EXPOSED,UNKNOWN_NOT_IN_APPROVED_ATTRIBUTION_CONTRACT,UNKNOWN_NOT_IN_APPROVED_ATTRIBUTION_CONTRACT,UNKNOWN_CTA_CONTRACT,VERIFIED,Read-only hydrated DOM; one same-document fragment retained the current query; no cross-document or private propagation; cache key composition and historical index state unknown.
