source,captured_at,country,device,locale,date_window,query,page,evidence_status,limitation,framework,entity,canonical,authority,us_impressions,uk_impressions,other_impressions,clicks,impressions,ctr,position,owned_queries,competing_pages,title_meta_h1,native_english_quality,translationese_risk,content_differentiation,claim_boundary,internal_links,assessment_cta,article_edges,career_edge_dependency,decision
GSC_PAGE_TYPES|GSC_CLOSURE,2026-08-10T12:28:57+08:00,GLOBAL_ONLY,ALL_ONLY,en,2026-07-13/2026-08-09,intp-a; intp a; intp-a meaning,/en/personality/intp-a,VERIFIED,Current page aggregate; country/device unavailable,mbti,INTP-A,/en/personality/intp-a,fap-api public personality authority,UNKNOWN,UNKNOWN,UNKNOWN,2,1322,0.15%,9.4,intp-a; intp a; intp-a meaning,UNKNOWN_PER_QUERY,BACKEND_AUTHORITY; targeted live copy review required before change,UNKNOWN_NOT_FULL_EDITORIAL_REVIEW,UNKNOWN,Existing framework/entity boundary; no new combinations,"Structured reference, not diagnosis or guaranteed outcome",UNKNOWN_PER_PAGE,Existing public assessment edge; conversion by page UNKNOWN,UNKNOWN_PER_PAGE,FROZEN until C06/C07,METADATA_EXPERIMENT
GSC_PAGE_TYPES|GSC_CLOSURE,2026-08-10T12:28:57+08:00,GLOBAL_ONLY,ALL_ONLY,en,2026-07-13/2026-08-09,3w2,/en/personality/enneagram/wings/3w2,VERIFIED,Visible concise definition and snippet alignment,enneagram,3w2,/en/personality/enneagram/wings/3w2,fap-api public personality authority,UNKNOWN,UNKNOWN,UNKNOWN,0,98,0%,8.3,3w2,UNKNOWN_PER_QUERY,BACKEND_AUTHORITY; targeted live copy review required before change,UNKNOWN_NOT_FULL_EDITORIAL_REVIEW,UNKNOWN,Existing framework/entity boundary; no new combinations,"Structured reference, not diagnosis or guaranteed outcome",UNKNOWN_PER_PAGE,Existing public assessment edge; conversion by page UNKNOWN,UNKNOWN_PER_PAGE,FROZEN until C06/C07,METADATA_EXPERIMENT
GSC_PAGE_TYPES|GSC_CLOSURE,2026-08-10T12:28:57+08:00,GLOBAL_ONLY,ALL_ONLY,en,2026-07-13/2026-08-09,3w4,/en/personality/enneagram/wings/3w4,VERIFIED,Visible concise definition and snippet alignment,enneagram,3w4,/en/personality/enneagram/wings/3w4,fap-api public personality authority,UNKNOWN,UNKNOWN,UNKNOWN,0,38,0%,6.7,3w4,UNKNOWN_PER_QUERY,BACKEND_AUTHORITY; targeted live copy review required before change,UNKNOWN_NOT_FULL_EDITORIAL_REVIEW,UNKNOWN,Existing framework/entity boundary; no new combinations,"Structured reference, not diagnosis or guaranteed outcome",UNKNOWN_PER_PAGE,Existing public assessment edge; conversion by page UNKNOWN,UNKNOWN_PER_PAGE,FROZEN until C06/C07,METADATA_EXPERIMENT
GSC_PAGE_TYPES|GSC_CLOSURE,2026-08-10T12:28:57+08:00,GLOBAL_ONLY,ALL_ONLY,en,2026-07-13/2026-08-09,5w6,/en/personality/enneagram/wings/5w6,VERIFIED,Visible concise definition and snippet alignment,enneagram,5w6,/en/personality/enneagram/wings/5w6,fap-api public personality authority,UNKNOWN,UNKNOWN,UNKNOWN,0,40,0%,10.4,5w6,UNKNOWN_PER_QUERY,BACKEND_AUTHORITY; targeted live copy review required before change,UNKNOWN_NOT_FULL_EDITORIAL_REVIEW,UNKNOWN,Existing framework/entity boundary; no new combinations,"Structured reference, not diagnosis or guaranteed outcome",UNKNOWN_PER_PAGE,Existing public assessment edge; conversion by page UNKNOWN,UNKNOWN_PER_PAGE,FROZEN until C06/C07,METADATA_EXPERIMENT
GSC_PAGE_TYPES|GSC_CLOSURE,2026-08-10T12:28:57+08:00,GLOBAL_ONLY,ALL_ONLY,en,2026-07-13/2026-08-09,Named opportunity; exact retained row missing,/en/personality/infp-t,UNKNOWN,Backend-authoritative page; exact current GSC row unavailable,mbti,INFP-T,/en/personality/infp-t,fap-api public personality authority,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Named opportunity; exact retained row missing,UNKNOWN_PER_QUERY,BACKEND_AUTHORITY; targeted live copy review required before change,UNKNOWN_NOT_FULL_EDITORIAL_REVIEW,UNKNOWN,Existing framework/entity boundary; no new combinations,"Structured reference, not diagnosis or guaranteed outcome",UNKNOWN_PER_PAGE,Existing public assessment edge; conversion by page UNKNOWN,UNKNOWN_PER_PAGE,FROZEN until C06/C07,INSUFFICIENT_DATA
GSC_PAGE_TYPES|GSC_CLOSURE,2026-08-10T12:28:57+08:00,GLOBAL_ONLY,ALL_ONLY,en,2026-07-13/2026-08-09,Comparison intent,/en/personality/intj-a-vs-intj-t,UNKNOWN,Exact GSC and current route ownership require window-04 handoff,mbti_comparison,INTJ-A vs INTJ-T,/en/personality/intj-a-vs-intj-t,fap-api public personality authority,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Comparison intent,UNKNOWN_PER_QUERY,BACKEND_AUTHORITY; targeted live copy review required before change,UNKNOWN_NOT_FULL_EDITORIAL_REVIEW,UNKNOWN,Existing framework/entity boundary; no new combinations,"Structured reference, not diagnosis or guaranteed outcome",UNKNOWN_PER_PAGE,Existing public assessment edge; conversion by page UNKNOWN,UNKNOWN_PER_PAGE,FROZEN until C06/C07,HOLD
GSC_PAGE_TYPES|GSC_CLOSURE,2026-08-10T12:28:57+08:00,GLOBAL_ONLY,ALL_ONLY,en,2026-07-13/2026-08-09,Comparison intent,/en/personality/enfj-a-vs-enfj-t,UNKNOWN,Exact GSC and current route ownership require window-04 handoff,mbti_comparison,ENFJ-A vs ENFJ-T,/en/personality/enfj-a-vs-enfj-t,fap-api public personality authority,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Comparison intent,UNKNOWN_PER_QUERY,BACKEND_AUTHORITY; targeted live copy review required before change,UNKNOWN_NOT_FULL_EDITORIAL_REVIEW,UNKNOWN,Existing framework/entity boundary; no new combinations,"Structured reference, not diagnosis or guaranteed outcome",UNKNOWN_PER_PAGE,Existing public assessment edge; conversion by page UNKNOWN,UNKNOWN_PER_PAGE,FROZEN until C06/C07,HOLD
GSC_PAGE_TYPES|GSC_CLOSURE,2026-08-10T12:28:57+08:00,GLOBAL_ONLY,ALL_ONLY,en,2026-07-13/2026-08-09,UNKNOWN,/en/personality/enfj-a,HISTORICAL,Historical snapshot only,mbti,ENFJ-A,/en/personality/enfj-a,fap-api public personality authority,UNKNOWN,UNKNOWN,UNKNOWN,0,21,0%,26.9,UNKNOWN,UNKNOWN_PER_QUERY,BACKEND_AUTHORITY; targeted live copy review required before change,UNKNOWN_NOT_FULL_EDITORIAL_REVIEW,UNKNOWN,Existing framework/entity boundary; no new combinations,"Structured reference, not diagnosis or guaranteed outcome",UNKNOWN_PER_PAGE,Existing public assessment edge; conversion by page UNKNOWN,UNKNOWN_PER_PAGE,FROZEN until C06/C07,HOLD
GSC_PAGE_TYPES|GSC_CLOSURE,2026-08-10T12:28:57+08:00,GLOBAL_ONLY,ALL_ONLY,en,2026-07-13/2026-08-09,UNKNOWN,/en/personality/esfj-t,HISTORICAL,Historical snapshot only,mbti,ESFJ-T,/en/personality/esfj-t,fap-api public personality authority,UNKNOWN,UNKNOWN,UNKNOWN,0,15,0%,26.7,UNKNOWN,UNKNOWN_PER_QUERY,BACKEND_AUTHORITY; targeted live copy review required before change,UNKNOWN_NOT_FULL_EDITORIAL_REVIEW,UNKNOWN,Existing framework/entity boundary; no new combinations,"Structured reference, not diagnosis or guaranteed outcome",UNKNOWN_PER_PAGE,Existing public assessment edge; conversion by page UNKNOWN,UNKNOWN_PER_PAGE,FROZEN until C06/C07,HOLD
GSC_PAGE_TYPES|GSC_CLOSURE,2026-08-10T12:28:57+08:00,GLOBAL_ONLY,ALL_ONLY,en,2026-07-13/2026-08-09,dimension/pole/facet queries,/en/personality/big-five/{backend-authoritative-slug},VERIFIED,49 current EN URLs in page-family aggregate; page rows unavailable,big_five,EN Big Five public cohort,/en/personality/big-five/{backend-authoritative-slug},fap-api public personality authority,UNKNOWN,UNKNOWN,UNKNOWN,6,1339,0.45%,UNKNOWN,dimension/pole/facet queries,UNKNOWN_PER_QUERY,BACKEND_AUTHORITY; targeted live copy review required before change,UNKNOWN_NOT_FULL_EDITORIAL_REVIEW,UNKNOWN,Existing framework/entity boundary; no new combinations,"Structured reference, not diagnosis or guaranteed outcome",UNKNOWN_PER_PAGE,Existing public assessment edge; conversion by page UNKNOWN,UNKNOWN_PER_PAGE,FROZEN until C06/C07,PROTECT
