preview_index,slug,seed_ordinal,title_en,title_zh,soc_code,onet_code,score_1_to_10,confidence,exposure_type,micro_family,selection_roles,selection_reason,expected_locales,expected_endpoint_count
1,accountants-and-auditors,1,Accountants and Auditors,会计师和审计师,13-2011,13-2011.00,8,high,mixed,audit and assurance work,fixed_50_regression|score_7_8_high,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
2,actors,2,Actors,演员,,,3,medium,augmentation,performance and embodied expression,fixed_50_regression|creative_performance,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
3,actuaries,3,Actuaries,精算师,15-2011,15-2011.00,8,high,mixed,actuarial risk modeling,fixed_50_regression|score_7_8_high,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
4,acupuncturists,4,Acupuncturists,针灸师,29-1291,29-1291.00,3,medium,augmentation,acupuncture and hands-on care,ordinal_fill,seed-order fill to reach expanded 150-slug coverage,"zh-CN,en",2
5,acute-care-nurses,5,Acute Care Nurses,急性期护士,29-1141,29-1141.01,4,high,augmentation,acute-care nursing,fixed_50_regression|medical_clinical,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
6,adapted-physical-education-specialists,6,Adapted Physical Education Specialists,适应性体育教育专家,25-2059,25-2059.01,4,medium,augmentation,adapted physical education,education_counseling,representative education counseling sample,"zh-CN,en",2
7,adhesive-bonding-machine-operators-and-tenders,7,Adhesive Bonding Machine Operators and Tenders,胶合机操作员和看管员,51-9191,51-9191.00,4,medium,augmentation,adhesive bonding machine operation,trade_service,representative trade service sample,"zh-CN,en",2
8,administrative-law-judges-adjudicators-and-hearing-officers,8,"Administrative Law Judges, Adjudicators, and Hearing Officers",行政法法官、裁决员和听证官,23-1021,23-1021.00,5,high,augmentation,administrative law adjudication,fixed_50_regression|legal_regulatory|score_5_moderate,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
9,administrative-services-managers,9,Administrative Services Managers,行政服务经理,11-3012,11-3012.00,5,medium,augmentation,facilities and administrative services management,trade_service|score_5_moderate,representative trade service sample,"zh-CN,en",2
10,adult-literacy-and-ged-teachers,10,Adult Basic and Secondary Education and Esl Teachers,成人识字和 GED 教师,25-3011,25-3011.00,4,medium,augmentation,adult basic and ESL education,fixed_50_regression|education_counseling,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
